|french|lingala
0|"Le lait dans le biberon n'avait pas besoin du pain
                                                                                                   Mais le jour où on l'a mis dans une tasse, il a fallut que le pain arrive
                                                                                                   Ca veut dire que les enfants ont grandis
                                                                                                   Papa Lutumba réfléchis à ça
                                                                                                   Souverain a grandis, l'unité de mesure"|"Miliki na biberon azalaka na besoin ya mapa te 
                                      mais mokolo batia ka ye na kopo essenga ki mapa e ya 
                                      elingi koloba bana bakoli 
                                      papa lutumba sossola yango 
                                      souverain akoli l'unité de mesure"
1|"Absence jamais moi j'ai signé de contrat avec toi
                                                                                                   Ni avec  le lit de l'hôpital
                                                                                                    Le vœux de mariage je l’ai fais pour Gérard Gecoco Mulumba
                                                                                                   L'homme que Dieu a façonné à mon goût c'est lui
                                                                                                   Il a emmener mon amour au Canada
                                                                                                   Dimanche ou mon jour de repos 
                                                                                                   la couleur qui passe

                                                                                                   REFRAIN (2 fois)"|"Absence jamais nga na signa contrat avec toi 
                                      Nto na mbeto ya lopitalo 
                                      vœux ya mariage na salaki po na Gérard Gecoco Mulumba 
                                      L’homme que Dieu a façonné a mon gout se ye
                                      amema bolingo na canada eeehh
                                      dimanche to eyenga na nga
                                      la couleur qui passe 

                                      REFRAIN (2 fois)"
2|"Gérard il me reste que deux jour a vivre 
                                                                                                   48 heures la mort m'a donné un dernier ultimatum
                                                                                                   Ton absence m’a envoyé en prison en salle d'urgence
                                                                                                   Je suis devenu locataire dans la clinique Ngaliema"|"Gérard natikali na mikolo se mibale ya vie 
                                      48 heures liwa epesi nga ultimatum ya suka 
                                      Absence na yo ekotisi nga boloko na salle d'urgence 
                                      Na koma locataire na clinique Ngaliema"
3|"Le pluriel en amour  commence et se termine par deux
                                                                                                   Gecoco et moi ça fait une seule personne l'algèbre de l'amour
                                                                                                   L'absence de la personne que tu aime est un coma d’amour 
                                                                                                   Pourquoi me laisse-tu  toute seule trop longtemps
                                                                                                   Au  profit de tes affaires je reconnais"|"Pluriel na bolingo ebanda pe esuka na deux 
                                      Gecoco et moi ça fait moto moko algèbre ya l'amour 
                                      Absence ya moto olinga ka koma ya love
                                      Pourquoi kotika ka nga toute seule trop longtemps 
                                      Au profit de tes affaires je reconnais oh"
4|"Gérard tu es le froid et moi je suis la neige blanche
                                                                                                   Ta présence me met en sécurité mon amour
                                                                                                   Dans 48 heures d'après la météo le soleil va briller très fort
                                                                                                   Revient Gérard Mulumba  sinon je vais me fondre"|"Gérard oza malili ngai na zali neige blanche 
                                      présence na yo etiyaka nga en sécurité mon amour 
                                      dans 48 heures d'après météo moyi ekongala très fort 
                                      Reviens  Gérard mulumba noki te na ko limwa"
5|"Ta beauté est la lune, les étoiles de mon cœur
                                                                                                   Depuis que t’es partie Gérard  c’est l’obscurité 
                                                                                                   Dans mon cœur le ciel est sans étoiles
                                                                                                   Dieu conduit mes pas"|"Beauté na yo sanza mizonto de mon cœur
                                      Depuis yo ekenda Gérard nse molili 
                                      Na motema na nga le ciel est sans étoiles 
                                      Nzambe conduit mes pas"
6|"Le docteur a donné la permission de mette un téléphone 
                                                                                                   Dans la salle d'urgence pour mon cas
                                                                                                   Pour que ta voix me rajoute au moins deux jours de plus"|"Monganga apesi permission ba tia phone 
                                      Na salle d'urgence pona cas na nga 
                                      Mongongo na Yo ebakisela nga ata deux jours de plus"
7|"Gérard il me reste que deux jour à vivre 
                                                                                                   48 heures la mort m'a donné un dernier ultimatum
                                                                                                   Ton absence m’a envoyé en prison en salle d'urgence
                                                                                                   Je suis devenu locataire dans la clinique Ngaliema"|"Gérard natikali na mikolo se mibale ya vie 
                                      48 heures liwa epesi nga ultimatum ya suka 
                                      Absence na yo ekotisi nga boloko na salle d'urgence 
                                      Na koma locataire na clinique Ngaliema"
8|"Les enfants du campus de la faculté de médecine
                                                                                                   Où est la thérapeutique des maladies d'amour 
                                                                                                   Si je meurt faut continué des recherches pour d'autre amoureuse
                                                                                                   Gérard mes yeux ont fait une grève pour ne pas t’avoir vu depuis des mois
                                                                                                   Je souffre de la cécité comme une vieille personne, Gecoco revient s'il te plait"|"Bana ya campus faculté de médecine 
                                      Wapi thérapeutique ya ba maladie d'amour 
                                      Soki na we bo continuer ba recherche pour d'autre amoureux 
                                      Gérard miso na nga esali grève pona emona yo te depuis des mois 
                                      Na beli cécité lokola mobange gecoco zonga s'il te plait ngo"
9|"Gérard tu es le froid et moi je suis la neige blanche
                                                                                                   Ta présence me met en sécurité mon amour
                                                                                                   Dans 48 heures d'après la météo le soleil va briller très fort
                                                                                                   Revient Gérard Mulumba  sinon je vais me fondre"|"Gérard oza malili ngai na zali neige blanche 
                                      Présence na yo etiyaka nga en sécurité mon amour 
                                      Dans 48 heures d'après météo moyi ekongala très fort 
                                      Reviens  Gérard mulumba noki te na ko limwa"
