|french|lingala
0|"Intro (KOFFI):
Ameeen 
Notre père qui est aux cieux
Toi-même tu vois 
Les bénédictions, qu’on réussit"|"Intro (KOFFI):
Ameeen 
Notre père qui est aux cieux
Yomoko ozo mona 
Mapamboli to zua"
1|Ameeen|Ameen
2|"Quartier latin
Anti dopage 
[Dedicaces…]
Mon Dieu, tu nous observes 
Que Chokoro Babia Ndonga ait les tes bénédictions"|"Quartier latin
Anti dopage 
[Dedicaces…]
Nzambé ozo mona 
Le Chokoro Babia Ndonga azua mapamboli"
3|"BABIA :
Mon papa est dans la souffrance et la maman qui ma mise au monde est pauvre
Mon cœur est rempli d’envie de partager 
Mais si tu n’as rien, qu’est ce que tu peux partager 
Mon Dieu je ne te demande que la richesse, le respect et l’intelligence"|"BABIA:
Papa na nga moto ya pasi, mama aboti nga nde mobola 
Motema etonda posa ya ko kabela
Mais ozangi oko kaba nini yé 
Nzambé na sengi se na yo, bomengo bouania mayelé [Oh bouania aah ]"
4|"KOFFI :
Moi, mon papa est dans la souffrance et la maman qui ma mise au monde est pauvre
Mon cœur est rempli d’envie de partager 
Mais si tu n’as rien, qu’est ce que tu peux partager 
Mon Dieu je ne te demande que la richesse, le respect et l’intelligence"|"KOFFI :
Ngaï papa na nga moto ya pasi, mama aboti nga nde mobola 
Motema etonda posa ya ko kabela
Mais  ozangi oko kaba nini yé 
Nzambé na sengi se na yo, bomengo bouania mayelé eh [bouania aah ]"
5|"2X
La richesse pourquoi
Je cri à Dieu, Eli, Eli lama sabachthani (Mon Dieu, Mon Dieu pourquoi m’as-tu abandonné) 
Comme Jésus sur le mont Golgotha
Mon Dieu pourquoi m’as-tu abandonné"|"2X
Bomengo po nini eh 
Na lelaka na Nzambé, eli eli lama sabachthani
Lekola Yezu na ngomba ya Golgotha eh 
Nzembé po nini etika nga ah"
6|"2X
La richesse pourquoi
Je demande à maman 
Est-ce que je suis née pour souffrir 
J’en ai marre de la pauvreté"|"2X
Bomengo po nini eh 
Na tunaka na mama
Est-ce que ba bota nga po na nyokomaka
Ah nga na lembi bo pauvreté"
7|"2X
La richesse pourquoi
Tu commence à m’éviter
Qu’est ce que je t’ai fais 
Alors que je sais que même la pauvre arrive a gagné sa vie 
Pourquoi pas moi"|"2X
Bomengo po nini eh 
Okoma koleka nga na mosika 
Nasala yo nini eh 
Nzoka nayebi  que mobola pe azuaka 
Pona nini ngaï te hein"
8|"KOFFI :
Ah la richesse, qu’est ce je dois faire 
Je te cherché par les boulots 
Par le commerce, puis par la prière 
Sache qu’on ne m’a pas coupé les bras 
La voix (le chant) aussi est de Dieu"|"KOFFI :
Ah bomengo na sala nini nga 
Na luka yo na ba boulot 
Na mobongo pe na losambo
Yeba bakati nga maboko te eh 
Mongongo pe ezali ya Nzambé eh"
9|"Chœur :
La richesse si tu étais Beija 
Je t’aurai chanté dans une chanson 
De la même façon que Wendo avait chanté Marie Louisa 
Ou Kiambukuta avait chanté Baby 
Mbambula de Koffi Akrame"|"Chœur :
Bomengo ozala ata Beija 
Na yemba yo na loyembo 
Lekola Wendo a yemba Marie Louisa
To Kiambukuta a yembaka Baby 
Mbambula ya koffi Akrame"
