|french|lingala
0|"JB :
Le poisson électrique (NINA en lingala)
Tu avais menti à d’autres poissons du fleuve que tu es électrique
Mais jusqu’à ce jour, le fleuve est resté dans le noir 
 Il n’est pas éclairé"|"JB :
Yo NINA 
Okosaka ba mbisi n’ebalé qu’ozalaka na courant 
Mais ti lelo ebalé eyalaka be molili 
Epelaka mwinda tè"
1|"AMINATA ma vie sans toi, est devenue fragile, comme la vie d’une jeune plante 
Le fleuve qui nous sépare, je suis entrain de le traverser en fils à tresser 
Comme je t’aime AMINATA, mon miel sucré, laisse moi assumer le combat contre les abeilles
Tu es l’arbre sous lequel, je m’abrite quand il fait chaud 
Le lit dans lequel, je me couche la nuit 
La maison dans laquelle je m’abrite quand il pleut, AMINATA, tu es plus sucré que du miel"|"AMINATA ma vie sans toi, ekomi fragile lekola bomoyi ya ndunda 
Ebalé ekaboli nga na yo, nakomi ko katisa na singa ya suki 
Lekola na lingi yo AMINATA mon miel sucré, tika na nzima etumba na ba nzoyi 
Yo ndé se ya nzété na bombanaka na tango ya moyi 
Mbéto na nga na lalelaka na tango ya butu 
Ndako na nga na bombanaka soki mbula ekonoko, AMINATA tu es plus sucré que du miel"
2|"Maintenant que tu es parti, ma chérie, tu m’expose aux intempéries et aux dangers
La pluie, puis le soleil s’abattent sur moi, a force de t’attendre 
SYLLA, tu m’as abonné au rond-point de la misère 
La voiture qui a pour destination l’amour, ou le trouverai-je ?"|"Awa y’okeyi na yo ma chérie yo exposée nga, na ba intempéries pe ba dangés
Mbula, moyi esileli nga na nzoto kozelaka yo 
SYLLA y’osundola nga, na rond-point ya misère 
Voiture ya destination ya bolingo na zwa wapi eh"
3|"Chœur :
AMINATA, dit  moi pour que je le sache, à quel niveau me places-tu dans la hiérarchie de tes pensées ? 
SYLLA, dit  moi pour que je le sache, à quel niveau me places-tu dans la hiérarchie de tes pensées ?"|"Chœur :
AMINATA yebisa nga na yeba, esika nini y’otia nga na hiérarchie ya bas pensées nayo 
SYLLA yebisa nga na yeba, esika nini y’otia nga na hiérarchie ya bas pensées nayo"
4|"JB :
Tu as fait de moi une voiture qui n’a pas de frein, sur une descente vers le divorce, ou un ticket de train qui a déjà été composté"|"JB :
Okomisi nga lekola motuka ezanga frein ne descente ya divorce, to pe ticket ya train ya moto asi a composter nayé"
5|"Chœur:
Pour quoi tu m’as multiplié par zéro, alors que je ne suis pas encore mort SYLLA, revient avant qu’il ne soit trop tard"|"Chœur :
Pour quoi ozo multiplier nga par zero, SYLLA  nanu na kufi tèh revient avant qu’il ne soit trop tard"
6|"Solo 1 :
JB M’PIANA, ceux qui se pressent dans la vie, s’arrêtent en chemin 
PATICK BOLAGNYA fait attention, la vie ce n’est pas que l’argent
C’est aussi le travail [JB : c’est vrai]
C’est aussi l’intelligence [JB : ah oui]
C’est aussi l’humanité 
C’est aussi l’honneur"|"Solo 1 :
JB M’PIANA vie ya bango bango bako suka na nzéla
PATICK BOLAGNYA keba bomoyi ezali kaka bongo té 
Ezali se mosala [JB : c’est vrai]
Ezali se mayelé [JB : ah oui]
Ezali se bomoto 
Ezali se bwania"
7|"Chœur :
AMINATA, dit  moi pour que je le sache, à quel niveau me places-tu dans la hiérarchie de tes pensées ?"|"Chœur :
AMINATA yebisa nga na yeba, esika nini y’otia nga na hiérarchie ya bas pensées nayo"
8|"Solo 2 :
Bonjour ALINO KIZAZA, OLIVIER PELEMBA
J’ai mal au cœur, mal partout 
SYLLA ton absence me fait mal 
Ta présence est la lumière du crépuscule"|"Solo 2 : 
Mibaramo mibaramo ALINO KIZAZA, OLIVIER PELEMBA
J’ai mal au cœur, mal partout 
SYLLA absence epesi pasi 
Présence nayo eza lumière ya moyi ya pokua na horizon"
9|"Solo 3 :
SYLLA, a rajouté  du piment dans les yeux de notre amour 
Aimé … l’amour est devenu amer 
C’est pour quoi l’amour est aveugle [Dédicaces …]"|"Solo 3 :
SYLLA a kotisi pili-pili na miso ya bolingo ya nga na yo 
Aimé …bolingo ekoti bololo 
C’est pour quoi l’amour est aveugle [Dédicaces …]"
10|"Solo 4 :
Ils insultent, ils racontent des ragots sur SILVIE CHAKO
[Dédicaces …]"|"Solo 4 :
Bango balobaka, bango bafinga SILVIE CHAKO 
[Dédicaces …]"
11|"Chœur :
AMINATA, dit  moi pour que je le sache, à quel niveau me places-tu dans la hiérarchie de tes pensées ? 
Pour quoi tu m’as multiplié par zéro, alors que je ne suis pas encore mort SYLLA, revient avant qu’il ne soit trop tard"|"Chœur :
AMINATA yebisa nga na yeba, esika nini y’otia nga na hiérarchie ya bas pensées nayo 
Pour quoi ozo multiplier nga par zero, SYLLA  nanu na kufi tèh revient avant qu’il ne soit trop tard"
12|"JB :
[Dédicaces …]"|"JB :
[Dédicaces …]"
