|french|lingala
0|"Le plaisir de ta façon de parler a pris corps  
C’est devenu comme la main qui caresse 
Ta beauté m’a coupé le souffle  
Alors que parmi les filles, tu es la plus sensible Annie Ndembo"|"Elengi ya ko loba na yo elati nzoto oh 
Ekomi lokola loboko ya caresse  
Kitoko na yo emelisi ngaï m’pema  
Ndzoka ndé parmis les filles y’oza la plus sensible … Annie Ndembo oh"
1|"Ta voix, a déclenché chez moi la chimie du désir  
J’ai jamais vue, de ma vie une telle élégance de folie  
Que je te donne le biberon  
Une étape de mon corps Annie Ndembo"|"Mongongo na yo e déclenché nga  chimie ya désir  
Jamais vue de ma vie élegance ya liboma  
Na melisa yo hooo biberon  
Etape ya nzoto na ngaï Annie Ndembo oh"
2|"Tu es si douce, si chaude Annie  
Tes mains sont un plaisir  
Je deviens hypnotisé 
Que me réserve cet amour  
Il est plus fort que moi, il rentre et sort librement"|"Tu es si douce, si chaude Annie  
Maboko na yo elengi eh he he  
Nakomi hypnotisé eh  
Nini eza koyela nga bolingo oyo  
Eleki nga na force ezali ko koto e kobima librement"
3|"2x 
J’ai l’impression comme si tout le monde 
Tout autour de moi comprenne 
L’effet des sentiments que j’éprouve"|"2x 
J’ai l’impression comme si, bato nioso  
Tout autours de moi, bazo comprendre 
Effet ya sentiment nga n’azo yoka oh hoo"
4|"Attrape-moi, par le corps  
Que je pénètre le rêve d’amour, qui est le sentiment de la chimie du désir  
Ya plus moyen d’attendre  
Je me suis mordue la langue, pour arrêté l’addiction de ta douceur"|"Simba ngaï na nzoto  
Na kota ndoto ya bolingo ndé sentiment ya chimie du désire Annie 
Moyen lisusu ya kozela ezali té  
Na mi swi mino okati ya litama po na kokanga addiction ya elengi na yo oh"
5|"Tes paroles sont adorables, chante dans mon oreille  
Je vais crier,  
Ouvre la porte de ta chemise 
Que je touche la pelouse de la véranda de ton cœur"|…  …   …
6|"Laisse-moi danser, Annie Ndembo oh, j’en meurs d’envie  
Fais moi danser, satisfait moi, j’en meurs d’envie  
Au premier rang, dans tes bras Annie Ndembo"|"Maloba na yo adorable, yembelaka nga ata na litoyi ih  
Nako ya ko ganga esala moli, molimo nzoto oh Annie Ndembo o 
Fongola porte ya chemise na yo  
Na toucher ata pelouse ya véranda ya motema eh"
7|"Laisse moi danser, viens vite, j’en meurs d’envie  
Fais-moi danser, plus tard plus tard, j’en meurs d’envie  
Au premier rang, dans tes bras Annie Ndembo"|"Laisse-moi danser, Annie Ndembo oh, j’en meurs d’envie  
Fais moi danser, satisfait moi, j’en meurs d’envie  
Au premier rang na maboko ma yo Annie Ndembo"
8|"Tu es très bon, très fort en amour  
Ton amour plein de folie puis d’inventivité  
Mon corps est le complice du rythme de ton corps"|"Laisse-moi danser, yaka mbangu uh, j’en meurs d’envie  
Fais-moi danser, plus tard plus tard, j’en meurs d’envie  
Au premier rang na maboko ma yo Annie Ndembo"
9|"Si tu te lève  
… 
Si tu grille  
Je vais donner cent  
Si tu t’accroupi  
Moi aussi je m’accroupi  
Si tu te mets à genou  
Moi aussi je me mets à genou 
Si tu m’appel  
Je vais répondre oui chérie"|"Oza très bon, très fort na l’amour  
Amour na yo plein de folie, et d’inventivité  
Nzoto na ngaï complice ya rythme ya nzoto na yo eh"
10|"J’ai retrouvé, le gout des caresses, puis des sentiments  
Je rajoute l’amour dans l’assiette de caprice  
J’ajoute encore"|"Soki o telemi  
Nga na yanduki eh  
Soki o kalingi ih 
Nga na ko pesa cent  
Soki o kumbami  
Nga m’pe na kumbami eh  
Soki o fukami  
Nga m’pe na fukami ih  
Soki ozo benga ngaï 
N’azo répondre oui chérie"
11|"Attrape-moi, par le corps  
Que je pénètre le rêve d’amour, qui est le sentiment de la chimie du désir  
Ya plus moyen d’attendre  
Je me suis mordue la langue, pour arrêté l’addiction de ta douceur"|"J’ai retrouvé goût y’a caresse, m’pe na sentiment  
Na bakisi bolingo na sagni ya caprice  
J’ajoute encore"
12|"Tes paroles sont adorables, chante dans mon oreille  
Je vais crier …"|"Simba ngaï na nzoto  
Na kota ndoto ya bolingo ndé sentiment ya chimie du désire Annie 
Moyen lisusu ya kozela ezali té  
Na mi swi mino okati ya litama po na kokanga addiction ya elengi na yo oh"
13|"Laisse-moi danser, plus tard plus tard, j’en meurs d’envie  
Fais-moi danser, frappe vite, j’en meurs d’envie  
Au premier rang, dans tes bras  
Tu es très bon, très fort en amour  
Mon corps est le complice du rythme de ton corps"|"Maloba na yo adorable, yembelaka nga ata na litoyi ih  
Nako ya ko ganga ….[dedicaces]"
14|"Si tu te lève  
… 
Si tu grille  
Je vais donner cent  
Si tu t’accroupi  
Moi aussi je m’accroupi  
Si tu m’appel  
Je vais répondre oui chérie"|"Laisse-moi danser, plus tard plus tard, j’en meurs d’envie  
Fais-moi danser, beta mbagu uh, j’en meurs d’envie  
Au premier rang na maboko ma yo 
Oza très bon, très fort na l’amour  
Nzoto na ngaï complice ya rythme ya nzoto na yo eh"
15|"J’ai retrouvé, le gout des caresses, puis des sentiments  
Je rajoute l’amour dans ton assiette  
J’ajoute encore"|"Soki o telemi  
Nga na yanduki eh  
Soki o kalingi ih 
Nga na ko pesa cent  
Soki o kumbami  
Nga m’pe na kumbami eh  
Soki ozo benga ngaï 
N’azo répondre oui chérie"
16|"Je commence à crier Annie  
Tellement cet amour me dépasse"|"J’ai retrouvé goût y’a caresse, m’pe na sentiment  
Na bakisi bolingo na sagni na yo 
J’ajoute encore"
