|french|lingala
0|"WERASON
Il à fallu que je te rencontre pour que ma vie soit bouleversée 
Tu m'as laissé sur le chemin de croix, soignant mes blessures 
Je suis traumatisé, ceci est ma souffrance, reviens s’il te plait"|"WERASON
Il fallait kaka nayeba yo po na vie na ngayi ekoma bouleversé 
Otiki ngayi na nzela ya ekulusu na soigner ba blessures na ngayi 
Na komi traumatisé, wana nde pasi na nga eh, yaka ko"
1|"Je suis rongé par  les soucis de Blandine MBEMBA que j’ai aimée 
Comme une tâche dans mon cœur, elle ne part plus 
Le cœur ne sachant pas parler, c’est vrai que je porte un vrai problème 
Si c’est une perfusion, tout cela dans l’ignorance 
Les yeux expriment la honte, mais dans le cœur il ne reste que ton courage
Ah mon amour"|"Nazalaka na soucis ya BLANDINE MBEMBA na lingaki 
Tâche etikala na motema ngo ekolongwaka mve 
Motema elobaka te Solo na memi ngambo 
Soki ngo te perfusion nionso na kidiba 
Miso eyokaka soni kasi motema etikalaka kaka courage na yo
Ah mon amour"
2|"J’ai tout fait pour être humble envers toi 
J’ai tout fait pour être humble, mais tu ne me crois pas 
Il y’a toujours un peu de caprice en amour 
N’attend pas que demain tu meurs, et qu’ils t’enterrent pour que j’oublie l’image que jadis je regardais, l’image que jadis j’admirais 
Ne me traite pas ainsi chérie"|"Na sala nioso na mikitisa epayi na yo 
Yokela  ng’ata mawa ko 
Na sala nioso namikitisa Kasi y'ondima ngayi te
Mwa bipale ezangaka te na bolingo
Kolinga te lobi y'okufa bakunda nabosana image oyo nazalaki kotala oyo pe nazalaki kolula eh
Kosala nga boyé te chérie"
3|"Chérie c’est toi mon docteur 
Tu m’as ôté l’envie dans mon cœur, qui va me soigner, Auguy Ntumba vient résoudre ce problème"|"Maman yo nde dokotolo na ngayi 
Osilisi nga posa na motema nani akobikisa, AUGUY NTUMBA yaka ko salisa mambo oyo"
4|"T’as une certaine chose sur ton corps qui apaise ma colère
Je m’interdisais de te le dire, mais aujourd’hui je te le dit, Freddy sourit, Denga sourit, avec tes joues à fossette souris, pour que le corps ait du plaisir"|"Ozalaka na eloko moko na nzoto na yo ekitisaka ngayi kanda 
Na boyaka kolobela yo kasi lelo na lobeli yo, FREDDY seka DENGA seka matama ekokoto seka mpo nzoto emona nsayi eh"
5|Même si tu t’en vas, là-bas en Europe n’oublie pas d’envoyer des lettres pour tout ce que tu as fait, pour que tes enfants sachent que t’es inoubliable|Ata y'okeyi kobosana te kuna na poto, komaka mikanda pona manso osala po na bana na yo babosana te ke ozali inoubliable
6|"La pauvreté n’est pas un péché  Wasenga Kipuni
Soit fort dans le travail Sankara de Kunta 
Ceux qui ont gagné un procès contre moi, pour un mal que je leurs ai pas causé, je leurs dit merci, je leurs dit merci auprès de Dieu
Je ne dirais plus rie"|"Bo pauvreté ezali lisumu te WASENGA KIPUNI
Makasi na mosala SANKARA de KUNTA
Ba oyo ba gagna procès epa na nga na mabe oyo nasala bango te napesi bango kaka merci, na pesi bango kaka matondi epayi ya NZAMBE eh 
(Nakoloba lisusu te, na vandi na nga)"
7|"Choeur :
DIEU, DIEU,  DIEU le père [Notre Dieu]
DIEU toi qui a créé le ciel et la terre 
DIEU toi qui a créé les poissons qui nagent dans l’eau"|"Choeur :
YAWEH eh YAWEH papa, [YAWEH na biso] 
YAWEH yo moto okela likolo na se 
YAWEH yo moto okela ba mbisi na mayi eko tshola ah"
8|Même si tu t’en vas ma chérie, garde notre devise sagesse et confiance, derrière toi je vais intégrer le couvent jusqu’à ton retour|Ata y'okeyi batela chérie na nga devise topesanaki sagesse et confiance epayi nga na tikali nakoti na couvent kino y'okozonga BERTIN MOSOLO
9|"FERRE GOLA
Regarde comment je suis devenu dingue à cause de mes sentiments pour BLANDINE MBEMBA 
GUY BOSTON on me traite de faible 
WILLY TEMBELA  et  JOSE NTUMBA
Ils ne veulent pas que cet amour soit comme celui de WERASON et SIDEJI MAPATA
Comme celui de JACQUIES WATUNDA ah OKAMBRO
DIDIER OMEYONGA ah HUGO TANZAMBI oh"|"FERRE GOLA
Tala ndenge nakoma zoba po na bolingo ya BLANDINE MBEMBA 
GUY BOSTON na ah nga babenga nga yuma eh 
WILLY TEMBELA na JOSE NTUMBA yeyeye 
Balingi te bolingo yango ezala lokola ya WERASON na SIDEJI MAPATA
Ezala lokola ya JACQUIES WATUNDA ah OKAMBRO
DIDIER OMEYONGA ah HUGO TANZAMBI oh"
10|"MULOPWE
Réussir dans la vie BLANDINE MBEMBA c’est soit par les études, soit c'est de l’argent sale 
La chance d'ALUBE CALUGGI, MULOPWE  je vais réussir quand mon heure sera arrivée 
On lui a laissé en charge de la famille"|"MULOPWE
Kozwa na mokili BLANDINE MBEMBA ah, Kelasi to moyeke 
Chance Y'ALUBE CALUGGI, MULOPWE nakozwa mokolo tour na nga ekokoma GUY KANDOLO oh KOKO MADIMBA 
Batikela ya charge Ya Famille ROGER MUNDEKE"
11|"ADJANI
Oh mon DIEU, je me demande si mes prières te parviennent 
Fait moi une révélation pour que change ma façon de prier, parce que je ne te demande pas la richesse de construire des des immeubles 
Mais que l’on m’appelle ADJANI, donne moi l’argent afin que je le partage avec les désireux 
Les autres  trouvent le bonheur, moi je ne trouve que la souffrance, tout cela parce que je suis pauvre"|"ADJANI
Oh Mon DIEU, nga namitunaka soki losambo na nga ekoma epayi na YAWEH
Lotisa nga ata na révélation na changer ndenge ya kobondela po na sengi na nga bomengo ya kotonga immeuble te oh
Nkasi babenga nga ADJANI pesa nga mbongo na kabela ba CHEGUES 
Baninga bakuta bomengo ya nga nakuta nde souffrance kaka po nga na zanga"
12|"EMELIA
BBC DIDI KINUANI  écoute moi EMELIA comment je pleure BLANDINE 
Je ne sais pas par où commencer ni par où m’arrêter FELLY NTUMBA
Cet amour avait bien commencé, maintenant il devient mauvais SONY SILULU KIFWAYA  PITSHOU"|"EMELIA
BBC DIDI KINUANI  yoka nga EMELIA ndenge na kolela BLANDINE 
Nayebi te na banda wapi na suka wapi FELLY NTUMBA 
Bolingo yango ebandaki malamu lelo ekomi mabe SONY SILULU KIFWAYA  PITSHOU"
13|"Choeur :
Réfléchis un peu"|"Choeur :
Kanisa nanu eh"
14|"BABY NDOMBE
Souviens-toi RICHARD KAMBAMBI comment on était 
Souviens-toi MELA DEDE BIKOFO celui de BIENVENUE NDOMBE
YVONNE KABAMBA ne laissera pas YULA"|"BABY NDOMBE
Kanisa RICHARD KAMBAMBI ndenge tozalaki 
Kanisa MELA DEDE BIKOFO oyo ya BIENVENUE NDOMBE 
YVONNE KABAMBA akotika YULA te eh Jaloux FR eh"
15|"Choeur : 
Réfléchis un peu"|"Choeur :
Kanisa nanu eh eheheh"
16|"SERGE MABIALA
Tu sais là-bas à BRUXELLES BLANDINE MBEMBA  et FREDDY s’étaient aimé 
Les promesses qu’on s’était faites chez ADOLO MAKANDA, ne laisse pas WILLY LIKAYI DADO PICASO ne soient mal traitées"|"SERGE MABIALA
Oyebi kuna na Bruxelles BLANDINE MBEMBA FREDDY balovanaki
Maloba oyo tolapana epa ya ADOLO MAKANDA, kotika te WILLY LIKAYI DADO PICASO anyokwama na bolingo na yo oh"
17|"Choeur :
Réfléchis un peu 
DIEU, DIEU,  DIEU le père, DIEU toi qui a créé le ciel et la terre 
DIEU toi qui a créé les poissons qui nagent dans l’eau"|"Choeur :
Kanisa nanu eh
YAWEH eh YAWEH papa, YAWEH yo moto okela likolo na se 
YAWEH yo moto okela ba mbisi na mayi eko tshola ah ah ah"
