|french|lingala
0|"Intro :			
Lui même MADILU multi-système 
Ah ma sœur, tu m’as donné un grand coup sur la tête
Parce que je parle avec ton mari 
Tu ne sais pas vraiment que ton mari c’est mon grand du quartier 
Ça ne se fait pas, c’est quoi ça ?"|"Intro :
Ye mei MADILU multi-system 
Ah yo ndeko ya mwasi, oyé kobeta nga kabakata ya likofi
Pona kosolola na mobali nayo 
Vraiment oybi te que mobali nayo ayali yaya nanga ya quartier 
Basalaka boyé te, boni ko ?"
1|"Je ne suis pas habitué à me battre, pourquoi tu me cherches, qu’est ce que je t’ai fait 
Moi, je ne me bats jamais 
Depuis que je suis né, je n’ai même pas fait d’éducation physique 
Je ne suis pas taillé pour les bagarres
Que l’on m’insulte, que l’on parle du mal de moi, je ne prête pas attention  
Moi, je refuse de me battre"|"Namesana nanga bitumba te mama boni oko kanela  nga nasali yo nini eh 
Ngayi ko na boundaka te mama
Banda nabotama nasala nanga ata physique te oh
Wapi nzoto ya bitumba eh mwan’oyo 
Bafinga, batonga nakipaka te oh 
Ngayi ko naboya nanga bitumba oh mama"
2|Je le dis|Nalobeli hein
3|"Je ne suis pas habitué aux chamailleries, cela me donne envie de vomir, pourquoi cherches-tu à me chamailler sous la pluie
Les tonnerres grondent dans le ciel, toi tu cherches à te battre contre moi pour avoir la richesse 
La beauté d’une femme dans ce monde n’est pas une finalité en soi 
L’homme pour lequel tu cherches te battre contre moi, n’est qu’un grand du quartier"|"Namesana nanga koswana te je peux vomir boni oko swanisa nga nase ya mbula 
Bakake eko beta likolo, olingi obundisa ngayi, po ozwa bomengo oh mama ah 
Kitoko ya mwasi na mokili ezali chance ya la vie te 
Mobali oko bundisa ngayi ezali vieux ya quartier"
4|"Parler :
COCO, je ne sais pas, comme on est encore ici bas, comme nous ne sommes pas encore au paradis 
Si tu peux avoir la chance d’avoir un mari pour toi seule"|"Parler :
COCO, nayebi te lokola tozali namokili oyo ya se, nanu tokomi na paradizo te 
Soki okoki kozwa chance ya kozwa mobali oyo ya yomoko"
5|"N’écoute  pas les médisances 
J’en peux plus"|"Ah tika biyoka yoka 
Nazangi moyen hein"
6|Les chamailleries et les bagarres c’étaient du passé, qu’est ce qui t’as appris ces mauvaises habitudes COCO|Koswana pe bitumba ezalaki likambo nayo ya kala, nani alakisi yo bitude mabe boyé COCO
7|"Je crains les coups 
Je ne me bats pas COCO
Je ne me dispute pas COCO
Je refuse d’avoir les marques de griffures sur mon visage 
Maintenant, je prie JESUS 
Maintenant, j’évite les maris des autres,   les péchés"|Nabanga makofi
8|"Parler :
Non COCO, je pense que 
Qu’on devient les changeurs de devises
Tu n’as pas remarqué comment ses femmes là se font de l’argent 
Avec les âges qu’on a maintenant  
Changer encore d’homme, c’est une souffrance 
C’est vrai"|"Nga nabundaka te eh COCO eh 
Nga naswanaka te eh COCO 	
Nga naboya manzaka n’elongi nanga eh
Nga nakoma nangayi kosambela YESU 
Nga nakoma kobanga mibali ya bato masumu"
9|"Si je me suis mal comporté, pardonne-moi 
Si j’ai tué un membre de ta famille, trouve un moyen pour me pardonner"|"Parler :
Te COCO namoni hein 
Tokoma nabiso ba changeur de monnaie 
Omonaka  ndenge ba mère yango bangindaka te 
Vraiment na bambula oyo tokomi nayango
To changeaka lisusu mibali, ah pasi hein 
Mama oh, c’est vrais"
10|"Chœur 2x :
COCO
MAMAN
Si je me suis mal comporté, pardonne-moi"|"Soki nasalaki yo mabé, olimbisa ngayi eh 
Soki nabomela yo moto na famille, luka yo pardonné ngayi oh"
11|"Je sais que la blessure d’amour est plus douloureuse qu’une blessure par balle 
Mais tu ne pouvais pas me ridiculiser de cette façon"|"Chœur  (2x) :
COCO eh 
Mama eh 
Soki nasalaki mabe limbisa nga eh"
12|"Chœur 2x :
COCO
MAMAN
Si je me suis mal comporté, pardonne-moi"|"Nayebi pota ya bolingo eliki pota ya lisasi 
Kasi okokaki kosambwisa nga boye te mama"
13|Cet homme, tu as raconté des mensonges à mon sujet, c’est moi qui t’avais présenté à NZOMBO FAUSTINO|"Chœur  (2x) :
COCO eh 
Mama eh 
Soki nasalaki mabe limbisa nga eh"
14|"Chœur 2x :
COCO
MAMAN
Si je me suis mal comporté, pardonne-moi"|Mobali oyo, okoseli nga makambo COCO, nga nde moto nalakisaki yo NZOMBO FAUSTINO
15|Je t’ai demandé pardon cinq cent fois, tu ne me crois pas, je vais confesser mes péchés chez l’Abbé JACQUES|"Chœur  (2x) :
COCO eh 
Mama eh 
Soki nasalaki mabe limbisa nga eh"
16|"Chœur 3x :
COCO
MAMAN
Si je me suis mal comporté, pardonne-moi"|Nasengi yo bolimbisi mbala kama ondzima ngayi te natubeli masumu na ngayi epayi ya ABBE JACQUE
17|"Parler :
Vraiment COCO, comme je te l’avais dit, il existe d’autres possibilités
On peut s’installer au marché de GAMBELA, pour vendre les vêtements et les bijoux  
Parce-que les hommes c’est une prise de tête 
Comme on est encore ici bas, on est encore fait de chair 
Nous ne sommes pas encore au paradis, là où on sera des esprits
Pour avoir de la chance de trouver un mari qui n’a que toi comme épouse 
Sans aller voir ailleurs, c’est compliqué COCO 
Tu sais que tu viens me disputer pour rien"|"Chœur  (3x) :
COCO eh 
Mama eh 
Soki nasalaki mabe limbisa nga eh"
