|french|lingala
0|"L’amour rend triste 
Il love you baby"|"Somo eh bolingo eh, ekotiaka mawa ah
I love you baby"
1|"Bouro :
Cette fois-ci je viens envers toi 
Pour que tu me dises, si vraiment dans ton cœur tu m’aime Jean jacques Mutualé"|"Bouro :	
Hum cette fois ci nga nayé epayi nayo					 
Oyebisa nga, soki vraiment na motema nayo olingaka nga Jean Jacques Mutualé"
2|Si vraiment tu m’aime dans ton cœur|Soki vraiment olongaka nga na motema
3|"Fais semblant de m’aimer 
Ne fusse qu’un jour, ce sera vraiment le plus beau jour de ma vie 
Les soucis ont provoqué un orage dans mon cœur 
Les paroles de Kabulo père Bulldozer, seront le parapluie dans la mémoire de Homer Lokwa Ikondo
Jean jacques Mutualé, tu parais comme un prince charmant
Quand je m’approche de toi, je vis le printemps avec prolongation"|"Kosaka nga ata kokosa que olingaka nga 
Ne fusse qu’ata un jour, ce sera vraiment le plus beau jour de ma vie 
Souci enokisi mvula na motema na nga 
Maloba ya Kabulo père Bulldozer ekozala parapluie na memoire ya Homer Lokwa Ikondo
Ouh, Ouh, Jean Jacqques Mutualé tu parais comme un prince charmant
Soki nga na s'approcher pembeni na yo na vivaka printemps avec prolongation"
4|"Koffi :
Tu m’as négligé, je suis perdue 
Je suis ici, sans espoir 
Le traumatisme n’est pas carnivore, et pourtant il consomme le corps de l’être aimé 
La décision finale de la vie d’une personne, est entre les mains de Dieu 
Mais en ce qui concerne ton mariage, je vais demander à Dieu, que ton amour ne soit que moi
Ton amour chez moi, est comme une feuille sur un arbre
Il suffit que le vent souffle fort, pour que la feuille tombe, personne ne pourrai remettre cet amour"|"Koffi :
Huum nga eh 
Yo négligé nga, je suis perdu
Nazali awa sans espoir
Traumatisme carnivore té, kasi eliaka nzoto ya moto aimé, ambassadeur Vote Singa supérieur
Huum décision finale ya vie ya moto se na maboko ya Nzambé
Kasi pona libala na yo, na kosenga na Nzambé eh amour na yo ezala se nga
Bolingo na yo epai na nga eh, lokola likasa na nzeté
Mopépé eye makasi ekweisi likasa nani akokoka lisusu kozongisa bolingo yango eh"
5|"Chœur :
Je suis surpris, en amour, il n’y a pas de faible, et n’y a non plus de caïd 
AMARAL tu m’as dépourvue de mon orgueil personnel 
Mon cœur est devenu plus fragile que le tympan des bébés"|"Chœur :
Nakokamwa, na bolingo, yuma azalaka té, yankee pe azalaka té
AMARAL osilisi nga lolendo na nzoto oh
Motema na ngai ekomi fragile koleka kutu tympan ya ba bébé"
6|"Koffi :
Comment se fait-il que dans le monde, la personne qu’on aime, est celui qui se transforme encore en notre assassin ? 
L’amour c’est de l’esclavage, pour en être rassasié tu dois avoir l’appétit de la personne que tu aimes 
Monsieur, raisonne un peu, nous avons remboursé l’argent de ton mariage et c’est suffisant, hey prends en compte"|"Koffi :
Huum ndenge nini na mokili, moto alingaka ako bongwana assassin na yo
Bolingo eza bowumbu, kotonda na yo appétit ya moto yo olingaka, Vote Singa ambassadeur, Freddy Kwanza, Egide Bima-Bima
Yo tata  raisoner, to futaka mbongo nayo ya libala pe ekokaka, hey marqué histoire ko"
7|"Refrain :
AMARAL pour quoi m’as-tu traité ainsi 
Il n’était pas encore temps, alors que, tu as cessé de m’aimer, mon AMARAL top modèle
La personne est entrain de mourir, vous pensez qu’elle simule, AMARAL l’amour me saoul 
Ne dit pas non, je t’aimerais toujours 
Arrête d'attendre,  mes sentiments c’est toi"|"Refrain: 
Mama miya, AMARAL boni osali nga nko oh 
Tango ekokaki te okati nayo amour, AMARAL na nga top model
Moto aza kokufa bino bokanisi azo kosa,, AMARAL  bolingo esulé nga eh 
koboya te, haa, nakolinga na nga yo eh  eh
tika lela aah, sentiment na nga yo eh eh"
8|"Koffi :
Quand je pleur, Voté Singa tu es ou ?"|"Koffi : 
Tango nga na lelaka eh, Vote Singa oza wapi eh"
9|"Refrain :
AMARAL pour quoi m’as-tu traité ainsi 
Il n’était pas encore temps, alors que, tu as cessé de m’aimer, mon AMARAL top modèle
La personne est entrain de mourir, vous pensez qu’elle simule, AMARAL l’amour me saoul 
Ne dit pas non, je t’aimerais toujours 
Arrête d'attendre,  mes sentiments c’est toi"|"Refrain: 
Mama miya, AMARAL boni osali nga nko oh 
Tango ekokaki te okati nayo amour, AMARAL na nga top model
Moto aza kokufa bino bokanisi azo kosa,, AMARAL  bolingo esulé nga eh 
koboya te, haa, nakolinga na nga yo eh  eh
tika lela aah, sentiment na nga yo eh eh"
10|"Koffi :
Loin de toi quel calvaire, près de toi c’est le paradis 
J’aime Egide Bima-Bima Freddy Kwanza appelle moi"|"Koffi :
Mosika na yo, quel calvaire, pembeni na yo paradis
Na linga Egide Bima-Bima, Freddy Kwanza benga nga ah"
11|"Refrain :
AMARAL pour quoi m’as-tu traité ainsi 
Il n’était pas encore temps, alors que, tu as cessé de m’aimer, mon AMARAL top modèle
La personne est entrain de mourir, vous pensez qu’elle simule, AMARAL l’amour me saoul 
Ne dit pas non, je t’aimerais toujours 
Arrête d'attendre,  mes sentiments c’est toi"|"Refrain: 
Mama miya, AMARAL boni osali nga nko oh 
Tango ekokaki te okati nayo amour, AMARAL na nga top model
Moto aza kokufa bino bokanisi azo kosa,, AMARAL  bolingo esulé nga eh 
koboya te, haa, nakolinga na nga yo eh  eh
tika lela aah, sentiment na nga yo eh eh"
12|"Koffi :
Love toi-même tu disais que tu étais les doigts, moi la guitare, joue, joue, joue avec moi"|"Koffi : 
Love yo moko olobaki oza misapi nga lindanda beta beta beta nga ah"
13|"Refrain :
AMARAL pour quoi m’as-tu traité ainsi 
Il n’était pas encore temps, alors que, tu as cessé de m’aimer, mon AMARAL top modèle
La personne est entrain de mourir, vous pensez qu’elle simule, AMARAL l’amour me saoul 
Ne dit pas non, je t’aimerais toujours 
Arrête d'attendre,  mes sentiments c’est toi"|"Refrain: 
Mama miya, AMARAL boni osali nga nko oh 
Tango ekokaki te okati nayo amour, AMARAL na nga top model
Moto aza kokufa bino bokanisi azo kosa,, AMARAL  bolingo esulé nga eh 
koboya te, haa, nakolinga na nga yo eh  eh
tika lela aah, sentiment na nga yo eh eh"
14|"Bouro :
[Dedicaces…]"|"Bouro :
[Dedicaces…]"
