|french|lingala
0|"Tout ca c’est de ma faute, parce que je t’ai aimé 
Mais mon plus grand défaut est que je n’arrive jamais à dire ce que je ressens au fond du cœur PAPITCHO"|"Faute nionso ya nga mey po na lingaki yo 
Mais mon plus grand défaut nakokaka te kobimisa ce que je ressens na motema Papitcho Muekatone eeeeeeee."
1|"Parler : 
D’amour et d’eau douce"|"Parler : 
D’amour et d’eau douce "
2|"Je suis rentrée à la maison en larmes  
Parce que l’amour dont je t’ai donné n’a pas de réciprocité 
Tu m’as dupé avec des serments d’amour qui n’arrivent même pas auprès de Dieu"|"Nazongi na ndako mayi ya miso eko tanga ngai 
 pona bolingo na pesaki yo ezanga reciprocité  
Y'okosi nga na ba serment d'amour oyo ekomaka ata epa ya nzambe te éééééé"
3|T’as fais souffrir mon cœur, ce dernier ne se remplace pas|Y'oniokoli ya nga motema yango ko ba remplacaka te
4|"Sous la pluie je sue, le choc est trop violent  
Ne me regarde pas de travers, s’il te plait met toi a ma place"|" Na se ya mvula na ko toko, choc eleki makasi  
Otala nga mbala mibale te pardon mitia nasika na nga,"
5|PAPITCHO  MUEKATONE i love you|Papitcho ngo Muekatone ,i love you.
6|"Le mal que t’avais fait, est que tu es reparti avec ton ancien amour 
Je te laisse le temps, après quelques jours le mien aussi sera ancien 
Tu vas chercher à te remettre avec moi, mais je vais te pardonner comme en pardonne"|"Mabe y'osala yokenda kozongela bolingo na yo ya kala  
Natikeli yo tango sima mikolo ya nga pe ekokoma ya kala  
Okoluk'ozongela kasi na ko limbisa yo lokola"
7|Comme l’en pardonne a une personne qui est morte|balimbisaka moto awéééééééééééé
8|"Ait un peu de jugeote si non tu risque perdre un éléphant pour un grillon  
Parce que mon cœur en amour des déceptions d’amour  
La vie d’une femme est compliqué et son temps si court"|"Zalaka na mwa koyeba eh noki te okozanga nzoko pona likélélé  
Po motema na nga ebayé ba deception oh d’amour  
Vie ya mwasi ezali compliqué, tango na ye mokuse,"
9|PAPITCHO  MUEKATONE|Papitcho eh Muekatone
10|"Tout ca c’est de ma faute, parce que je t’ai aimé 
Mais mon plus grand défaut est que je n’arrive jamais à dire ce que je ressens au fond du cœur PAPITCHO"|"Faute nyonso ya nga mey po nalingaki yo  
Mais mon plus grand défaut nakokaka te kobimisa ce que je ressens na motema Papitcho Muekatone eeeeeeee "
11|"La souffrance qui est dans mon cœur  
Mon cœur est entrain de saigné comme le fils de Dieu sur la croix  
Comme la souffrance dont les enfants d’Israël ont vécues dans le désert pendant 40 jours et 40 nuits"|"Pasi oyo nazali komona na motema na ngayi  
Motema na nga ekotanga makila lokola mwana nzambe sur la croix  
Lokola mpasi bana israel bamonaka na désert Pendant 40 jours et 40 nuits"
12|Cette souffrance si profonde,  même Jésus ne l’accepterai pour le bonheur des chrétiens|Cette souffrance si profonde, ata jésus akondima te po na bonheur ya ba Christo
13|"Tout ca c’est de ma faute, parce que je t’ai aimé 
Mais mon plus grand défaut est que je n’arrive jamais à dire ce que je ressens au fond du cœur PAPITCHO"|"Faute nyonso ya nga mey po nalingaki yo  
Mais mon plus grand defaut nakokaka te kobimisa ce que je ressens na motema Papitcho Muekatone eeeeeeee"
14|"Parler : 
L’antilope devant, l’homme au milieu et le chien derrière, qui est entrain de suivre qui ?"|"Parler : 
Mboloko liboso, mato na kati, imbwa na sima nani azo landa nani ?"
15|"Prononce le nom de la personne qui t’aime là ou tu te trouve  
La clé de l’amour PAPITCHO se trouve entre tes mains"|"Tanga kombo ya moto alingaka yo epa yozali 
 Fungola ya bolingo Papitcho eza na maboko ma yo ngooh"
16|"Avant que tu me fasse du mal, chéri sache que je t’aime   
Quand t’es dans la joie sache que je suis entrain de souffrir pour toi"|"Avant osala nga mabe, banza cheri que nalingaka yo  
Na tango yo na bisengo oyaba nga nazo souffrir pour toi"
17|"Le jour s’est levé ya longtemps, vient m’ôter les menottes  
L’esclave d’amour, même le chien le matin en lui en enlève la laisse PAPITCHO"|"Tongo etana kala, yaka kofungola nga ata miniotte  
Mowumbu ya bolingo ata imbwa na tongo bafungolaka ye singa PAPITCHO OH"
18|"A la veille de l’amour, une vieille personne est déjà devenue dingue  
De la manière tu m’emmène dans pas longtemps tu vas me rendre folle"|"Na tongo ya bolingo, moto ya kala asi akoma dingue  
Na ndenge ozokenda na nga kala te oyakokomisa nga bwange"
19|"Dieu tu m’as créé humaine, et tu m’as pourvue de sentiments  
Tu m’as pourvue de tendresses, Dieu tu m’as donné des mains  
Mais la personne que je dois caresser, Dieu tu as oublié de me le donné, PAPITCHO"|"Nzambe osala nga moto, opesa nga ba sentiment  
Opesa nga tendresse, nzambe opesa nga maboko eh 
 Kasi moto ya ko caresser, nzambe ozanga kopesa nga yeh PAPITCHO eh"
20|"Quand tu m’as gouté, tu as trouvé que j’étais sucré  
Tes paroles, et tes manières étaient ceux des anges  
Aujourd’hui tu as mis le masque de Juda, et tu dis que je suis devenue amer"|" Tango omekaki nga, omonaki ngayi sukali eh  
Maloba pe bizaleli na yo ezalaki ya ba angelu  
Lelo olati elongi ya yuda olobi nga nakomi bololo"
21|"Quand tu t’amuse et que tu sors la nuit   
Sache que quelque part dans cette même nuit la   
L’enfant d’autrui est entrain de souffrir pour toi, dans ses yeux elle ne trouve plus de sommeil  
 Dédicace …"|"Na tango ozosakana pe kobima na kati ya butu  
Yeba quelque part kaka na kati ya meme butu ango  
Mwana moninga po na yo azo souffrir na miso ne mpongi te     

Dédicaces …  "
