|french|lingala
0|"JB :
Haine 
ça c'est une consolation pour la famille MOUKOUNA"|"JB :
Haine 
ça c'est une consolation pour la famille MOUKOUNA"
1|"Chœur :
La tristesse, j'aimerai savoir quel genre de phénomène es-tu 
Car tu es venu frapper à ma porte sans avoir été invité 
Qui t'a envoyé chez moi 
Tu es venu enlever RALPH MOUKOUNA, l'espoir de ma vie"|"Choeur :
Mawa yebisa nga phénomène nini yango y'ozali
Oyé kobetela ngaї ekuke yoko invitation
Nani atindi yo oyingela o ndako na nga 
oyak'oyibela nga RALPH MOUKOUNA elikia nioso ya vie nga"
2|"JB :
Nous étions le 16 Octobre de l'année 1994"|"JB :
Ezalaki le 16 Octobre 1994"
3|"Chœur :
Tu as semé la graine de la désolation dans mon cœur 
Tu m'as volé tout l'amour 
Tu l'as déraciné de mon cœur"|"Chœur :
Oyé ko semé mbouma ya désolation na motema nga
Tu m'as volé tout l'amour
Opikoli yé na motema na nga"
4|"JB :
Nous avions trop pleuré, il n'était pas le seul, il est parti avec JC"|"JB :
To lelaki trop, akendaki yemoko te azalaka na JC"
5|"Chœur :
Je suis bien dans le doute, dans l'amour de Dieu
Tu m'as isolé de l'amour du tout puissant, de l'amour de mes amis et celui ma famille
Le fardeau que tu m'as apporté, avec qui le partagerais-je ?
RALPH nous a quitté, pourquoi la mort t'a t-elle choisi 
Eeh eh eh ehe  eh eh eeh Eeh eh eh ehe  eh eh eeh"|"Chœur :
Na bongi na tembé na bolingo oyo ya NZAMBE
O isolé nga na bolingo oyo ya la tout puissant, ya baninga bah nga , mpe ya bandeko bah nga 
Kilo nayo omemeli nga eh nako kabola na nani eh eh 
RALPH okenda eh likama ponanini eponaki kaka yo
Eeh eh eh ehe  eh eh eeh Eeh eh eh ehe  eh eh eeh"
6|"JB :
La tristesse je t'ai comprise
Je sais qui tu es
Le soutien de mes amis, m'a donné la réponse
Tu es venu me dérober, me laissant sans rien 
Pour que je soit ton ami, travailleur du diable 
Maman MARIE MUJINA avait également beaucoup pleuré"|"JB :
Mawa na comprendre yo
Je sais qui tu es
Mosungi ya baninga epesi nga réponse
O yaki nde koyiba otika nga pamba
Nakoma ndeko nayo mosali ya satan
Mama MARIE MUJINA pe alelaki trop"
7|"Chœur :
La tristesse il ne faut pas que tu habite mon cœur 
Car aujourd'hui je choisi la paix du cœur, la communion avec JESUS"|"Chœur :
Mawa esengeli te, ovanda o motema na nga 
Lel'oyo na poni kimia, invitation na MASIYA  oh"
8|"JB :
Mon ami ne reste pas ici dans le monde de satan 
il a corrompu la grandeur ici dans le monde de Dieu 
Mais soit le porteur de la consolation, à ceux qui sont fatigués par les épreuves de la vie comme RIVA MENGA"|"JB :
Ndeko kozala jamais awa mboka ya satan
Obebisi mo nene awa na mokili oyo ya NZAMBE 
Kasi zala nayo momemi consolation naba oyo balemba naba épreuves lekola RIVA MENGA"
9|"Chœur :
Eeh eh eh ehe  eh eh eeh Eeh eh eh ehe  eh eh eeh"|"Chœur :
Eeh eh eh ehe  eh eh eeh Eeh eh eh ehe  eh eh eeh"
10|"JB :
Venez les amis 
Venez le consoler dans sa souffrance 
ELI KENGE, GERMAINE la congolaise 
Dédicaces...
Venez consoler Héros  … Dédicaces …
JOSE KABEMBA, JUNIOR MOUANZA venez
Venez le consoler 
J'ai crié, crié, crié, crié, crié, crié, crié
C'est triste, c'est triste, c'est triste 
JB LUSALA, toi tu connais cette histoire
Dédicaces ..."|"JB :
Baninga bo ya eh 
Bo ya to consoler yeh na pasi na yé 
ELI KENGE eh GERMAINE la congolaise yoh
Dédicaces...
Bo ya to consoler Hero … Dédicaces … 
JOSE KABEMBA, JUNIOR MOUANZA boya 
Boya ko consoler yeh eh 
Na beleli beleli beleli beleli beleli beleli beleli 
Mawa yoyo mawa yoyo mawa yoyo  mawa yo yo yo
JB LUSALA y'oyebi histoire ya ngo ndengé ezalaka 
Dédicaces …"
