|french|lingala
0|"Comme le soleil, tu m’as séduit
                                                                                                   T’as brillé comme le reflet du miroir
                                                                                                   Comme le soleil, qui se lève à l’est 
                                                                                                   Pour aller se coucher loin, a l’ouest 
                                                                                                   De la même façon mon cœur a quitté mon corps 
                                                                                                   Pour aller habiter chez toi 
                                                                                                    Le soleil sèche le vêtement
                                                                                                   Chérie t’as séché mes larmes"|"Lekola moyi yo seduire nga haa
                                   O nguegui lekola reflet ya miroir 
                                   Lekola moyi ebimi na est 
                                   Ekeyi kolala mosika na ouest
                                   Ndengue motema etiki nzoto na nga aah 
                                   Ekeyi kovanda epayi na yo oooh 
                                   Moyi moko kawusaka elamba 
                                   Cherie yo kawusi mawi ya miso na nga"
1|"Je viens te faire voir mon cœur frappé par le coup foudre, je suis saoul d’amour 
                                                                                                   Je suis entrain de me demander ce qui m’arrive, ma vie à changer"|"Nayé ko talisa yo motema ezui coup de foudre na langwé l’amour 
                                   Nazili ko mituna eloko nini ekomeli nga ma vie a changé"
2|"L’amour ma pénétré dans les os, et m’oblige à te dire 
                                                                                                   Je ne te demande que ton cœur, je t’aime, et je crois en toi 
                                                                                                   Je suis devenu comme la personne qui découvre un trésor caché"|"Bolingo ekoteli nga aah na mikuwa ekotinda na yebisa yo 
                                   Na sengi yo se motema aah na lingi yo, nako likia epayi na yo 
                                   Na komi seko lekola aah moto oyo, akundoli trésor caché"
3|"Comme le soleil fait mal aux yeux, tu me donne la fièvre, je suis saoul d’amour 
                                                                                                   Toute la faute a mon corps, qui avait refusé de m’écouter
                                                                                                   Il à cherché à savoir, à comprendre tout le mystère de ta beauté"|"Lekola moyi esuaka na miso yo pesa nga fievre na langwé l’amour 
                                   Faute nioso oyo ya motema, eboyaki kutu koyokela nga ah
                                   Elukaki eyeba et comprendre mystere nioso ya kitoko na yo"
4|"Comme le soleil la source du feu 
                                                                                                   Tu as allumé un feu en moi"|"Lekola moyi source ya moto 
                                   Yo pelisi moto nakati na nga"
5|"Je viens te faire voir mon cœur frappé par le coup foudre, je suis saoul d’amour 
                                                                                                   Je suis entrain de me demander ce qui m’arrive, ma vie à changer"|"Nayé ko talisa yo motema ezui coup de foudre na langwé l’amour 
                                   Nazili ko mituna eloko nini ekomeli nga ma vie a changé"
6|"L’amour ma pénétré dans les os, et m’oblige à te dire 
                                                                                                   Je ne te demande que ton cœur, je t’aime, et je crois en toi 
                                                                                                   Je suis devenu comme la personne qui découvre un trésor caché"|"Bolingo ekoteli nga aah na mikuwa ekotinda na yebisa yo 
                                   Na sengi yo se motema aah na lingi yo, nako likia epayi na yo 
                                   Na komi seko lekola aah moto oyo, akundoli trésor caché"
7|"Comme le soleil, fini toujours par vaincre la durée puis la noirceur de la nuit 
                                                                                                   De la même façon nous allons vaincre, les médisances des gens 
                                                                                                   Le soleil indique l’heure, a toute personne qui n’a pas de montre 
                                                                                                   Nous aussi soyons une référence, soyons la référence des amoureux"|"Lekola moyi suka se elonga molayi pe molili oya butu 
                                   Ndengue biso pe toko longa masenginia nioso oyo ya ba nguna 
                                   Moyi moko lakisaka tango na moto oyo nioso azangi montre 
                                   Biso pe to zala reference, to zala reference ya b’amoureux"
8|2x|2x
9|"Je viens te faire voir mon cœur frappé par le coup foudre, je suis saoul d’amour 
                                                                                                   Je suis entrain de me demander ce qui m’arrive, ma vie à changer"|"Nayé ko talisa yo motema ezui coup de foudre na langwé l’amour 
                                   Nazili ko mituna eloko nini ekomeli nga ma vie a changé"
10|"L’amour ma pénétré dans les os, et m’oblige à te dire 
                                                                                                   Je ne te demande que ton coeur, je t’aime, et je crois en toi 
                                                                                                   Je suis devenu comme la personne qui découvre un trésor caché"|"Bolingo ekoteli nga aah na mikuwa ekotinda na yebisa yo 
                                   Na sengi yo se motema aah na lingi yo, nako likia epayi na yo 
                                   Na komi seko lekola aah moto oyo, akundoli trésor caché"
