|french|lingala
0|"Pour quoi nous les Hommes 
Nous acceptons tout le temps que Dieu est le Roi  
La naissance et la mort sont le domaine de Dieu  
Que tu sois dans le besoin ou riche, c’est sa volonté"|"Pona nini biso bato  
To ndima tango nioso Nzambé mokonzi  
M’botama to liwa ezali se ya Nzambé  
Ozangi, ozwi se ngouya nayé"
1|"Pour quoi alors 
Si tu perds un être aimé  
La souffrance envahi ton cœur  
Tu pleurs, et tu dis mon Dieu c’est injuste"|"Tina nini lisusu  
Soki okufeli moto olingaka  
Pasi elekeli yo na motema 
Oleli, olobi mon Dieu c’est injuste"
2|"Pour quoi alors 
Si tu perds un être aimé  
La souffrance envahi ton cœur  
Tu pleurs, et tu dis mon Dieu c’est injuste"|"Tina nini lisusu  
Soki okufeli moto olingaka  
Pasi elekeli yo na motema 
Oleli, olobi mon Dieu c’est injuste"
3|"Pour quoi nous les Hommes 
Nous acceptons tout le temps que Dieu est le Roi  
La naissance et la mort sont le domaine de Dieu  
Que tu sois dans le besoin ou riche, c’est sa volonté"|"Pona nini biso bato  
To ndima tango nioso Nzambé mokonzi  
M’botama to liwa ezali se ya Nzambé  
Ozangi, ozwi se ngouya nayé oh"
4|"Pour quoi alors 
Si tu perds un être aimé  
La souffrance envahi ton cœur  
Tu pleurs, et tu dis mon Dieu c’est injuste"|"Tina nini lisusu  
Soki okufeli moto olingaka  
Pasi elekeli yo na motema 
Oleli, olobi mon Dieu c’est injuste"
5|"Pour quoi le deuil  
Alors que demain, ca sera la fête, que la fête  
Maman Théthé est pari, Dalhia est née  
Quoi qu’il arrive, ils vont se voir là-bas"|"Tina nini mokuya  
Lobi na lobi se fêti na fêti  
Ma théthé akeyi Dalhia a botami  
Atandélé ba ko kutana se kuna"
6|"2x 
Maman je te le dit  
Apres ta mort y’aura pas de deuil  
Si tu as rejoins Dieu le père  
Les pleurs n’ont plus de raison d’être"|"2x 
Mama nako yebisa yo ah  
Sima ya liwa na yo pili te  
Soki o zongeli Kolo Nzambé 
Bilelo eza lisusu na tina té"
7|"Pour quoi le deuil  
Alors que demain, ca sera la fête, que la fête  
Maman Théthé est parti, Dalhia est née  
Quoi qu’il arrive, ils vont se voir là-bas"|"Tina nini mokuya  
Lobi na lobi se fêti na fêti  
Ma théthé akeyi Dalhia a botami  
Atandélé ba ko kutana se kuna"
8|"2x 
Maman je te le dit  
Apres ta mort y’aura pas de deuil  
Si tu as rejoins Dieu le père  
Les pleurs n’ont plus de raison d’être"|"2x 
Mama nako yebisa yo ah  
Sima ya liwa na yo pili te  
Soki o zongeli Kolo Nzambé 
Bilelo eza lisusu na tina té"
9|"Pour quoi alors 
Si tu perds un être aimé  
La souffrance envahi ton cœur  
Tu pleurs, et tu dis mon Dieu c’est injuste"|"Oooh tina nini lisusu  
Soki okufeli moto olingaka  
Pasi elekeli yo na motema 
Oleli, olobi mon Dieu c’est injuste"
10|"Pour quoi alors 
Si tu perds un être aimé  
La souffrance envahi ton cœur  
Tu pleurs, et tu dis mon Dieu c’est injuste"|"Oooh tina nini lisusu  
Soki okufeli moto olingaka  
Pasi elekeli yo na motema 
Oleli, olobi mon Dieu c’est injuste"
11|"Pour quoi le deuil  
Alors que demain, ca sera la fête, que la fête  
Maman Théthé est parti, Dalhia est née  
Quoi qu’il arrive, ils vont se voir là-bas"|"Tina nini mokuya  
Lobi na lobi se fêti na fêti  
Ma théthé akeyi Dalhia a botami  
Atandélé ba ko kutana se kuna aaah"
12|"Pour quoi le deuil  
Alors que demain, ca sera la fête, que la fête  
Maman Théthé est parti, Dalhia est née  
Quoi qu’il arrive, ils vont se voir ah"|"Tina nini mokuya  
Lobi na lobi se fêti na fêti  
Ma théthé akeyi Dalhia a botami  
Atandélé ba ko kutana ah    "
