|french|lingala
0|"Dieu 
Dieu"|"Nzaaambé heee yé yé yé yéeeeh 
Nzambé yé yé yéeeh"
1|"Dieu  a crée le monde à sa manière, pourquoi nous les Hommes voulons détruire le monde de Dieu ? 
Celui qui dira que le monde est compliqué se trompe, il pense que le monde avait été créé avec le péché alors que c’est lui qui l’a emmené ici bas 
Sache qu’on vient au monde les mains vide, certains commencent à se venter des biens matériels tout cela va rester, ici bas c’est Dieu le seigneur"|"Nzambé asala mokili mama he na ndengué na yé, tina nini biso bato tolingi ko bebisa mokili ya Nzambé
Moto ako loba mokili compliqué amikosi nzoto, a kanisi mokili ebotama na masumu nzoka yé moto akumba masumu na mokili ya osé oh 
Yeba toyaka maboko mibalé awa na mokili, basusu ba koma kotuta tolo na biloko bya mokiliii biso bikotikala awa osé Nzambé  mokonzi"
2|"Aime ton prochain comme toi-même, comme le veut Dieu, demande pardon à Dieu 
La vie éternelle 
J’ai pleuré avec mes larmes, Dieu écoute moi 
La vie éternelle
Je t’implore de nous bénir tes enfants 
La vie éternelle 
…
La vie éternelle"|"Linga moninga lekola omilingaka commandement ya Nzambé, senga tubela na Nzambé Di eh 
Bomoyi bwa seko 
Na leli na mayi na miso na nga Nzambé yoka nga 
Bomoyi bwa seko 
Na ko senga y’okangola biso bana oh 
Bomoyi bwa seko
Yeeeh ye ye ye ooh 
Bomoyi bwa seko"
3|La  parole de Dieu ne passera jamais, il est le seigneur|La parole de Dieu ne passera jamais, ye mei mokonzi
4|"2x
Les amis écoutez l’histoire des membres d’extra 
Laissez les fétiches, allons glorifier Dieu le seigneur qui nous aime dans son cœur
Arrête d’ignorer la bonne voie"|"2x
Baninga boyoka lisésé ya bana extra
Botika ni bakisi boya tokendé kokumisa Nzambé mokonzi alingi biso na motema
Tika ni ko ignorer nzela malamu di oh ohooo"
5|"Transmets mes salutations aux sœurs de l’église Catholique 
Transmets mes salutations aux sœurs de l’église Némique 
Transmets mes salutations aux sœurs de l’église Evangélique 
Kimbanguiste, Maranatha Dieu tu es le seigneur"|"Pesela nga mboté na ba sœur ya Catholique 
Yo tindela nga mboté na ba sœur ya Nemiki 
Yo pesela nga mboté na ba soeour ya Evangelique 
Kimbanguiste Maranatha Nzambé yo mokonzi"
6|"Je refuse que l’on m’appelle sorcier ici bas 
Je refuse que l’on m’appelle le souverain pontife des sorciers
J’irais chez le prête qu’il me débarrasse de la malchance, ange Gabriel au secours"|"Naboyi ba benga nga moloki ya se oh 
Naboyi ba benga nga souverain pontife ya ba ndoki  
Nako kendé epayi ya nganga Nzambé alongola nga botutu, ange Gabriel au secours ah yeh"
7|"Les amis écoutez l’histoire des membres d’extra 
Laissez les fétiches, allons glorifier Dieu le seigneur qui nous aime dans son cœur
Arrête d’ignorer la bonne voie"|"Baninga boyoka lisésé ya bana extra
Botika ni bakisi boya tokendé kokumisa Nzambé mokonzi alingi biso na motema
Tika ni ko ignorer nzela malamu di oh ohooo"
8|"Au commencement y’avait la parole, la parole a créée toute chose de ce monde
Ensuite elle a créé les Hommes de ce monde"|"Na ebandeli ebandaka se na liloba, liloba eyé kosala biloko biso bwa mokili
Nasima eyé ndé kosala bato oh ohoo ya mokili oyo oh oh"
9|"Dieu ma créé dans ce monde et ma donné son souffle, laissez moi travailler pour l’eternel Allah 
Au lieu de tuer des enfants, des familles, pour en tirer de l’argent occulte, je refuse le jugement dernier en enfer"|"Nzambé esali nga mokili apesi nga souffle na yé tika na salela l’Eternel Allah ah ah 
Yako silisa bana, na ba famille, bongo ya moyékè, na boyi jugement ya suka na lifelo"
10|"2x
Les amis écoutez l’histoire des membres d’extra 
Laissez les fétiches, allons glorifier Dieu le seigneur qui nous aime dans son cœur
Arrête d’ignorer la bonne voie"|"2x
Baninga boyoka lisésé ya bana extra
Botika ni bakisi boya tokendé kokumisa Nzambé mokonzi alingi biso na motema
Tika ni ko ignorer nzela malamu di oh ohooo"
