|french|lingala
0|Viens afin que je puisse t'aimer avant que la mort ne vienne me chercher DJINO|Yaka yaka nalanga yo bongo sima liwa eya kozua ngai yo DJINO
1|"Je n'ai jamais aimé ainsi 
Je ne me suis jamais donné ainsi 
DJINO, tu veux ma mort 
Si jamais tu ne changes pas
Ta façon d'être avec moi 
Ton comportement envers moi DJINO
Tandis-que les autres sont bras dessus, bras dessous, moi la main ne quitte jamais les joues 
Comme si je n’avais personne au monde 
Tout cela Parce que BOKANA tu ne donnes pas de tes nouvelles 
Comme tu as construit un enfer entre toi et moi et pourtant
Ton image dans mon cœur, est comme un soleil éternel à l'horizon 
Sache que même dans ma tombe, je t'aimerai toujours 
DJINO BOKANA la grande sœur à IZA 
Là où tu me vois je suis fatigué DJINO, j'ai déjà porté pour toi la croix d'amour 
Pourquoi m'as-tu encore choisi comme punition ton silence , alors que j'avais de l'espoir"|"Nanu nga nalanga boyé te oh 
Nanu na mipesa bongo te 
DJINO yak'osombela nga liwa eh 
Soki oko changé te dit eh 
Ndengé nayo ya kozala na nga 
Ezaleli nayo epayi na nga DJINO 
Bazingani bras dessus, bras dessous baninga oyo ya ngai leboko elongwaka na litama te oh
Lekola nazanga moto na mokili 
Kaka po BOKANA y'oko tinda ata sango te 
Lokola otongi efelo nakati ya ngai na yo et pourtant 
Elongi nayo na motema na ngai lokola mwesé ya seko na horizon 
Yeba ng'ata nakati ya lilita nakozala na nga kaka kolingaka yo eh 
DJINO BOKANA yaya na IZA eh 
Nalembi nzoto awa nazali DJINO nasi nakumbela yo kuruzu ya bolingo 
Po nini opesi ngai lisusu etumbu ya silence na yo ya ngai na kokisi mabanzo"
2|Viens afin que je puisse t'aimer avant que la mort ne vienne me chercher DJINO|Yaka yaka nalanga yo bongo sima liwa eya kozua ngai yo DJINO
3|"Fais comme moi DJINO
Laisse ton cœur s'exprimer
Le cœur ne se trompe jamais sur la chose qu'il désire 
Le mien te désire DJINO, le mien te désire DJINO, le mien  te désire DJINO"|"Sala lokola nga moniga DJINO
Tika motema nayo eloba 
Motema ebungaka t'eloko yango elingi
Oyo ya nga elingi DJINO, oyo ya nga elingi yo DJINO, ya nga elingi yo DJINO"
4|"La lune et le soleil DJINO
Le vent, les nuages et les étoiles dans le ciel
Je ne les ai pas demandés mais Dieu me les a donnés 
Et l'amour que je te demande, pourquoi tu me le refuses alors qu'on l'a trouvé sur terre"|"Sanza na mowi DJINO
Mopepe, mapata, minzoto na likolo 
Na senga te kasi NZAMBE apesa nga yango
Bongo bolingo na sengi yo, opima ngai tina nini, eloko tokuta na nsé"
5|"Si beaucoup d'herbes poussent 
Sur le chemin que j'emprunte pour te rencontrer 
Je demanderai à Dieu de me changer en bête sauvage 
Même si tu ne me reconnais pas quand je serais arrivé 
Je vais te reconnaître parce que tu es mon maître DJINO, DJINO"|"Matiti soki eboti ebele ebele 
Na nzela nayaka mpo tokutana nayo 
Nakosenga NZAMBE akomisa nga niama ya zamba 
Ata y'obosani ngai tango nako ya
Nga nako yeba se yo po yo kolo nga  DJINO,  DJINO"
6|"Le fils du Roi ne fait jamais de la prison 
La famine non plus ne s'invite pas dans la maison du Roi 
Maintenant que je t'ai enfermé dans mon cœur 
Dis à ton père que ceci n'est pas un péché 
C'est tout simplement parce que je t'aime DJINO
Parce que j'aime la grande sœur d'IZA"|"Mwana ya mokonzi akota boloko te 
Nzala mpe ekotaka jamais na ndako ya mokonzi 
Awa nga nakangi yo nakati ya motema ngai
Yebisa papa yango eza lisumu te 
Wana ezali kaka po nga nalingi  yo DJINO
Mpo nga nalingi yaya na IZA"
7|"Les paroles d'amour DJINO
Si elles n’étaient pas quelques choses de gratuit 
Pauvre comme je suis, je n'aurais pas pu te les offrir
Comme ce n'est pas le cas, laisse moi profiter
De te dire que mon cœur t'aime DJINO
Mon cœur aime maman LOLO"|"Maloba oyo ya bolingo DJINO
Soki ezalaki eloko ya ofele te 
Ngai mobola nde nazangaki kosombela yo 
Lokola ezali boyé te tika na profiter 
Nayebisela yo te motema elingi yo DJINO 
Motema elingi mama LOLO"
8|"La lune et le soleil DJINO
Le vent, les nuages et les étoiles dans le ciel
Je ne les ai pas demandés mais Dieu me les a donnés 
Et l'amour que je te demande, pourquoi tu me le refuses alors qu'on l'a trouvé sur terre"|"Sanza na mowi DJINO
Mopepe, mapata, minzoto na likolo 
Na senga te kasi NZAMBE apesa nga yango
Bongo bolingo na sengi yo, opima ngai tina nini, eloko tokuta na nsé"
9|"Le fils du Roi ne fait jamais de la prison 
La famine non plus ne s'invite pas dans la maison du Roi 
Maintenant que je t'ai enfermé dans mon cœur 
Dis à ton père que cela n'est pas un péché 
C'est tout simplement parce que je t'aime, c'est de l'amour"|"Mwana ya mokonzi akota boloko te 
Nzala mpe ekotaka jamais na ndako ya mokonzi 
Awa nga nakangi yo nakati ya motema ngai
Yebisa papa yango ezali lisumu te 
Wana ezali kaka po nga nalingi  yo eza l'amour"
