|french|lingala
0|"SANGI PUMBA  
Il est toujours difficile d'être aimé, qu'aimer"|"SANGI PUMBA 
Il est toujours difficile d'être aimé, qu'aimer"
1|"SANGI PUMBA je viens te demander  
S'il n y a pas moyen que l'on se sépare  
Trop de mal a été fait, le cœur n y est plus  
Je te rends ta liberté, pour-que tu puisses t'amuser  
Je refuse que mes yeux regardent une chose 
Une chose que demain je perdrai"|"SANGI PUMBA na ye nde kosenga yo
Soki moyen ezali tokabuana 
Mabe eleki, motema mobebi eh 
Na pesa yo liberté osakana 
Naboyi miso na nga etala eloko
Eloko ekobunga lobi oh mama"
2|"Me voici sur le chemin du retour  
Avec un fardeau sur la tête  
Je ne suis plus jaloux, ma patience a ses limites  
Je vous donne la permission de vous marier 
Si un enfant veut jouer avec le feu  
Laisser le faire, le jour où il se brûlera il le comprendra"|"Ngaï oyo nakomi nde kozonga 
Na sanduku ya makambo na moto
Na longoli zuwa patience esili eh 
Na pessa bino permission bobalana 
Soki muana elingi kosimba moto
Botika ye asimba mokolo akozika akoyeba"
3|"Hier encore, je vous ai trouvés ensemble  
Bras dessus, entrain de s'embrasser  
Tu as ouvert les yeux, tu m'as vu et tu as baissé ton regard  
Tu as eu honte et tu t'es mise à pleurer  
Arrête cette hypocrisie, tu n'as qu'un seul cœur  
Comment pourrais-tu nous aimer tous les deux 
Tu vas me mettre où ?"|"Lobi lisusu nakutaki yo na ye 
Bras dessus ekopi na monoko 
Ofongoli miso otali nga okitisi elongi
Oyoki soni obandi se kolela 
Tika hypocrisie ozali na motema moko
Ndege nini okolinga biso mibale 
Oko tia nga wapi ?"
4|"REFRAIN 
Économise tes larmes 
Tu ne pleures que pour tes péchés  
Je refuse que tu me touches  
Tes mains sont entachées de sang  
Le sang de mon cœur que tu as blessé  
Tu m'as planté une flèche  
Va te faire laver les mains  
Chez un prêtre avec de l'eau bénite"|"REFRAIN
Bomba mayi nayo ya miso 
Oko lela masumu nayo 
Naboyi osimba nga na nzoto 
Maboko nayo matondi makila 
Makila ya motema na nga ozokisi
Otubi nga nde likonga eh 
Kende basukola yo maboko eh  
Epayi ya sango na eau bénite oh mama"
5|"Toi seule as choisie ce chemin  
Je te souhaite seulement bonne chance  
Avec lui, soit un peu fidèle  
Ne le traite pas de la même façon que tu m'as traitée  
Une femme n'a jamais deux maris 
Depuis nos ancêtres  
Ne gâche rien, pour que tu cherches à retourner avec moi  
Tu me trouveras déjà marié et tu me donneras la faute"|"Yo moko oponi nzela wana eh 
Natombeli yo kaka chance 
Epayi na ye zala mwa fidèle 
Kosala ye ndenge osali nga te oh
Mwasi azalaka na mibali mibale te 
Banda bokoko na biso eh 
Kobebisa te sima ozongela ngaï
Okokuta nga na si na bala oko pesa nga faute"
6|"Si un jour KINTSALA 
Tu cueilles une fleur rose  
Même si son cœur est fané 
Ne la jette pas encore  
Il se peut que ce soit la dernière  
Qui se trouve dans les champs  
Tu retourneras en chercher, tu vas regretter  
Il n'y aura plus d'autres fleurs"|"Soki mokolo mosusu KINTSALA
Obuki fleur rose 
Atako motema na yango enuna 
Kobwaka yango nanu te oh 
Tango mosusu se yango ya suka 
Oyet'etikala na kati y'elanga 
Oko ya kozonga sima oko regretter
Fleur mosusu ezali te PATRICK MANGASA"
7|"Enlève ta main sur la joue  
Arrête cette hypocrisie 
Je refuse ton pardon pas sincère  
Dis plutôt merci à ma patience 
La où tu es partie le conseil que je te donne  
Reste à la maison et attends la richesse  
Ne gâche rien, pour retourner avec moi  
Tu trouveras la porte fermée et un chien méchant"|"Longola loboko na litama
Tika kosala hypocrisie
Naboyi pardon na yo ya litsho 
Pesa merci na patience na nga 
Epayi okei toli napesi yo
Vanda na ndako zela se bomengo 
Kobebisa te sima ozongela ngaï
Okokuta porte bakanga et chien méchant"
8|"SANGI PUMBA  
Je t’avais dit  
 N'écris pas mon nom sur le sable  
Surtout quand les vagues arrivent  
Écris le sur un caillou  
Même les MARTINS-PÊCHEURS viendront le lire  
Tu sais bien chérie, que je suis un poisson  
C'est vrai que j'adore l'eau  
Mais l'eau chaude, je ne la supporte pas"|"SANGI PUMBA
Nalobaki na yo   
Ko koma kombo na ngaï likolo ya zelo te mama 
Surtout tango mbonge ezali koya 
Koma yango likolo ya libanga 
Ata ba MARTIN-PÊCHEURS ba koya kotanga 
Oyebi bien que mama ngaï nazali mbisi 
Ya solo na lula mayi 
Kasi oyo ya moto na lingaka te"
9|"Toi seule as choisie ce chemin  
Je te souhaite seulement bonne chance  
Avec lui soit un peu sérieuse 
Ne le traite pas de la même façon que tu m'as traitée 
Une femme n'a jamais deux maris 
Depuis nos ancêtres  
Ne gâche rien, pour retourner avec moi 
Tu me trouveras déjà marié et tu me donneras la faute"|"Yo moko oponi nzela wana eh 
Natombeli yo kaka chance
Epayi na ye zala mwa sérieuse 
Kosala ye ndenge osali nga te oh 
Mwasi azalaka na mibali mibale te 
Banda bokoko na biso eh 
Kobebisa te sima ozongela ngaï
Okokuta nga na si na bala oko pesa nga faute"
10|"SANGI PUMBA 
Entre mes mains 
Tu as fait le désordre  
Comme chaque enfant le fait chez ses parents  
Mais ce n'est pour autant que je t'ai quitté  
Là ou tu es partie, montre lui de la fidélité chérie  
Ne le traite pas de la même façon que tu m'as traitée 
Ainsi tu auras le bonheur  
Je crains qu'il te quitte assez vite  
Tu vas errer pour rien  
Cela me fera mal  
Tu sais que, je t'ai beaucoup aimé"|"SANGI PUMBA
Na maboko na ngaï
Osalaki mobulu 
Lokola mwana nioso akosalaka na ndako ya tata na mama 
Kasi naboyaka yo te 
Epay'okei lakisa ye fidélité chérie 
Kosala ye ndenge osali nga te
Nde ozui bomengo 
Nazali kobanga noki oboya yo 
Okoya ko telengana ya pamba 
Oko sala ngaï mpasi 
Oyebi que, nalingaki yo mingi"
