|french|lingala
0|"KOFFI :
Il pleut sur la ville, comme elle fleurit dans mon cœur"|"KOFFI :
Il pleut sur la ville, comme elle fleurit dans mon cœur"
1|"Chœur :
EKATSHAKA"|"Chœur :
EKATSHAKA eh"
2|"KOFFI :
EKATSHAKA hein
Une chose énorme, m'est arrivé aujourd'hui
Une chose hors de prix, m'est arrivé 
Une chose énorme, m'est arrivé aujourd'hui
Une chose hors de prix, m'est arrivé, moi !, EKATSHAKA ma vraiment aimé 
Allez FALLY, allons-y"|"KOFFI :
EKATSHAKA hein
Ya monene ekweli nga lelo 
Oyo eluti nga motuya ekweli ngaé 
Ya monene ekweli nga lelo 
Oyo eluti nga motuya ekweli nga, ngayo EKATSHAKA vraiment alingi nga ngayo oh 
Allez FALLY tokey"
3|"FALLY :
Une chose énorme, m'est arrivé aujourd'hui
Une chose énorme, m'est arrivé aujourd'hui
Une chose énorme, m'est arrivé aujourd'hui
EKATSHAKA ma vraiment aimé, moi !, moi ! Moi !"|"FALLY :
Ya monene ekweli nga lelo 
Ya monene ekweli nga lelo 
Oyo ya kafumba lelo ekweli nga ah 
EKATSAKA lelo alingi nga, nga, nga"
4|"KOFFI :
Hum ton amour est une mer, ou peut être un océan, j'en sais rien 
Par-contre moi le comprimé effervescent, je le sais 
Même dans un verre d'eau je ne serai pas guéri, EKATSHAKA viens me chercher 
Tu es la mort que je me suis choisi"|"KOFFI :
Hum bolingo nayo ezali la mer, soki mpe océan nga nayebi te 
Kasi nga comprimé ya effervescent nga nayebi 
Ata na verre ya mayié, nako bika te EKATSHAKA yak'ozua no ngaï
Y'oza liwa oyo ngaï na miponeli, ayeh"
5|"KOFFI et FALLY :
Quelle vitamine dois-je prendre, pour être suffisamment bon 
Digne de l'amour d'EKATSHAKA, que je sache prendre soin d'elle aujourd'hui et demain"|"KOFFI et FALLY :
Ayeh, vitamine nini ? Oyo na mela nakoma suffisamment bon 
Digne y'amour ya EKATSHAKA nayeba kolengela ye lelo na lobi"
6|"KOFFI :
LAMARTINE, VERLAINE, BEAUDELAIRE
De la haut, prenez note EKATSHAKA"|"KOFFI :
LAMARTINE, VERLAINE, BEAUDELAIRE
De la haut, prenez note EKATSHAKA"
7|"Choeur :
EKATSHAKA, je suis vraiment trop triste 
Mon cas, je ne sais pas vraiment comment il va se terminer, j'aime trop, veille sur moi BELLA MARIA"|"Choeur :
EKATSHAKA nga vraiment eh mawa trop 
Cas na nga nayebi tin'oyo ndenge ekosuka vraiment, kolinga eleki trop talela nga BELLA MARIA"
8|"FALLY :
Hoouu hou, je l'aime, c'est vrai que je l'aime 
Mon DIEU, cette fois-ci si je mens 
Donne moi une punition, le jour de ma mort 
Que personne ne me pleurs, ni n'ait pitié de moi 
Que mon corps aille tout seul aux cimetières avec son amour
EKATSHAKA"|"FALLY :
Hoouu hou nalingi, c'est vrai nga nalingi eh 
NZAMBE ya mbal'oyo soki na buki lokuta 
Pesa nga etumbu mokolo ya liwa nga eh 
Moto alela nga te, moto pe te a yoka nga mawa
Na kende ngamoko na nzela ya lilita na bolingo na nga, yeeh yeh yeh eh eh EKATSHAKA"
9|"KOFFI :
Le chien s'étonne de la laisse au niveau des hanches 
Mais pas de celle au niveau du cou
Viens m'emmener jusqu'à la fin"|"KOFFI :
IMBWA ekamwaka singa ya loketo 
Kasi oyo ya kingo te 
Yak'o komisa nga na suka"
