|french|lingala
0|"Elle était la  
                                                                                             Proche de moi  
                                                                                             La ou elle est parti me sépare d’elle"|"Azalaki awa 
                               Pembeni na nga 
                               Esika akeyi ekaboli nga na yé"
1|"Elle est en voyage, sa maison si loin  
                                                                                             La distance qui nous sépare, elle sur une rive et moi sur l’autre"|"Ye na bembo na ndako mosika 
                               Distance na kati ye ngambo ngai na ngambo"
2|"A certains moments, quand je pense comment on était, cela me fait peur  
                                                                                             La personne que j’aime, soit si loin  
                                                                                             Je suis rempli de souvenirs dans mon cœur  
                                                                                             Ou irai-je pleurer ?, que ferai-je ?, ou irai-je ? 
                                                                                             J’ai commencé à penser tout seul"|"Tango mususu soki na kanisi ndengué oyo tozalaki epesi nga kobanga 
                               Moto na lingi akoma mosika 
                               Natondi na ba souvenirs na motema
                               Na lela na nani ?, na salako nini ?, na kende ko wapi ?
                               Nakomi se ko banza ngai moko"
3|"Elle était la  
                                                                                             Seulement ici  
                                                                                             Ma chérie est partie  
                                                                                             Elle m’avait dit qu’elle devait rentrer  
                                                                                             Seulement ici  
                                                                                             Moi qui l’attends"|"Azalaki se awa
                               Se awa
                               Cherie a keyi nayé
                               Alobaki na ngai akozonga
                               Se awa
                               Ngako na zelaka yé"
4|"Elle était la  
                                                                                             Seulement ici  
                                                                                             Ma chérie est partie loin  
                                                                                             Elle m’avait dit qu’elle devait rentrer  
                                                                                             Seulement ici  
                                                                                             Elle finira par rentrer"|"Azalaki se awa
                               Se awa
                               Cherie a keyi mosika
                               Alobaki na ngai akozonga
                               Se awa
                               Suka se okoya"
5|"Je ne vais pas me fatiguer, je vais l’attendre  
                                                                                             C’est vrai que je vais y arriver, que je sois seulement patient  
                                                                                             Je cherche à lire sa missive, mon sang se trouble, et mon corps tremble 
                                                                                             Je commence à entendre sa voix, et dans mes yeux à voir sa silhouette  
                                                                                              Dans mon rêve, ma chérie me tiens la main et moi je suis troublé  
                                                                                              J’ouvre les yeux, et je regarde autour de moi mais y’a personne  
                                                                                             Je commence à me demander tout seul"|"Nako lemba te nako zela ye eh 
                               Solo nga nako koka na kanga se motema 
                               Naluka na tanga mokanda nayé makila eko panzana nzoto eko lenga 
                               Nakomi koyoka mongongo nayé, na miso nako mona se elili nayé eh 
                               Na kati ya ndoto mobimba ya cherie asimbi nga loboko ooh na zui trouble
                               Na fongola miso na tala pembeni kasi moto te eh 
                               Nakomi ko mituna ngai moko oh"
6|"Elle était la  
                                                                                             Seulement ici  
                                                                                             Ma chérie est partie  
                                                                                             Elle m’avait dit qu’elle devait rentrer  
                                                                                             Seulement ici  
                                                                                             Moi qui l’attends"|"Azalaki se awa
                               Se awa
                               Cherie a keyi na yé
                               Alobaki na ngai akozonga
                               Se awa 
                               Nga ko na zelaka yé"
7|"Elle était la  
                                                                                             Seulement ici  
                                                                                             Ma chérie est partie en voyage  
                                                                                             Elle m’avait dit qu’elle devait rentrer  
                                                                                             Seulement ici  
                                                                                             Elle finira par rentrer"|"Azalaki se awa
                               Se awa 
                               Cherie akeyi mobembo 
                               Alobaki na ngai akonzonga 
                               Se awa 
                               Suka se ako ya"
8|"Aujourd’hui je crois a ceux qui l’avaient dit, c’est vrai que la maladie d’amour n’a pas de remède  
                                                                                             L’amour comme un jardin de rose qui pousse dans nos cœur, prends ‘en soin  
                                                                                             Au bout d’un certains temps on va en faire des parfums  
                                                                                             Partout ou on ira, on va le mettre  
                                                                                             Là-bas ou t’es, que tu rêves de moi  
                                                                                             Même à la fin de ton sommeil pour que je sois sauvé  
                                                                                             La plaie dans mon cœur ne demande que ta présence 
                                                                                             Je commence à chanter tout seul"|"Lelo na nzimii bayé baloba solo maladie ya bolingo eza na kisi te eh 
                               Bolingo lekola elanga ya rose ekoli omitema batela yango malamu
                               Simi ya mikolo to sala malasi
                               Partout tokokende to pakola ya ngo oh
                               Kuna yo zali ih olotoko nga ah 
                               Ata na suka ya pongi ih po na bika 
                               Pota na motema ezali ko senga presence na yo 
                               Nakomi se koyemba ngai moko oh"
9|"Elle était la  
                                                                                             Seulement ici  
                                                                                             Ma chérie est partie  
                                                                                             Elle m’avait dit qu’elle devait rentrer  
                                                                                             Seulement ici  
                                                                                             Moi qui l’attends"|"Azalaki se awa
                               Se awa
                               Cherie a keyi na yé
                               Alobaki na ngai akozonga
                               Se awa 
                               Nga ko na zelaka yé"
10|"Elle était la  
                                                                                             Seulement ici  
                                                                                             Ma chérie est partie loin 
                                                                                             Elle m’avait dit qu’elle devait rentrer  
                                                                                             Seulement ici  
                                                                                             Elle finira par rentrer"|"Azalaki se awa
                               Se awa 
                               Cherie akeyi mosika 
                               Alobaki na ngai akonzonga 
                               Se awa 
                               Suka se ako ya"
11|...|...
12|"Je sais qu’elle va rentrer  
                                                                                             Seulement ici 
                                                                                             Je patiente mais ma souffrance ne fini pas  
                                                                                             Rentre pour me consoler  
                                                                                             Seulement ici  
                                                                                             Je commence à être malade, par trop de soucis  
                                                                                             Ma chérie était seulement la, aujourd’hui elle est partie"|"Nayebi ako zonga
                               Se awa
                               Nakangi motema kasi pasi esilite 
                               Zonga o consolé nga 
                               Se awa 
                               Na bandi kobela soucis elekeli ngai 
                               Cherie azalaki se awa lelo akeyi na ye    "
