|french|lingala
0|"Intro :
Nid d'amour, lit d'amour
Ne deviens pas mon lit de mort
Ceci est une opération du cœur
Pratique la à la manière des grands peintres, que les cicatrices ne soient pas visible 
L’amour commence à me balader comme un cheval, on dirait un esclave 
MODOGO BOTEKOLA, donne-moi raison"|"Intro :
Nid d'amour, lit d'amour
Ne deviens pas mon lit de mort
Eza opération ya motema
Sala yango na ndenge ya ba grand peintre, cicatrice emonana té
Bolingo ekomi kotambwisa nga lokola cheval, mowumbu kaka te
MODOGO BOTEKOLA, pesa nga raison"
1|"Chez moi, tu me dis je t’aime, chez elle aussi tu dis je t’aime 
Finalement, est-ce que tu es entrain de faire du tourisme avec des je t’aime 
La joue que tu embrassais hier, est devenue nauséabonde aujourd’hui
Les yeux qui m’admiraient hier, aujourd’hui admirent la rivale 
Tu m’appelles bébé, elle aussi tu l’appelles bébé 
Qui est dans la lumière, et qui est dans l’ombre 
L’amour basé sur le mensonge est condamnable"|"Epayi na nga je t'aime, epayi na ye mpe je t'aime
Finalement est-ce que okomi kosala tourisme ya ba je t'aime
Litama opesaki nga baiser ekomi nausée
Miso elulaki nga lelo ekomi kolula mbanda
Y’obengaka bébé, ye mpe lisusu bébé 
Nani mwinda mpe nani elili, aaie
Ayé , bolingo ya lokuta condamnable"
2|"Le même stylo, le même texte, tu n’as changé que d’écriture 
Est-ce que ceci n’est pas ce qu’on appelle de l’escroquerie 
Je pensais comme tu m’as mis un embargo dans le cœur 
J’en mourais, comme je ne suis pas mort, gloire à Dieu"|"Stylo moko texte moko o changer kaka écriture
Est-ce-que oyo eza te oyo babengaka escroquerie
Nabanzaki lokola o tié nga embargo na motema
Nakokufa lokola nakufi te gloire à Dieu"
3|"Hier, le thermomètre avait indiqué la température de l’amour à quarante degrés
Aujourd’hui il indique la température de l’amour à douze degrés  
La maladie pour laquelle il existe un traitement tue
Et pour la maladie de l’amour comment survivrais-je 
La souffrance est devenue la résidente permanente dans mon cœur"|"Thermomètre e indicaki lobi amour quarante degré
Lelo epesi température y’amour douze degré
Maladie oyo bazwela kisi kutu ebomaka ngo ya 
Bongo maladie y’amour nakobika comment
Souffrance ekomi résidente, permanente na motema he"
4|"La personne que j’aime, ne me rend pas cet amour 
Elle aussi, là où elle est partie aimer, on ne lui rend pas son amour 
Elle préfère être jugée dans un tribunal où l’accusé et la plaignante c’est elle-même"|"Hee moto nalingi alingi nayé ngayi te oh 
Ye pe epayi akeyi kolinga bazolinga ye te
A préféré asamba na tribunal oyo accusé pe plaignant kaka nse ye mei
Baninga tokeba bolingo ezali médicament
Kasi médicament avec ba contre-indication
Soki o souhaité ye bonne appétit keba akodundana yo mei
Soki opesi au revoir akoyoka adieu
Soki o souhaité ye bon sommeil kebaka moninga akoya kozongisela yo repose en paix
Motema oyo ekomaki lipasa n’oyo ya ngayi mei
Soki elingi caresse par télépathie nazalaki ko yeba
Soki elingi tendresse ezalaki servie à volonté
Nani à détourné lelo motema na lipasa
Soso ata a moni ba mpese kama pembeni ya kombekombe
Akobanga he ngayi mpe nabangi vie na ngayi 
Dédicace  …
Maboko na yo eza na makila ya bolingo na ngayi
Epayi na nga je t'aime, epayi na ye pe je t'aime
Finalement est-ce-que okomi kosala collection ya ba je t'aime
Litama opesaki nga baiser ekomi nausée 
Miso elulaki nga lelo ekomi kolula mbanda
y’obengaka bébé, ye mpe lisusu bébé 
Est-ce-que nini osalaka nga osalaka mpe ye te ?
Oloba nga naloba
Lelo nandimi maloba ya moto ezalaka stylo
Ekomaka oui, ekomaka non sa dépend
Likonga ya montre na yo etelemi na onze heures 
Na douze heures nazakolela ngonga eleli
Pile esili nto nini bolingo e traîné he
JHON PASU yo yo yo
JHON PASU moto ya bandoki bitumba esili tobongisa he
Bandoki yo osimbi nga arme na nga maloba he
Boma soki okoboma nzoto tikela nga molimo he
Nzambe akozongisa yo mokolo ya suka JHON PASU linga no nga
Y’oweli vilain na bombe nga moto ya Malueke
Ngoumba, diamant na wolo nioso kaka nse ba sous sol 
Nakosenga au sécour ONU a tinda ba casques bleu 
Mpo ba sauvé bolingo
Motema epusa mpe etangisi makila he
Opération te mbeli ya monganga té 
Soki batuni nga nakoloba nini eh
Bati nga te mbeli kasi nazo saignée
JHON PASU pona yo eh, JHON PASU assassiné ngayi eh
Police emmène moi mon amour
Marabout envouté bien aimé
… bimisela nga ye na butu
Kisi ya bolingo nse boligo magie te oh 
Nakosuka wapi JHON PASU fatigué oo
JHON PASU yoo yo yo, JHON PASU ngayi awa matanga
Yoo yo yo, ngai awa matanga he (3x)
"
5|"Les amis, faisons attention, l’amour est un médicament 
Mais un médicament avec des contre-indications 
Si tu lui souhaites bon appétit, fait attention c’est toi qu’il va avaler 
Si tu lui dis au revoir, il entend adieu 
Si tu lui souhaites bon sommeil, fait attention mon ami, il va te répondre repose en paix"|"Baninga tokeba bolingo ezali médicament
Kasi médicament avec ba contre-indication
Soki o souhaité ye bonne appétit keba akodundana yo mei
Soki opesi au revoir akoyoka adieu
Soki o souhaité ye bon sommeil kebaka moninga akoya kozongisela yo repose en paix"
6|"Ton cœur qui était devenu le jumeau du miens 
Quand il avait envie de caresses par télépathie, je le savais 
Quand il voulait de la tendresse, c’était servi à volonté 
Qui a détourné aujourd’hui ton cœur de son jumeau"|"Motema oyo ekomaki lipasa n’oyo ya ngayi mei
Soki elingi caresse par télépathie nazalaki ko yeba
Soki elingi tendresse ezalaki servie à volonté
Nani à détourné lelo motema na lipasa"
7|"La poule même si elle voit cinq cent cafard près de l’épervier 
Elle ne va pas s’en approcher, moi aussi je crains pour ma vie 
Dédicace . . .
Tes mains sont entachées du sang de mon amour"|"Soso ata a moni ba mpese kama pembeni ya kombekombe
Akobanga he ngayi mpe nabangi vie na ngayi 
Dédicace  …
Maboko na yo eza na makila ya bolingo na ngayi"
8|"Chez moi, tu me dis je t’aime, chez elle aussi tu  dis je t’aime 
Finalement, est-ce que tu es entrain de collectionner des je t’aime 
La joue que tu embrassais hier, est devenue nauséabonde aujourd’hui
Les yeux qui m’admiraient, aujourd’hui admirent la rivale 
Tu m’appelles bébé, elle aussi tu l’appelles bébé 
Qu’est-ce que tu me fais que tu ne le lui fais pas"|"Epayi na nga je t'aime, epayi na ye pe je t'aime
Finalement est-ce-que okomi kosala collection ya ba je t'aime
Litama opesaki nga baiser ekomi nausée 
Miso elulaki nga lelo ekomi kolula mbanda
y’obengaka bébé, ye mpe lisusu bébé 
Est-ce-que nini osalaka nga osalaka mpe ye te ?"
9|Parle, pour que je parle|Oloba nga naloba
