|french|lingala
0|"Est-ce que tu pense vraiment à moi  
                                                                                                  Parce que moi, mes pensées ne cherche que toi  
                                                                                                  Est-ce que cela te rend triste  
                                                                                                  Quand tu pense au temps de l’amour joyeux"|"Est-ce que obanza mpe gaio oo 
                                     Mpo nga mabanzo ma nga eloukaka yoo 
                                     Est-ce que esalaka yo mawa oh 
                                     Soki obanzi tango ya bolingo ya la joie"
1|"Le blanc a fait l’hôpital pour que les malades soient guéris 
                                                                                                  Vous êtes entrain de faire celui de l’amour, alors que le souci d’amour rend malade"|"Mondele a sala lopitalo bakoni oh ba bika oh 
                                     Bo zali kosala oyo ya bolingo nzoka nde oh, souci ya bolingo e belisaka oh"
2|"Je pensais que la lampe allait briller  
                                                                                                  Dans ton coœur, dans ta vie  
                                                                                                  Qui a éteint ce feu   
                                                                                                  Qui t’as vaincu pour que tu me tourne le dos"|"Na banza nga mwinda e ko ngenga oh  
                                     Kati ya motema kati ya bo moyi bwa yo  
                                     Nani a bomi moto oyo oh yo  
                                     Nani a longi yo o pessi mokongo oh"
3|"Pour quoi m’as-tu planté le couteau dans le dos, il fallait  
                                                                                                  Le planté dans le cœur en me regardant dans les yeux et me dire ce que j’ai fais  
                                                                                                  L’ambiance de l’amour rend malade"|"Po nini o ti nga mbeli na mokongo ebongaki oh  
                                     O tia na motema na miso oloba na nga esali nga oh  
                                     Ambiance ya bolingo e belisaka oho"
4|"Est-ce que tu pense vraiment à moi  
                                                                                                  Parce que moi, mes pensées ne cherche que toi  
                                                                                                  Est-ce que cela te rend triste  
                                                                                                  Quand tu pense au temps de l’amour joyeux"|"Est-ce que obanza mpe gaio oo  
                                     Mpo nga mabanzo ma nga eloukaka yoo 
                                     Est-ce que esalaka yo mawa oh 
                                     Soki obanzi tango ya bolingo ya la joie"
5|"Le blanc a fait l’hôpital pour que les malades soient guéris 
                                                                                                  Vous êtes entrain de faire celui de l’amour, alors que le souci d’amour rend malade"|"Mondele a sala lopitalo bakoni oh ba bika oh 
                                     Bo zali kosala oyo ya bolingo nzoka nde oh, souci ya bolingo e belisaka oh"
6|"Je pensais que la lampe allait briller  
                                                                                                  Dans ton cœur, dans ta vie  
                                                                                                  Qui a éteint ce feu   
                                                                                                  Qui t’as vaincu pour que tu me tourne le dos"|"Na banza nga mwinda e ko ngenga oh  
                                     Kati ya motema kati ya bo moyi bwa yo  
                                     Nani a bomi moto oyo oh yo  
                                     Nani a longi yo o pessi mokongo oh"
7|"Pour quoi m’as-tu planté le couteau dans le dos, il fallait  
                                                                                                  Le planté dans le cœur en me regardant dans les yeux et me dire ce que j’ai fais  
                                                                                                  L’ambiance de l’amour induit beaucoup en erreur"|"Po nini o ti nga mbeli na mokongo ebongaki oh  
                                     O tia na motema na miso oloba na nga esali nga oh  
                                     Ambiance ya mokili e kosaka mingi oho"
8|Cette nuit j’ai eu beaucoup de soucis, par la musique de viva que je chante|Butu ya lelo e koteli nga souci oh na miziki ya viva na koyemba oh
9|"Je t’ai vu avec lui serré, serré 
                                                                                                  J’ai voulu demander mais mon cœur à refuser, par honte car y’avais beaucoup de gens  
                                                                                                  J’ai  refusé qu’ils sachent que la rivale a gagné"|"Na moni yon a ye sele sele oh  
                                     Na lingaki na tuna motema ebo soni bato ba zalaki ebelo oh  
                                     Na boyaki ba yeba mbanda a gagne oh"
10|"Une nuit de tristesse aujourd’hui je n’ai pas dormis  
                                                                                                  Un peu de fierté dans la chanson est devenu zéro"|"Butu ya mawa lelo na lali te oh o  
                                     Mwa lo lendo ya nzembo eye zero"
11|"Cette nuit j’ai eu beaucoup de soucis, par la musique de viva que je danse  
                                                                                                  Je t’ai vu avec lui serré, serré 
                                                                                                  J’ai voulu demander mais mon cœur à refuser, par honte car y’avais beaucoup de gens  
                                                                                                  J’ai  refusé qu’ils sachent que la rivale a gagné"|"Butu ya lelo e koteli nga souci oh na miziki ya viva na bina oh  
                                     Na moni yon a ye sele sele oh  
                                     Na lingaki na tuna motema ebo soni bato ba zalaki ebelo oh  
                                     Na boyaki ba yeba mbanda a gagne oh"
12|"Une nuit de tristesse aujourd’hui je n’ai pas dormis  
                                                                                                  Un peu de fierté de ma veste est devenu zéro"|"Butu ya mawa lelo na lali te oh  
                                     Mwa lo lendo ya kazaka eye zero oh       "
