|french|lingala
0|"Mon histoire est longue
                                                                                                La dernière partie de ma vie est assez longue pour que je puisse te la raconter entièrement"|"Lisolo  na ngai eza molayi e
                           Eteni ya suka ya la vie na ngai eza molayi assez pona sololela
                           Yo tout ,tout uu"
1|"Mes sentiment ne rêve que de toi
                                                                                               La couleur de la tendresse c'est ton sourire
                                                                                               L'amour t'a choisi. Jettes un coup d'œil ou je me trouve
                                                                                               Ho hoo ho ho ho ho"|"Sentiment na nga,ndoto na ngo yo
                           tendrese  couleur na yango sourire na yo
                           amour eponi yo buaka miso epa naza
                           ho hoo ho ho ho ho"
2|"Ne me quittes pas aujourd'hui ni demain
                                                                                               Donnes-toi du temps pour m'aimer
                                                                                               Mon état-civil  tu l’as change 
                                                                                               Ce que disent les gens n’est jamais bien"|"Koboya nga lelo te,lobi te
                           Mipesa temps ya kolinga ngai ee
                           Etat-civil na ngai o changea di
                           Maloba ya bato jamais ekozalaka 
                           Ya bien hein hein hein"
3|"Sois toujours proche de cet endroit ou je te place
                                                                                                N'arrête pas Aline, tu me laisseras en morceaux, avec ton amour qui ma pénètreé jusque dans les sens uniques du cerveau
                                                                                                L'amour c'est l'avion du cœur"|"Zala toujours pene esika ba tiaka maman
                           Kata te Aline okotika ngai ndambo, n’amour na yo ekoti ngai ti na ba sens unique
                           Ya bongo,molingani pepo ya motema"
4|"Ecoutes Ekatshaka, le conte de ce père
                                                                                               Kourokoko pourtant avait raison
                                                                                               Son fils unique avait été tué sans raison
                                                                                                Mais a force  de pleurer jour et nuit 
                                                                                               Tout le monde dans le village a fini par en avoir marre de lui
                                                                                                Combien de temps dois-je encore pleurer  ton amour dis-le moi 
                                                                                                Ecoutes l’autre, ne me laisse pas au bord de la route"|"Yoka Ekatshaka lisapo ngo ya papa ngo
                           Kourokoko pourtant azalaki na raison
                           Fils unique na ye ba bomaki ye raison te
                           Kasi kolela tango elekaki trop butu moyi
                           Moto nionso na mboka akomaki ko bailler ye
                           Combien de temps il faut na lela amour na yo loba
                           Yoka moninga, tika ngai te au bord de la route"
5|"Si le feu pouvait s’offrir emballer 
                                                                                               Je t'aurai envoyé le mien
                                                                                               Emballe dans un nuage  fluorescent
                                                                                               A 4h du matin quand le sommeil devient si profond
                                                                                                Qu’il frappe dans ton cœur comme le tonnerre  
                                                                                               Quand tu sursauteras de ton sommeil, que tu puisses raisonner un peu à mon cas"|"Soki moto eyaka na emabllage
                           Mbele natindelaki yo oyo ya ngai
                           Emballe na nuage ya ngeli ngeli
                           Na 4 h du matin tango pongi eyaka makasi
                           Ebeta na motema na yo lokola nkake
                           Tango oko sutuka na mpongi eeh,o raisonner moke pona cas na nga aaa"
6|"Cesses d'entendre dire, viens voir l'agonie de ce roi qui a tout
                                                                                               De l'argent à gogo, des maisons construites dans plusieurs pays 
                                                                                               Et pourtant il est  plongé dans le coma parce qu'il lui manque ton amour
                                                                                               L’amour s’il avait un prix, il aurait été capable de donner une âme humaine"|"Tika koyoka na sango,yaka omona agonie ya roi oyo aza na tout eh
                           Mosolo a gogo,ba ndaku atonga mboka mboka
                            Kasi akota coma po azanga amour na yo
                           Bolingo soki ezalaki na motuya mbele a pesaki
                           Molimo to ya moto"
7|"Le moment de l’amour la nuit tout un problème
                                                                                               Au niveau ou je suis zéro, y’en a même beaucoup 
                                                                                               Le salut de la personne que t’aime, c’est l’être aimé 
                                                                                               Pourquoi me transformes-tu au tombeau du soldat inconnu
                                                                                               Ils ont commencé a me piétiner, je me manque même 
                                                                                               Quelqu’un pour me consoler"|"Tango y’amour na butu suka ngambo
                           Na niveau nga naza zero kutu eza bele eh 
                           Salut ya moto oyo olingaka c’est l’etre aimé
                           Boni okomisi nga lilita ya soldat inconnu
                           Bakomi nde ko  niata niata nga na zangui ata
                           Moto consolé nga"
8|"Tu es la poupée et moi l’expert
                                                                                                Tu es une poupée et moi un vétéran
                                                                                               Le combat entre toi et moi comment choisir-ai-je ma façon de combattre
                                                                                                Je ne pourrais pas, car tu m'as vaincu d'avance
                                                                                                La douceur de ton regard suffit pour que je perde connaissance
                                                                                               Le dos, si tu me le tourne t’auras abrégé ma vie
                                                                                               Je suis devenu ton jouet"|"Yo muana popi ngai asala kala
                           Yo muana popi ngai le mvuanga ntama
                           Etumba ya yo na ngai na kopona ebundeli nini
                           Nakokoka te,olongi na yo ngai d'avance
                           Douceur ya regard na yo ekoki po na kueya elinga
                           Mokongo soki opesi ngai o abreger vie na ngai
                           Na koma jouet na yo"
9|"La grossesse de la joie aujourd'hui a accouché de la tristesse
                                                                                                Le cou de ma chérie plein de pacotilles est aujourd'hui rempli de bijoux
                                                                                                Les promesses d'amour se sont noyées
                                                                                               Puis-je connaître la magie pour revivre le passé
                                                                                               Le sentiment d’amour a frappe dans un cœur comme la foudre
                                                                                               Personne ne saurait y survivre..."|"Zemi ya la joie lelo eboti mawa
                           Kingo ya cherie oyo mayaka ekomi ya bijoux
                           Ba promesses ya bolingo na mayi ezindi
                           Eleko ya bana mamelo est bien revolu
                           Na yeba ata magie na revivre le passé
                           Sentiment ya amour ebetisi motema nkake
                           Moto ako bika te...  "
