|french|lingala
0|"Intro :
La fraîcheur
L'obscurité
Le monde 
J'ai des soucis "|"Intro :
Malili eh  
Molili eh 
Mokili eh 
Nga soucis iih"
1|"Koffi :
Gloire à DIEU 
Alléluia Masiya 
Au revoir papa, au revoir maman
Est-ce que vous m'avez mis au monde, pour que les gens m'insultent ?"|"Koffi :
Nkembo na Yahweh 
Alléluia Masiya aah 
Au revoir papa, au revoir mama
Est-ce que bobotaki ngaï, mpo bato bafingaka nga ?"
2|"Chœur :
Je me le demande "|"Chœur :
Na tuna nanu uuh "
3|"Koffi :
Au revoir papa, au revoir maman
Comment je suis né?
Pourquoi ai-je été conçu ?
Est-ce  que je suis né un jour de deuil ? "|"Koffi :
Oh au revoir papa, au revoir mama
Bobotaki nga comment ?
Bobotaki nga pour quoi ?
Bobotaki nga est-ce que ezalaki mokolo ya mokuya ?"
4|"Chœur :
Dites-le moi "|"Chœur :
Bolobela ngayé eh"
5|"Koffi :
Ceux qui me calomnient, est-ce qu'ils sont des Saints ?
Ceux qui m'insultent, est-ce qu'ils n'ont aucun défaut ? "|"Koffi :
Bat'oyo baz'otonga nga, bango est-ce que baza ba santu ?
Bat'oyo baz'ofinga nga, bango est-ce que bazanga ata moi défaut ?"
6|"Chœur :
J'en doute "|"Chœur :
Na beti ntembé eh "
7|"Koffi :
Qu'est-ce qu'il y a vraiment GABIN YATEMBO ?
RAMBO, le grand frère de DIDI, qui est mort jeune 
Il m'a laissé MANAELLE, MAGALIE et PUPU 
RAMBO le grand frère de SYLVIDE 
Pourquoi cherchez-vous à tout prix que je meurs avant, le monde appartient à tous"|"Koffi :
Vraiment nini yango GABIN YATEMBO ?
Heu RAMBO yaya na DIDI, oyo akei elenge
Atikeli nga  MENAELLE, MAGALIE mpe PUPU 
RAMBO yaya na SYLVIDE 
Boni b'ozo luka na kufa avant, mokili eza ya moto nioso tout"
8|"Chœur :
L'évangile selon chacun de nous "|"Chœur :
Évangile selon moto na moto oh "
9|"Koffi :
SANDRA et VETI … dites leurs de m'oublier"|"Koffi :
SANDRA yo na ma VETI … bo yebisa bango ba libéré nga ko"
10|"Koffi :
Au revoir papa, au revoir maman
Comment je suis né?
Pourquoi ai-je été conçu ?
Quand je suis né, est-ce les frais de la maternité ?"|"Koffi :
Oh au revoir papa, au revoir mama
Bobotaki nga comment ?
Bobotaki nga pour quoi ?
Bobotaki nga est-ce que niongo ya maternité ?"
11|"Chœur :
Ne les avez vous pas payés ?"|"Chœur :
Bofutaki te "
12|"Koffi :
Oh mon DIEU, le père de JESUS 
Tu m'as crée mon Dieu à ton image 
Ma prière, si elle arrive jusqu'à toi mon Dieu
Fais moi voir ne serai-ce que dans un rêve, pourquoi je suis devenu la bête noire"|"Koffi :
Oh oh oh Yahweh, papa na Yezu 
Okelaki nga Yahweh na elili nayo mei 
Losambo na nga Yahweh soki ekomi epayi nayo
Lakisa nga ata na ndoto pour quoi nakoma bête noire "
13|"Chœur :
De mes détracteurs "|"Chœur :
Ya ba nguna na ngayé eh "
14|"Koffi :
Ceux qui me détestent sont-ils des Saints ?
Ceux qui m'insultent sont-ils des Saint THOMAS ?"|"Koffi :
Bat'oyo baz'okana nga bango est-ce que baza ba santu ?
Bat'oyo baz'ofinga nga est-ce que bango baza ba Saint THOMAS "
15|"Chœur :
J'en doute "|"Choeur :
Nakoti doute eh "
16|"Koffi :
Dédicaces …"|"Koffi :
Dédicaces …"
17|"Chœur :
J'en crois pas"|"Choeur :
Na ndimi yango te eh "
18|"Koffi :
JESUS protège moi des calomnies
JESUS protège moi de la médisance 
Qu'est-ce qu'il y a vraiment SASA HAMEDE
Qu'est-ce qu'il y a vraiment TCHATCHO MBALA 
Heu RAMBO le grand de DIDI, qui est mort jeune 
Il m'a laissé MANAELLE, MAGALIE et PUPU 
RAMBO le papa de ROCKY, MINOU et ELVIS 
RAMBO le papa de ARISTOTE, le grand frère de THIERY 
Hum pourquoi cherchez-vous à tout prix que je meurs avant, je vais les laisser chez qui? Le monde appartient à tous "|"Koffi :
Yezu bomba nga na matongi
Yezu batela nga na masenginia 
Vraiment nini yango SASA HAMEDE
Vraiment nini yango TCHATCHO MBALA 
Heu RAMBO yaya na DIDI, oyo akei se bomwana 
Atikeli nga  MENAELLE, MAGALIE mpe PUPU 
RAMBO papa na ROCKY, MINOU na ELVIS 
RAMBO papa na ARISTOTE yaya na THIERY 
Hum boni b'ozo luka na kufa avant, natika bango na nani monde eza ya moto nioso tout "
19|"Chœur :
Que de la jalousie
Que des calomnies"|"Chœur : 
Kaka jalousie
Kaka calomnie "
20|"Koffi :
Comment se fait-il que les gens sont tout le temps dans les églises 
Tout le temps avec la bible en main, alors que nos cœurs sont mauvais "|"Koffi :
Ndege nini bato ya mokoli tango nioso na ndako ya NZAMBE 
Ndenge nini bible en main kasi mitema na biso mabé eeh "
21|"Chœur :
On ne se réjoui pas du malheur des autres "|"Chœur :
Pasi ya moninga ba salelaka feti te "
22|"Koffi :
Ceux qui me calomnient, sont-ils parfaits ?
Ceux qui cherchent ma mort, sont-ils éternels ?"|"Koffi :
Bato b'azo tonga nga est-ce que bango mei baza parfait ? 
Bato b'azo luka liwa na nga est-ce que bango baza éternels ? "
23|"Chœur :
Ce monde de Dieu
La terre pour tous "|"Choeur :
Mokili ya NZAMBE
Mabele elisi ye "
