|french|lingala
0|"PAPA WEMBA 
Le lézard
Ce n’est pas une bête que l’on peut manger, ou en avoir peur"|"PAPA WEMBA 
Moseleketé 
Eyali niama ya kolya te, pe ya ko kima te"
1|"Maman je suis triste 
Qui pourra écouter mes doléances 
Mes doléances parce que 
Parce que je n’ai pas d’enfant 
Un bébé, un  bébé
Le mot  bébé je l’entends que chez les voisins 
En ce qui me concerne, Dieu qu’en est-il ? Dis le moi pour que je le sache, car ma souffrance est grande"|"Eh ngaï ye eh mawa mama ah 
Nani ayoka ata tangwa na nga ah 
Tangwa na nga tina 
Oyo ngaï nazanga mouana 
Mouana eh mouana 
Kombo ya mouana na yokaka se ya ba voisin 
Oya ngaï Nzapa nini loba na yeba po ngaï mawa eleki MUNA aah"
2|"REDDY :
La maman d’EDO 
JEAN-MARI MOUNDELÉ, grand frère  JOE MOTEMONA BODACK
Il n ya personne qui a pitié de moi, seulement des gens qui se moquent 
Je me demande, qu’elle est la personne qui  m’a rendu stérile  
Quel est le prix à payer pour ça"|"REDDY :
Mama ya yaya EDO 
JEAN-MARI MOUNDELÉ, ya JOE MOTEMONA BODACK
Moto akoyoka nga ata mawa azali te, se bato ya koseka 
Na tunaka nani akanga nga libota
Na futa atako nini pona yango oh"
3|"Chœur : 
JEANCY ADEINGO, je suis en  train de souffrir dans mon cœur, GERARD et le grand frère GUY 
Qu’ai-je fait pour mériter une telle punition"|"Chœur : 
JEANCY ADEINGO na ko nyokwama pasi na motema GERARD ya GUY 
Nasali nini po nga na mériter etumbu uh  motindo oh "
4|"REDDY :
Qui est-ce qui m’en veut 
Je n’ai de dettes  à personne"|"REDDY :
Nani ndimbolela nga 
Nyongo ya moto te"
5|"PAPA WEMBA :
Je te promets, mon Dieu que je n’ai jamais pratiqué l’avortement 
Pour souffrir ainsi, moi la  fille a ma mère"|"PAPA WEMBA :
Nalapi Nzambé na longola zemi te 
Pasi ya boyé ngaï mouana ya mama"
6|"REDDY :
J’ai honte quand je suis avec mes amies d’enfance 
Que leur dirais-je 
Qu’est ce que je peux dire,  dans l’entourage de ma maman, j’ai honte 
Qu’est ce que je peux dire, ce mariage qui fut beaucoup parlé 
Où est ce  que je vais m’arrêter, j’ai terni l’honneur de la famille 
Quelle tristesse mon Dieu, écoute mes doléances"|"REDDY :
Soni na baninga oyo nde tokola ah 
Na loba nini eh 
Na loba nini eh ngaï moziki ya mama na yoki soni 
Na loba nini eh libala ekendaka ntsango lel’oyo 
Na suka wapi eh lokumu ya famille na bebisi eh ngaï awa ohoh 
Mawa eh eh Nzapa yoka tangwa na nga"
7|"Chœur :
Je ne cherche qu’un enfant"|"Chœur :
Na lelaka kaka mouana"
8|"REDDY :
Oh moi"|"REDDY :
eh ngaï eh"
9|"Chœur : 
Je n’ai plus aucune joie de vivre"|"Chœur : 
Bisengo nyonso esila nga ah ah"
10|"REDDY:
Les morts s’en vont, et ne laissent que les problèmes 
Je n’ai pas de pouvoir, pour faire un miracle  
Les choses qui me sont arrivées, j’en ignore certaines 
Je n’ai plus que les os sur la peau 
Les soucis ont  rongés entièrement mon corps
Je n’attends plus que JESUS CHRIST revienne"|"REDDY:
Bawa bokufa botika nde makambo ooh 
Nazangi nguya na sala likambo ya kamwa 
Oyo ezua nga na yebi mosusu te 
Natikala kaka  na sende ya mposo 
Soucis elya ngaï nzoto nioso niè
Na zelaka se NKOLO MASIYA  a zonga"
11|"Chœur :
Qu’il me sauve de cette souffrance"|"Chœur :
A bikisa nga na pasi oh mama ah mama mama mama aah"
12|"REDDY :
Les morts s’en vont, et ne laissent que les problèmes 
Je n’ai pas de pouvoir, pour faire un miracle  
Les choses qui me sont arrivées, j’en ignore certaines 
Je n’ai plus que les os sur la peau 
Les soucis ont rongés entièrement mon corps
Je n’attends plus que JESUS CHRIST revienne"|"REDDY :
Bawa bokufa botika se makambo ooh 
Nazangi nguya na sala likambo ya kamwa 
Oyo ezua nga na yebi mosusu te 
Natikala kaka  na sende ya mposo 
Soucis elya ngaï nzoto nioso niè
Na zelaka se NKOLO MASIYA  a zonga"
13|"Chœur :
Qu’il me sauve de cette souffrance"|"Chœur :
O bikisa nga na pasi oh mama ah mama mama mama aah"
14|"PAPA WEMBA :
ALUBE LUMBILA m’a traité de stérile"|"PAPA WEMBA :
ALUBE LUMBILA a bengi ngaï ekomba oh"
15|"REDDY :
Qui aurait pitié de moi 
Ecoute mes doléances"|"REDDY :
Nani ako yokela ngaï mawa oh 
Yoka tangwa na ngaï"
16|"Chœur :
Je vais acheter une poupée, et m’occuper d’elle comme un bébé"|"Chœur :
Nako somba na nga poupée na bongisaka ye lekola mouana aah "
