|french|lingala
0|Malheur pourquoi tu t’accroche à moi comme le fil s’accroche au chat d’une aiguille à coudre|Malheur boni etingami nga lokola singa elandaka nzela oyo ya tonga ah
1|"Parler :																								
                    L'amour n'existe pas. Il n'existe que des preuves d'amour"|"Parler :
                     L'amour n'existe pas. Il n'existe que des preuves d'amour"
2|"Je vais te laisser à la maison tout seul et triste 
                    Quand elle sera entrée, le soleil aura déjà laissé la place à la lune 
                    Quand tu lui demanderas elle ne te dira rien qui vaille
                    Toi toute la journée, ton cœur sera tout le temps inquiet 
                    Tu auras peur qu’elle voit ta colère et qu’elle s’énerve 
                    Sa colère rajoute de la douleur à ton malheur 
                    Oh amour comment as-tu fait pour emmener une personne là ou elle ne s'y attendais pas, c'est triste"|"Nako tika yo na ndako yo moko mawa eh  
                     Tango akozonga mwesé deja ekomaki sanza 
                     Tango okotuna ye ako yebisa yo rien qui vaille 
                     Yo journée mobimba motema tout le temps likolo 
                     okobanga amona kanda na yo noki te asilika 
                     kanda na ye ebakisaka douleur likolo ya malheur na yo oh! 
                     Ngo amour ndenge nini osali mpo okomisa moto n'esik'oyo akanaki te mawa eh"
3|"T’es fou d’elle, t’es fou d’elle
                    Qu'a t-elle fait pour que tu veuilles mourir pour elle"|"Olangwe ye eh eh! olangwe ye ba yama! 
                     Asala yo nini ango oko katshwa se pona ye"
4|"Ca  pas l’air comme ca, ça va mal se terminer 
                    Mon cas est devenu désespéré 
                    On s’était entendu elle et moi, de danser a l’unisson 
                    Dans la vie elle et moi nous marchons main dans la main"|"Ça pas l'air comme ça ekosila bien te  
                     Cas na ngai ekomi desesperé 
                     Toyokanaka ye na ngai to binaka a l’unisson 
                     Na la vie ngai na ye to tambola main dans la main ah ah ah"
5|"Sa photo dans ta maison, mets celle à grandeur nature 
                    Ton cinéma préféré est celui de sa démarche 
                    Tu trouves vraiment de l'appétit que quand c’est elle qui a fait la cuisine
                    Le véritable sommeil tu ne le trouves que quand elle est auprès de toi  
                    Ton idée c’est de payer les rivaux, les avocats pour qu’ils te la laissent
                    Il te manque plus que de grimpé sur un arbre et de crier que tu l’aimes 
                    Oh amour comment as-tu fait pour emmener une personne là ou elle ne s'y attendais pas, c'est triste"|"Photo na ye na ndako na yo otia ya grandeur nature
                     Cinema na yo preferer se oyo ya demarche na ye 
                     Appetit ya solo ozwaka se soki alambi ye mei
                     Pongi ya solo olalaka se soki azali pembeni na yo
                     Idée na yo ofuta ba mbanda avocat ba tikela yo ye 
                     Eza nga yo se omata na nzete o ganga tu l'aimes
                     Ngo amour ndenge nini osali po okomisa moto na esika oyo a kanaki te mawa eh"
6|"T’es fou d’elle, elle t’a rendu comment 
                    Que t-a t-elle fait pour que tu deviennes un tigre en papier"|"Olangwe ye eh eh ! a komisa yo ndegé
                     asala yo nin'ango okoma n’koyi ya dessin animé"
7|"Sans délais ni préavis, tu es parti 
                    Moi dont les yeux t’avaient vue le jour où tu sortais sous l’eau 
                    La lune et le soleil se sont disputés pour t’admirer 
                    Depuis que ma mère ma mis au monde, je t'attendais 
                    Pourquoi as-tu laissé le goût du miel sur mes lèvres
                    Pourquoi m’as-tu privé si tôt du bonheur, qui pourrait accepter de ne pas avoir la chose qu’il aime à l’ infini ?"|"Sans délais ni préavis yo'bendani nayo oh
                     Ngai moto miso na ngai emonaki yo mokolo ozalaki kobima na se ya mayi
                     Sanza na mwesé ba swani po na kolula  yo aha ha 
                     Banda jour mama abotaki nga n’azalaki'o zela yo
                     Boni otikeli nga gout ya mafuta ya nzoyi na mbembo 
                     Boni okati moke ya ngai bonheur,  nani akoki’o ndima azanga elok’oyo a linga a l’infini eh eh"
8|"La belle chose (Amour), quand est ce que tu vas venir 
                    De l’autre coté d’où je suis, que l’amour m’enveloppe 
                    La fleur du matin Diba la reine du Fouta Djalon 
                    T’es comme l’argent même la personne qui en a en abondance"|"Eloko ya bien mokolo nini okoya a a a 
                     Na ngambo epayi ngai naza amour elata ngai 
                     Fololo ya tongo Diba la reine du Fouta Djalon 
                     Oza lokola mbongo ata mot’oyo aza n’ango ebelé"
9|"Si on le lui donne il l'acceptera toujours 
                    Je vais te garder mieux que le secret des pharaons"|"Soki ba pesi yé oko zua kaka 
                     na ko bombama yo mieux que secret ya ba pharaons eh"
