|french|lingala
0|"C’est toi qui étais mon sauveur 
                                                                                                   C’est toi qui étais mon sauveur 
                                                                                                   Mes malheurs prenaient fin sur tes épaules Michel PANZOU"|"Yo moto ozalaki musungi na ngai eh
                                  Yo moto ozalaki musungi na ngai eh
                                  Ba malheurs na nga ezalaki kosila na lipeka na yo Michel PANZU eh"
1|"Regarde comment tu me fais marcher nue pied 
                                                                                                   Deux kilomètres  derrière toi, rentrons a la maison pour que je dorlote Vita DIKANDO"|"Tala ndenge otambuisi nga makolo ngulu
                                   Kilometre mibale sima na yo to zonga ndako na bondela vita dikando"
2|Mes émotions sont telles que, mes faux pas m’encourage à te suivre|Ba emotions na nga ezali telle que mabaku na nga ezo bakisela nga makasi ya kolandaka yo
3|Chœur : Je suis scotché à vie avec Michel PANZOU, la tendresse a pris un embargo|Choeur: je suis scotché à vie epayi ya Michel PANZU tendresse esui embargo oo
4|"Ouvre ta prison dans laquelle tu m’as enfermé à vie 
                                                                                                   Maintenant que t’as emmené la clé, qui pourrai me libéré"|"O fungola prison nayo kotisa nga à vie 
                                  Awa omemi fungola nani akolibéré ngai vita éé clement mambu"
5|"Chœur : Tu as emmené Vita DIKANDO, je suis resté sans rien 
                                                                                                   Michel PANZOU était ma seule richesse, ma pauvreté devient visible maintenant que t’es parti"|"Choeurs: omemeli nga vita dikando na tikali na rien [Michel PANZU eh]
                                   Michel PANZU azalaki seule  richesse na nga ki mobola na nga emonani  awa oké ééé"
6|"Koffi : Mes espoirs se sont enterrés sans tambours, sans trompette 
                                                                                                   La honte, la tristesse, et la colère se sont entendues pour me torturer, que me veux-tu ? 
                                                                                                   Est-ce que je vais résister 
                                                                                                   Est-ce que je vais résister"|"Koffi : Ayééééééé ba espoires na nga ekundami sans bunda sans trompette 
                                  Soni mawa na kanda ba yokani ba sangani mpo ba torturé nga yo olukeli nga nini
								  Est ce que na ko résister
                                  Est ce que na ko résister"
7|"Chœur : Tu as emmené Vita DIKANDO, je suis resté sans rien 
                                                                                                   Michel PANZOU était ma seule richesse, ma pauvreté devient visible maintenant que t’es parti"|"Choeurs : omemeli nga vita dikando na tikali na rien
                                   Michel PANZU azalaki seule richesse na nga ki mobola  na nga emonani awa oké ééé"
8|"Le grand mopao delpierlo mourinho, mes espoirs se sont enterrés sans tambours, sans trompette 
                                                                                                   La honte, la tristesse, et la colère se sont entendues pour me torturer, que me veux-tu ? 
                                                                                                   Est-ce que je vais résister 
                                                                                                   Est-ce que je vais résister"|"Le grand mopao delpierlo mourinho ba espoires na nga ekundami sans bunda sans trompette 
								  Soni mawa na kanda ba yokani ba sangani mpo ba torturé ngai olukeli nga nini
                                  Est ce que na ko résister
                                  Est ce que na ko résister"
9|"Koffi : Un jour si tu te viens encore de moi 
                                                                                                   Souviens-toi que tu disais que j’étais un statut qui parle 
                                                                                                   L’émotion me dépasse et me laisse perplexe 
                                                                                                   Depuis ce jour la je suis devenu ta martyre"|"Koffi : Un jour soki o se souvenir na yo na nga lisusu 
                                  Souviens-toi olobaki naza ekéko elobaka 
                                  Emotions elutaka ngai etika nga kidiba
                                  Depuis ce jour la nga na koma martyre na yo"
10|"Chœur : Victime,  victime,  victime 
                                                                                                   Victime,  victime,  victime"|Choeur : Victime (x3)
