|french|lingala
0|"Que le monde entier écoute EXTRA (2x)
Le monde entier (2x)"|"Mokili mobimba yoka Extra (2x)
Mokili yeh yeh yeh (2x)"
1|"2x
Chœur:
Les amis, écoutez l’histoire annoncée du groupe EXTRA
Nous sommes les maîtres du terrain
On connait notre travail, ah ah les enfants de Dieu, c’est la différence"|"2x
Choeur:
Bandeko oh boyoka l’histoire annoncée ya bana Extra 
Tozali bakolo mabélé
Toyebi nde mosala ah ah bana ya Nzambé, c’est la différence"
2|"Solo :
Tu peux calomnier, c’est rien 
Tu peux insulter, c’est zéro   
Dieu nous a créés dans ce monde, chaque personne avec sa chance
Avec sa chance 
Le soleil se lève"|"Solo :
Yo tonga tonga pamba oh
Yo finga finga zero 
Nzambé asali na mokili moto na moto na chance nayé 
Na chance nayé 
Moyi eko bima ah"
3|"Chœur :
Pour toutes les personnes, ici bas"|"Chœur :
Pona moto nioso awa osé"
4|"Solo :
La pluie aussi tombe"|"Solo :
Mbula mpe eko nokoko"
5|"Chœur :
Pour toutes  les personnes, ici bas 
Créature de Dieu dans ce monde 
On ne peut pas effacer le destin du monde 
Il faut apprécier une personne à sa juste valeur, quand il le faut"|"Chœur :
Pona moto nioso awa osé
Ekelamu ya Yahvé na mokili oyo 
Destin ya  mokili ba effaca te dit eh 
Ndimaka moto na époque nayé"
6|"Solo :
Oxy chante 
OXYGENE : 
Je chante avec beaucoup de plaisir au sein d’EXTRA-MUSICA"|"Solo :
OXY ako nzemba 
OXYGENE : 
Na nzembi elingi mingi na Extra-musica"
7|"PECHARD chante
PECHARD :
Je chante"|"PECHARD ako nzemba 
PECHARD:
Na nzembi eeh"
8|"Doudou hurle  
DOUDOU :
J’ai traversé des rivières, des montagnes afin de chercher le paradis, maintenant je l’ai trouvé"|"Doudou ako belela ah 
DOUDOU:
Na katisi bibalé, ba ngoba koluka Paradiso ya lelo oyo na kuti eh"
9|Moi j’aime|Ngaï na leli eeh
10|"Chœur :
Moi j’aime ROGA-ROGA"|"Chœur :
Ngaï ne lela ROGA-ROGA"
11|Moi j’aime|Ngaï na lela yeeh
12|"Chœur :
Moi j’aime ESPÉ et DUREL"|"Chœur :
Nga na lela ESPÉ na DUREL"
13|Moi je l’aime|Ngaï na lela yeeh
14|"Chœur :
Moi j’aime GUYGUY FALL
Moi j’aime RAMATOULAYE"|"Chœur :
Nga na lela GUYGUY FALL
Nga na lela RAMATOULAYE"
15|"Chœur :
Moi j’aime EXTRA"|Yeeh
16|Histoire énoncée (4x)|"Chœur :
Nga na leli Extra eh"
17|Le groupe EXTRA a commencé au quartier Ouenzé Manzanza|Histoire énoncée (4x)
18|"Chœur :
Demande à Ferréol NGASSAKYS"|Extra ebandi na Ouenzé Manzanza
19|ROGA-ROGA a créé le groupe EXTRA|"Chœur :
Tuna na Ferréol NGASSAKYS"
20|"Chœur :
Avec ESPÉ BASS 
KILA MBONGO, DUREL LOUEMBA, GUYGUY FALL, RAMATOULAYE"|ROGA-ROGA asali Extra
21|"2x
Chœur:
Les amis, écoutez l’histoire annoncée du groupe EXTRA
Nous sommes les maîtres du terrain
On connait notre travail, ah ah les enfants de Dieu, c’est la différence
EXTRA-MUSICA oyé oyé, EXTRA-MUSICA
Mais sache que tout le monde n’a pas forcement la même pointure 
Car douter c’est mauvais"|"Chœur :
Ye na Espé BASS
KILA MBONGO, DUREL LOUEMBA, GUYGUY FALL, RAMATOULAYE"
22|"Où est-ce que tu as déjà vu un crapaud se mesurer à un éléphant, mon Dieu 
Nous n’avons pas les mêmes valeurs
SEBENE (Animation dansante)"|"2x
Choeur:
Bandeko oh boyoka l’histoire annoncé ya bana Extra 
Tozali bakolo mabélé
Toyebi nde mosala ah ah bana ya Nzambé, c’est la difference
EXTRA-MUSICA oyé oyé , EXTRA-MUSICA oh 
Kasi yeba que bisonioso to zalaka na pointure moko té 
Po tembé mabé"
