|french|lingala
0|"La prière 
Du groupe EXTRA 
Tant qu’une personne n’est pas morte, Il ne faut pas se moquer d’elle 
Dieu le père écoute la prière 
La prière, la prière"|"Losambo
Y’a EXTRA
Moto soki nanou akoufi té, koseka yé té 
Tata Nzambé yoka losambo eh 
Losambo, losambo"
1|"2x 
Chœur:
Dieu le père écoute les prières de tes enfants 
Dieu le père écoute les prières de tes enfants 
On se lève le matin, pour gagner notre vie 
On se lève le matin, pour travailler 
Donne tes bénédictions, pour que nous y arrivions"|"2x 
Choeur:
Tata Nzambé yoka losambo ya bana ah
Tata Nzambé yoka losambo ya bana ah 
To lamukaka na tongo po to luka la vie 
To lamukaka na tongo po to meka nzoto oh 
Pesa nguya papa, po to koka yango hein"
2|"Solo:
Oh mon Dieu, tu m’as crée après toutes les choses  d’ici bas 
Tu as donné a l’Homme plus d’intelligence, que toutes les choses que tu as crée, pourquoi pas moi 
Oh mon Dieu, mon Dieu"|"Solo:
Ah Nzambé tata, y’okeli ngaï sima ya biloko biso ya se
Y’opesi moto mayelé koleka biloko nios’okela, pona nini ngaï té eh 
Ah tata tata  Nzambé eeh"
3|"Chœur:
Dieu le père écoute les prières de tes enfants 
Dieu le père écoute les prières de tes enfants 
On se lève le matin, pour gagner notre vie 
On se lève le matin, pour travailler 
Donne tes bénédictions, pour que nous y arrivions"|"Choeur:
Tata Nzambé yoka losambo ya bana ah
Tata Nzambé yoka losambo ya bana ah 
To lamukaka na tongo po to luka la vie 
To lamukaka na tongo po to meka nzoto oh 
Pesa nguya papa, po to koka yango hein"
4|"Solo :
Le monde est rempli de souffrance, le monde est rempli de méchanceté 
Mon Dieu, Allah aide moi 
Les autres réussissent dans la réalité mon Dieu 
Pour moi, ce n’est que dans les rêves
Mon Dieu aide moi, Dieu le père 
Moi ton enfant, je souffre"|"Solo:
Mokili etondi pasi, mokili etondi mabé yeh yeh 
Nzambé eeh , Allah salisa ngaï eh 
Baninga bazwaka se na réalité eh Nzambé
Oyo ya ngaï, se na ndoto oh oh
Yahwé salisa nga ah, Nzambé tata 
Nako mona pasi, ah ngaï mwana aah"
5|"Chœur:
Dieu le père écoute les prières de tes enfants 
Dieu le père écoute les prières de tes enfants 
On se lève le matin, pour gagner notre vie 
On se lève le matin, pour travailler
Donne tes bénédictions, pour que nous y arrivions"|"Choeur:
Tata Nzambé yoka losambo ya bana ah
Tata Nzambé yoka losambo ya bana ah 
To lamukaka na tongo po to luka la vie 
To lamukaka na tongo po to meka nzoto oh 
Pesa nguya papa, po to koka yango hein"
6|"Solo :
Je me prosterne, laisse-moi demander à Dieu 
C’est lui qui a crée le ciel et la terre, le père créateur
Laisse-moi te prier, Dieu le père 
Tu es notre sauveur, papa 
Aide nous papa dans ce monde ici bas"|"Solo:
Nako fukama, tika na senga na Yahwé
Yé moto asala likolo na sé, tata ah mosalisi
Tika na senga epayi nayo tata ah Nzambé 
Yo ndé mosungi na biso tata ah 
Salisa biso papa ah, na mokili oyo ya sé"
7|"Chœur:
Dieu le père écoute les prières de tes enfants 
Dieu le père écoute les prières de tes enfants 
On se lève le matin, pour gagner notre vie 
On se lève le matin, pour travailler 
Donne tes bénédictions, pour que nous y arrivions"|"Choeur:
Tata Nzambé yoka losambo ya bana ah
Tata Nzambé yoka losambo ya bana ah 
To lamukaka na tongo po to luka la vie 
To lamukaka na tongo po to meka nzoto oh 
Pesa nguya papa, po to koka yango hein"
8|"Solo :
Qui nous donne le souffle de la vie, c’est lui 
Le jour où il le reprendra, écoutez les pleurs 
Glorifiez le, Dieu le père, le sauveur, le berger"|"Solo:
Nani moto a pesa pema, se yé eh 
Mokolo a ko botola yango, oyo nde bilelo 
To kumisa yé eh, tata Nzambé mosungi berger eh"
9|"Solo :
Je t’implore Dieu le sauveur 
Sauve nous,  les enfants du CONGO 
Ce pays est gangrené par les guerres 
Ne nous laisse pas avec la souffrance comme"|"Solo:
Ooh nako senga nayo Nzambé mosalisi papa eh 
Bikisa biso bana ya le CONGO oh yeh 
Bitumba bitondi na mboka oyo Yahwé
Ko tika biso té na pasi oyo oh "
