|french|lingala
0|"INTRO :
La personne qui a fait tomber de l’argent 
Ne le cherche pas, à l’ endroit où c’est tombé 
Mais celui qui l’a ramassé 
Se rappelle de l’endroit où il l’a trouvé 
Maintenant que j’ai trouvé l’amour de RIGO NGOBILA"|"INTRO :
Moto oyo akweyisi mbongo 
Alukaka ya ngo esaka akweyisi te
Mais molokoti 
A yebaka esika nini a lokotaki 
Awa si  nga  nalokoti bolingo ya RIGO NGOBILA"
1|"Le mouton avec lequel on a prévu de recevoir l’invité, si on ne l’attache pas
Sache qu’ils veulent que l’invité mange les légumes sans viande 
Si tu vas chez ta fiancée et qu’on te donne une chaise basse 
Sache qu’ils ne veulent pas que tu restes longtemps, car un autre est en chemin 
S’ils détachent le chien qui a  connait ton parfum 
Trouve un autre chemin, là-bas tu es devenu zéro
La grosseur de ton porte monnaie (ta poche) ta maintenue longtemps là-bas
Sa maigreur de maintenant te chasse de là-bas 
Si pendant la fête, ta fiancée commence à bouger sans arrêt
Et qu’elle est plus gentillesse envers  les convives plus que les autres membres de sa famille s cela cache quelque choses"|"Taba ya koyambela mopaya soki ba tié yango sing a te oo 
Yeba balingi mopaya aliya pondu ya pamba eeh RIGO NGOBILA 
Okeyi epayi ya molongani ba pesi yo ebonga ya mokuse 
Yeba balingi owumela te, mosusu azan a nzela eeh RIGO NGOBILA 
Ba fongoli imbwa oyo a yina solo  nayo eeh 
Luka nzela na yo mosusu kuna osi okoma zero eeh 
Libenga na yo nde evandisaki yo kuna longtemps
Ko kondo na ya ngo ya lelo nde eza ko benganisa yo eeh 
Soki na feti molongani akomi ko tambola tambola
Gentillesse koluta ba bendeko eza encadrement eeh"
2|"Chœur : 2x
Ne pleure pas, ce sont des choses qui arrivent 
Ce n’est que le corps qui s’est englouti dans le fossé et non l’esprit 
Le cheval sur lequel tu as parié a échoué
N’en veux pas à RIGO"|"Chœur : 2x
Kolela te eza makombo eyaka
Nzoto ya pamba edindi na libulu molimo te oo 
Punda oponaki ebimi echec 
Kozua RIGO mabe te ooh"
3|"La souris, fait peur à ‘éléphant 
Car le rêve  finira par s’arrêter un jour 
Les bêtises que tu es en train de faire maintenant, leurs  finalités ce ne sont  pas les larmes de RIGO 
Il est l’heure d’aller à l’école,  l’écolier tu dors toujours, le jour de l’examen tu deviendras quoi 
La raison pour laquelle l’homme écrase le cafard, il ne le sait pas 
Le cafard le sait, il s’est trop laissé  faire 
Tu as combien ? 
Moi j’ai toi 
Tu as semé les pierres, que vas-tu chercher dans les champs de RIGO 
Je suis en prison, derrière moi, tu as ramené ton amant"|"Tika pete ya mpuku  ekoka nzoku 
Po ndoto eko katana ata kale ooh 
Bozoba ozo sala lelo terminus na ngo mayi ya miso ya RIGO te ooh
Ngonga ekoki mwana ya kelasi a mizingi na pongi mokolo ya examen a ko koma nini iihiih
Likambo moto a bomela mpese moto a yebaka te oh
Mpese ye moko ayebi po a mi pesa trop
Yo moko okomi na boni iih 
Ngai awa naza na yo eeh 
Yo moko oloni mabanga na bilanga ya RIGO okeyi ko sala nini eeh 
Bakangi nga na boloko mama , na sima ngaï ekotisi mobali eh"
4|"REFRAIN: 2x
Tu vas rentrer  les mains vides
Tu vas rentrer les mains vides
Le chemin  te paraitra long 
Tes jambes te paraitront lourdes"|"REFRAIN: 2x
Oko zonga maboko pamba aah aah 
Oko zonga maboko wololo wololo wololo
Nzela eko komela yo molayi iih 
Makolo eko koma yo kilo eeh"
5|"Je l’ai dit a aux parents de ma femme
Ils m’ont répondu qu’ils ont déjà dépensé mon argent 
Je suis un arbre frais ils m’ont brulé, j’ai pitié de vous les arbres secs"|"Na yebisi ba boti ya mwasi ooh 
Balobi na ngaï eh si ba lya mbongo eeh 
Nga nzeté ya mobesu na pela na moto, mawa pona bino ba nzeté ya mikawu eeh"
6|"REFRAIN: 3x
Tu vas rentrée les mains vide
Tu vas rentrée les mains vide
Le chemin  te paraitra long 
Les jambes te paraitront lourdes"|"REFRAIN: 3x
Oko zonga maboko pamba aah aah 
Oko zonga maboko wololo wololo wololo
Nzela eko komela yo molayi iih 
Makolo eko koma yo kilo eeh"
7|"Chœur :
Ne pleure  pas, ce sont des choses qui arrivent 
Ce n’est que le corps qui s’est englouti dans le fossé  et non l’esprit 
Le cheval sur lequel tu as parié a échoué
N’en veux pas à RIGO"|"Chœur :
Kolela te eza makombo eyaka
Nzoto ya pamba edindi na libulu molimo te oo 
Punda oponaki ebimi echec 
Kozua RIGO mabe te ooh"
8|"NGOBILA RIGO soigne tes relations 
Tu ne sais pas qui pourra t‘aider  demain
Tu vas rentrer  les mains vides
Tu vas rentrer  les mains vides
Le chemin  te paraitra long 
Tes jambes te paraitront lourdes"|"NGOBILA RIGO soignaka relation eeh 
Oyebi lobi te nani a ko salisa yo 
Oko zonga maboko pamba eh
Oko zonga maboko wololo wololo wololo
Nzela eko komela yo molayi iih 
Makolo eko koma yo kilo eeh"
9|Dédicace …|Dédicaces …
10|"Chœur :
Ne pleure  pas, ce sont des choses qui arrivent 
Ce n’est que le corps qui s’est englouti dans le  fossé  et non l’esprit 
Le cheval sur lequel tu as parié a échoué
N’en veux pas à RIGO"|"Chœur :
Kolela te eza makombo eyaka
Nzoto ya pamba edindi na libulu molimo te oo 
Punda oponaki ebimi echec 
Kozua RIGO mabe te ooh"
