|french|lingala
0|N’oubliez point, qu’aimer, c’est trouver la richesse hors de soi|N’oubliez point, qu’aimer, c’est trouver la richesse hors de soi
1|"Si je t’ai aimé, ce n’était pas pour ta beauté
Si je t’ai choisi, ce n’était pas pour ta beauté
Ce n’était que, parce que mon cœur l’a aimé"|"Soki na lingaki yo, heein oh ezalaki pona kitoko nayo té
Soki na ponaki yo, hein oh ezalaki pona beauté nayo té 
Oh ezalaki se po motema elingika ye"
2|"Je te demande, de nous aimé, comme les jumeaux 
Je te demande, de nous aimé, comme ROMEO et JULIETTE s’étaient aimé 
C’est ca ce qu’on appel l’amour"|"Oh na sengi na yo, to lingana lokala bana ya mapasa eeh 
Oh na sengi na yo, to lingana lokala ROMEO na JULIETTE oh balinganaka 
C’est ca ce qu’on appel l’amour"
3|"L’amour, fait parfois souffrir 
L’amour, fait parfois maigrir, mon DIEU 
L’amour, fait parfois souffrir 
L’amour, fait parfois maigrir, mon DIEU, j’en pleur"|"Bolingo tango mosusu emonisaka bato mpasi eeh 
Bolingo tango mosusu etungisaka NZAMBE eh 
Bolingo tango mosusu emonisaka bato mpasi eeh 
Bolingo tango mosusu etungisaka NZAMBE eh na leli"
4|"Je resterai planté sous les arbres 
Pour écouter le chant d’oiseaux 
Le vent qui souffle, tout cela, je le fais à cause de toi 
Ma très chère bien aimée, i love you
Yes i do"|"Je resterai planté sous les arbres 
Pour écouter le chant des oiseaux 
Le vent qui souffle, tout cela, je le fais à cause de toi 
Ma très chère bien aimée, i love you
Yes i do"
5|"Ne m’abandonne pas, comme DIEU avait abandonné CAÏN 
Ne me laisse pas, comme un orphelin cherchant la personne que pourrai lui venir en aide"|"Kotika ngaï te, lekola NZAMBE atikaka CAÏNA
Kotika ngaï te, lekola mwana etike ako luka moto a ko salisa ye"
6|"Je te demande, de nous aimé, comme EDGARE et MICHELLE s’étaient aimé 
Je te demande, de nous aimé, comme JEAN-JACQUES et NADINE s’étaient aimé 
Je te demande, de nous aimé, comme IBAMBI LUCIEN et GEORGINE s’étaient aimé 
Je te demande, de nous aimé, comme GUYVANO et MARYAME DIOP s’étaient aimé
Je te demande, de nous aimé, comme les membres d’EXTRA-MUSICA s’étaient aimé entre eux"|"Oh na sengi na yo, to lingana lokala EDGARE na MICHELLE oh  balingani ih
Oh na sengi na yo, to lingana lokala JEAN-JACQUES na NADINE oh balingana ah
Oh na sengi na yo, to lingana lokala IBAMBI LUCIEN na GEORGINE oh balingani ih 
Oh na sengi na yo, to lingana lokala GUYVANO na MARYAME DIOP oh balingani ih 
Oh na sengi na yo, to lingana lokala bana ya EXTRA-MUSICA oh balingani okati na bango oh"
7|"Cette chanson, je la dédie à tous ceux qui sont blessés par les problèmes d’amour 
Qu’ils écoutent le mien"|"Nzémbo oyo na yembi yango pona bato oyo  baza blaissé na ba problemes d’amour
Boyoka oyo ya ngaï"
8|DEDICACES|DEDICACES
9|"Viens m’enlacé QUENTIN MOYASK
Viens m’enlacé GUYGUY FALL l’ambassadeur
Viens m’enlacé REGIS et OXYGENE 
Viens m’enlacé ESPE et DUREL
Viens m’enlacé"|"Yaka koyamba nga ah QUENTIN MOYASK
Yaka koyamba nga ah GUYGUY FALL l’ambassadeur
Yaka koyamba nga ah REGIS na OXYGENE 
Yaka koyamba nga ah ESPE na DUREL 
Yaka koyamba nga ah"
