|french|lingala
0|" Est ce que tu me croiras
                                                                                                 Si je te disais
                                                                                                 Que j'ai aimé ton ombre avant même que je te vois
                                                                                                 ohohoh mon amour "|"Est-ce que oko ndima nga 
                                     soki na yebisi yo 
                                     Que na lingaka elili na yo liboso na mona yo eh 
                                     ohohoh mon amour"
1|"Est ce que tu me croiras
                                                                                                 Si je te disais
                                                                                                 Que j'ai aimé ton ombre avant même que je te vois Paolo de Souza"|"Est-ce que oko ndima nga  
                                     soki na yebisi yo 
                                     Que na lingaka elili na yo liboso na mona yo eh, Paolo De Souza"
2|"Mais c'était plus que de l'amour
                                                                                                 C’est pour quoi  j'ai manqué 
                                                                                                 Des nouveaux  mots pour te décrire cela. Paolo De Souza"|"Mais ezalaki plus que bolingo 
                                     yango wana na zangaki 
                                     Maloba ya sika ya ko décrire yo yango eh, Paolo De Souza"
3|"Le ciel me voit, le ciel sait que je suis amoureuse
                                                                                                 Il sait que depuis que je suis né
                                                                                                 Je n'ai jamais vécu l'émotion d'amour
                                                                                                 A cause de toi je commence à apprendre de nouveaux gestes Paolo
                                                                                                 A cause de toi ma voix est devenue celle d’un bébé, tremblante, tremblante"|"Mapata eza komona nga, mapata eyebi nga amoureuse 
                                     Eyebi que uta na botama 
                                     Na viva nanu émotion ya bolingo te eeeeh 
                                     Likolo na yo na komi ko yekola ba gestes ya sika Paolo 
                                     Likolo na yo mongongo na nga ekomi ya bébé, kolenge-lenga"
4|"Qui va me donner le pouvoir, pour que j’arrête le temps?
                                                                                                 Qui va me donner les moyens, pour que j’arrête le temps?"|"Nani apesa nga pouvoir, mpo na telemisa tango? 
                                     Nani apesa nga makoki, mpo na telemisa tango?"
5|"Tu as annoncé la nouvelle que tu as un esclave d’amour
                                                                                                 Parce que je ramasse la salive que tu as  jetée par terre
                                                                                                 Afin de la boire en attendant que tu me donne ce premier baiser
                                                                                                 Qui dépasse mon Paolo en tendresse sans fin?
                                                                                                 Seulement Dieu, parce que toutes les femmes n’ont choisis que lui
                                                                                                 Moi je lui fais  vœu de fidélité"|"Opanza sango que ozui bowumbu ya bolingo 
                                     Po na lokota ti ba soyi yo obuaki na mabele 
                                     Na melaka en attendant yo pesa nga baiser ya yambo 
                                     Nani alekela nga na Paolo tendresse sans fin?  
                                     Obe Nzambe, mpo basi nioso ba poni obe ye 
                                     Nga na lakeli ye voeux ya fidélité"
6|"REFRAIN
                                                                                                 J'ai classé pour toi beaucoup des mots dans mon cœur
                                                                                                 Nous nous somme rencontré aujourd'hui, les mots commencent à se battre dans ma voix  Paolo de Souza"|"REFRAIN 
                                     Na classa pona yo maloba ebele na motema na nga 
                                     Tokutani lelo, maloba ekomi obunda na mongongo na nga Paolo D Souza"
7|"J'ai classé pour toi beaucoup des mots dans mon cœur
                                                                                                 Nous nous somme rencontré aujourd'hui, les mots commencent à se battre dans ma voix"|"Na classa pona yo maloba ebele na motema na nga 
                                     Tokutani lelo, maloba ekomi 'obunda na mongongo na nga"
8|"Parlé :
                                                                                                 Non rien, Personne ne le dépasse
                                                                                                 Paolo de Souza Boss des Boss
                                                                                                 Le mari de Blandine "|"Parlé: 
									 Té pamba, paolo de Souza Boss des Boss 
									 Mobali ya blandine"
9|"Appel moi mauvais payeur Paolo De Souza
                                                                                                 Parce quand  je vais à nouveau te rencontrer
                                                                                                 Je prendrais la même dette
                                                                                                 Celle que je ne jamais payé il y a longtemps
                                                                                                 C’est la dette de ton amour"|"Benga nga kidiamfuka Paolo De Souza 
                                     Mpo uta na kutana na yo lisusu 
                                     nakota le même niongo 
                                     Oyo na futaka te kala 
                                     ezala niongo ya bolingo na yo"
10|"Montrez-moi le chemin du cœur de Paolo
                                                                                                 Parce que je sais que j'entrerai là-bas, dans  la ligné infini des merveilles
                                                                                                 C'est lui le terminus de mon cœur
                                                                                                 C'est lui mon carburant
                                                                                                 Paolo, tend moi ta main et fais moi  entrer dans le bonheur
                                                                                                 Je suis ouvert j’attends le feu vert
                                                                                                 De lui, de toi 
                                                                                                 De lui, de toi"|"Bolakisa nga nzela ya motema ya Paolo 
                                     Po nayebi na kokota kuna, molongo infini ya ba merveilles 
                                     Eza ye terminus ya motema na ngai 
                                     Eza yo carburant na ngai 
                                     Paolo, tanda loboko na yo po okotisa ngai na bonheur 
                                     Na funguami nazo zela feu vert 
                                     Na ye, na yo  
                                     Na ye, na yo 
 Na classa pona yo maloba ebele na motema na nga 
                                     Tokutani lelo, maloba ekomi 'obunda na mongongo na nga

"
11|"J'ai classé pour toi beaucoup des mots dans mon cœur
                                                                                                 Nous nous somme rencontré aujourd'hui, les mots commencent à se battre dans ma"|" Na classa pona yo maloba ebele na motema na nga 
                                     Tokutani lelo, maloba ekomi 'obunda na mongongo na nga
"
