|french|lingala
0|"Micko si c’est vrais, tu ne veux plus de moi, c’est rien  
Micko c’est triste, tu ne veux plus de moi, c’est rien"|"Micko si c’est vrai Obonga Esala rien 
Micko eza Mawa Obonga Esala rien"
1|"Je mourrai une fois une pour toute  
Pour laisser, les souffrances, puis la joie 
Donné le feu vert a ceux qui les aimes"|"Nacko kufa Nanga une fois pour toute 
Pe Natika Ba souffrance pe Bala joie 
Natikela Bayé Balinga Bango feu vert"
2|"Micko si c’est vrais, tu ne veux plus de moi, c’est rien  
Micko c’est triste, tu ne veux plus de moi, c’est rien"|"Micko si c’est vrai Obonga Essala rien  
Micko eza Mawa Obonga Esala rien"
3|"Je mourrai martyre d’amour  
Pour laisser, les souffrances, puis la joie 
Laissé le temps a ceux qui les aimes"|"Nacko Kufa nanga martyre d’amour  
Pe natika ba souffrance pe bala joie 
Natikela bayé balinga bango tango"
4|"Les yeux admirent, et le cœur choisit 
Je pensai, que toute les femmes brunes  
Etaient pareil, alors que ce n’était pas le cas"|"Miso elulaka motema eponaka eh  
Nazalaki obanza basi nyoso ya pembe 
Bakokana nzoka eza nango bongo te"
5|"Micko est la fleur des jardins qui demande des jardiniers  
Micko est un fruit qui dit mange moi  
Micko est le sucre, qui rend le sucre sucré  
Micko est un diamant, qui porte un visage humain  
Micko est un immeuble qui marche  
Même dans le noir, Micko brille"|"Micko  aza fleur oyo ba jardin basengaka ba jardinier 
Micko aza fruit elobaka lianga  
Micko  aza sucre ekomisaka sukali sucre 
Micko aza diamant elata elongi ya moto 
Micko aza immeuble oyo etambolaka 
Ata molili micko ako ngengaka micko"
6|L’hotel inter tu peux prendre, mais Micko non, le Memling je te fais cadeau, mais pour Micko laisse tomber|Inter zua Micko te memling cadeau kasi Micko tika  tika tika he na Micko te
7|"Micko aime moi, fais de moi un home riche  
Micko aime moi, pour que je sois un homme riche  
Que soit riche, plus que tous les riches  
Prince de Brunei, Onassis, Bill Gates, Berlusconi, Crésus"|"Micko linganga okomisanga riche 
Micko linganga nakoma moto ya mbongo 
Nakoma mvuama koleka tous les mvuama  
Prince de Brunei, Onassis, Bill Gates, Berlusconi, Crésus."
8|"Papa et maman vous qui savez tout  
La prudence fait l’home, pour quoi vous ne me l’avez pas dit  
Que je fasse attention au regard foudroyant de Micko  
Le sourire de Micko m’a frappé en plein cœur, je me noie  
Je coule, je suis fini"|"Papa na maman vous qui savez tout uh  
Ekenge fait l’homme pour quoi Boyebisaki ngai te 
Nasala keba na miso ya Micko foudre  
Sourire ya Micko ezui nga na mutambu na noyé 
 Na couler  Nasili eh,"
9|"Micko avec les larmes, dans les yeux, Micko la nuit je pleur  
Micko avec les larmes, dans les yeux, Micko la nuit je pleur  
Ou es-tu ? Ou es-tu ? Micko  
Ou es-tu ? Ou es-tu ? Micko"|"Micko na mayi na miso Micko butu  mwana aza kolela yo 
Micko na mayi na miso Micko butu mwana aza kolela yo 
Wapi yo wapi yo a Micko mukaji 
Wapi yo wapi yo a Micko munkara me eh"
10|"Micko la petite sœur de Dida, c’est ta faute, ta beauté est énorme 
Micko la petite sœur de Dida, c’est ta faute, ta beauté est un fleuve  
L’arête de l’amour m’est restée à la gorge  
Mon souffle dans pas longtemps va se couper"|"Micko  leki ya dida faute nayo beaute nayo eza ebele 
Micko  leki ya dida faute nayo beaute nayo eza ebalé 
Nga sende y’a l’amour ekangi nga nakingo 
Nga pema eh kala te, ekokatana ah"
11|"Micko la nuit je te pleur  
Micko la nuit je te pleur  
Au secours au secours Micko 
Sauve-moi, sauve-moi Micko"|"Miko ya baruti Micko butu mwana na za kolela yo 
Miko ya mikali Micko butu mwana na za kolela yo 
Au secours au secours a Micko mukaji 
Sauver nga sauver nga a Micko mukara me.  "
