|french|lingala
0|"Intro: 
Ekatsaka tu me tue tellement, que je n’arrive pas à mourir  
Wohuo wohuo … 
Wohuo wohuo … Alya"|"Intro: 
Ekatsaka tu me tue tellement, que je n’arrive pas à mourir  
Wohuo wohuo … 
Wohuo wohuo … Alya"
1|Ca commencé ainsi|Ebandaki boyé eh
2|Tu es seulement passé|Elekaki nayo
3|Dans notre rue|Na nzela na bisso
4|Apres toi, il y’a eu un trouble|Sima na yo trouble
5|"Comme lacrymogène ca touché 
 Tout le monde"|"Lekola lacrymogène ezwaki  
Moto nioso tout"
6|"Ca commencé par hasard, tu es passé dans notre rue on laissant le trouble derrière  
Ca touché tout le monde, notamment moi aussi, pas moyen d’en parler, voici mon cœur dans ma chanson Ekatsaka  
Que ferai-je si tu ne veux pas de moi, je te donne tous les noms salé puis sucré  
Alyana depuis ce jour, sache que j’ai tout arrêté, je vis en ralenti on t’attendant"|"Ebandaki par hazard y’olekaki na yo, na nzela na biso trouble etikali sima  
Ezwaki moto nioso, notemment mpe ngaï eh moyen na loba eza té motema yangoyo na nzembo na nga Ekatsaka  
Nako sala nini eh soki oboyi nayo nga, na pesi yo ba kombo nioso ya moungwa mpe ya sukali  
Alyana depuis jour yango, yeba nga na stopa tout, na coma ko vivre na ralenti kozela yo"
7|Ah ah ah ah, ils sont entrain de triché chez moi|Ah ah ah ah bazo triché nga
8|"Ou est ce que je  vais m’arrêter, si tu ne veux plus de moi, je te donne tous les noms, Champagnes, puis Caviar 
 Chérie depuis ce jour, sache que j’ai tout changé, je vis sans garantie du lendemain  
Envoie un jour par pitié un messager, qu’il me ramène un mouchoir blanc, signe de tes nouvelles"|"Nako suka wapi he, soki oboyi nayo nga, na pesi yo ba kombo nioso Champagne pe Caviar  
Oh nzelé depuis jour yango yeba nga na changea tout, nakoma ko vivre sans garantie ya lendemain  
Oh tinda ata par pitié, un jour messager, a memela nga mouchoir ya pembé sango nayo"
9|"Alyana VERSACE, miss des miss, qu’as-tu fais a Rambo (Koffi Olomidé) 
Il a des idées folles a cause de toi  
Qu’il fasse jour ou nuit, il ne pense qu’a toi"|"Alyana VERSACE, miss des miss nini osali Rambo  
A komi na ba idées folles se po nayo  
Ezala moyi to butu ba pensée  se yo"
10|Alyana Sharon STONE|Alyana Sharon STONE
11|"Qu’on fasse chanter des PAVAROTTI pour toi  
Qu’on t’organise la natation synchronisée  
Avec la chorégraphie des jeux olympiques  
Qu’on t’organise le ballet de Maurice BEJART  
Qu’on fasse chanter pour toi, beaucoup de Gospels  
Pour que tu l’aime, JESUS doit se couper la barbe  
Alyana Daniella POUPEE BARBIE Qu’as-tu fait a Acrame (Koffi Olomidé) 
Il commence te prier tout le temps  
Ton amour lui a fait tout oublier"|"Ba yembisa ba PAVAROTTI po nayo oh  
Ba salela yo natation synchronisée  
Chorégraphie ya ba jeux Olympiques  
Ba salela yo ballet ya Maurice BEJART  
Ba yembisa po nayo ba foule Gospels  
Mpo olinga yé JESUS a kata mandefu nayé  
Alyana Daniella POUPEE BARBIE nini osali Acrame  
Okomi osambela tango nioso se yo 
Bolingo nayo ebosanisi yé nioso  "
