|french|lingala
0|" Nous sommes tous  les enfants de Dieu  
Nous sommes tous imparfaits pêcheurs 
Fils de riche, nantis ou de pauvres  
Faisons l’amour et pas la guerre 
Soyons indulgents et tolèrent les uns vis-à-vis des autres  
Nous sommes tous des années 1900, nul n’a le droit d’intimider son prochain"|"Toza biso nyoso bana ya NZAMBE  
Toza biso nyoso basumuki  
Eh mwana ya mvouama to mobola 
Poso m’pembe to mwindo  
Faisons l’amour et pas la guerre 
Kolimbisa eleki tout  
Biso tout bana 1900 moto te abangisa moninga"
1|"Comprenons-nous  
Donnons-nous la main"|"To se comprendre mama aa ma 
To pesana loboko oo ma aa ma"
2|"Nous sommes tous les héritiers de KALLE 
Nous sommes tous les cadets de FRANCO  
Issus de l’école Fiesta ou ODEMBA  
Notre mère a tous s’appelle ""Musique""  
Originaire des témoins Makandungu ou Mutuashi  
L’essentiel est que nous nous tolérions"|"Toza biso nyoso baleki ya KALLE 
Toza biso nyoso baleki ya FRANCO  
L’école ya fiesta to y’odemba 
Mama na biso eza nzembo  
Yemba makwandungu to mutuashi  
Lotomo toyokana"
3|"L’union fait la force  
La voie du salut pour l’âme est la bible"|"L’union fait la force e ma aa 
Nzela ya lobiko ya molimo biblia"
4|"Nous les disciples de la chanson sommes pour la paix  
Nous les anges de la chanson militons pour l’amour"|"Biso b’alanga nzembo pour la paix toza 
Biso b’alanga nzembo pour la paix toza 
Biso b’alanga nzembo pour l’amour militons  
Biso b’alanga nzembo pour l’amour militons"
5|"Nous nous insurgeons contre la zizanie, les divisions et contre les trouble-fêtes 
Nous refusons que nos noms soient utilisés pour des fins destructrices, tristes et macabres"|"To bo ba zizanie ba divisions ba trouble-fete 
To bo ba zizanie ba divisions ba trouble-fete 
To bo ba kombo na biso ekoma sukali ya café ya matanga  
To bo tobo toboyi eh  
To bo ba kombo na biso ekoma etoko  oya ya matanga 
To bo tobo toboyi eh"
6|"L’humain est venu de la poussière 
Il ne finit que par le redevenir  
Quelque soit l’opulence et l’abondance des biens  
La parole de Dieu a infiniment plus de valeur  
Nous autres sommes nés des tam-tams 
Nous ne vivons que grâce a nos marimbas et coras"|"Hein po na ko kanga ki pungu pungu 
Il faut o tya soyi eh  
Grand ché a tye mousoukou soukou hein"
7|Et jamais, pour de l’argent, nous de vendrons nos âmes|"Moto awuta mabélé 
Suka suka akozonga se mabélé  
Bomengo ata eza n’ango ebelé 
Liloba ya NZAMBE kaka eleki  
Biso toza bana mbonda  
Lelo tokoma kobeta se lokolé"
8|Notre âme, nous la préservons contre vents et marées|Milomo
9|"Le jour  ""J"" tout le monde en liesse"|To koteka te po na mbongo
10|Tout le monde alléluia|Molimo
11|Tout le monde gloire à Dieu|To ko batela contre vents et marées
