|french|lingala
0|"Intro: 
 Voici mon cadavre, il est encore entrain de saigner, viens écouter ma dernière volonté  
Tu m’aime  
Tu m’adore"|"Intro: 
Ebembe na nga yang'oyo.Eza nanu kotanga makila.Yaka oyoka liloba na nga ya suka 
Olingaka nga ? 
he he he olela nga?"
1|"Viens me chercher, pour guérir ma blessure  
Ta responsabilité dans mon cas, toi seule la connais  
Je suis la sans rancune, juste un peu d’amertume  
Je suis la sans regret  
Sache que si demain, c’était à refaire, je t’aimerais encore"|" Yakozwa nga ngo Okawusa nga mpota  
Responsabilité na yo na cas na nga Yo moko oyebi eh  
Naza na nga awa sans rancune Kaka ndambu amertume  
Naza na nga awa na regret te  
Yebaka soki demain Si c'etait à refaire Nakolinga yo lisusu kaka"
2|"La mort ou la survie, toi seule fera le choix pour moi  
Mon cœur est la pompe de ton amour qui ne se ferme jamais  
Pour que mes larmes cessent de couler, dit un seul mot  
Le mal que tu m’as fait, je l’ai pris comme un sacrifice  
Peut être que je ne t’ai pas aimé, de la façon dont tu aimes être aimé"|"Hum liwa to pe lobiko Yo moko oko ponela nga eh   
Motema na nga eza pompe ya bolingo no ekokangamaka te 
 Pinzoli na nga po ekawuka Loba liloba se lyoko  
Mabe oyo osali nga Nazui yango neti sacrifice  
Peut etre que ndenge olingaka nalinga yo Nazangisaki ndambu"
3|"Je vais assigner qui en justice, le feu qui me brule  
Je l’ai allumé tout seul, par instinct de la pyromanie  
Tu peux me repousser cinq cent fois, je vais toujours te supplier  
L’équivalence en souffrance, est celui de JESUS sur la croix  
L’origine du chemin de la croix, est celui de l’amour que je porte pour toi"|"Nakosamba na nani Moto eza kotumba nga eh  
Nga moko napelisaki yango na instinct ya pyromanie  
Y’oboya no nga mbala kama Nabondelaka yo kaka  
Photocopie ya souffrance eza oyo ya yesu na kuruze  
Origine ya chemin de la croix Eza oyo po nga nalini yo nazo vivre eh, nazo vivre ehhh "
4|"Recommence a me faire rire, parle moi encore d’amour  
Pour que l’heure de ma mort, mon amie soit retardée  
Même si mon rêve depuis longtemps s’était transformé en illusion 
Le seul combat qui va me rester, est la conquête de ton amour  
On fait comment pour que l’amour se transforme en mépris envers les autres"|"Bandela kosekisa nga Parle moi encore d'amour  
Bongo ngonga ya liwa na nga Ami ekoma retardé 
 Ndoto na nga ata deja kala Esi ekomaki illusion  
 Etumba na nga ekotikala Se conquete ya amour na yo  
Po kolinga eya kobongwana koyina Baninga bakosalaka comment"
5|"Je n’ai pas de problème, tout ne dépend que de toi  
Je m’appelle une porte, et la clé qui m’ouvre  
Se trouve entre tes mains, ne la laisse pas tombé  
Le jour où tu le voudras, a l’heure que tu voudras, je serais à ta disposition 
Tout ce que tu voudras, la nuit ou le jour, ca sera fait en un temps  
Une seule foi, en un temps seulement"|"Naza na nga na probleme te Nyonso kaka se yo  
Kombo na nga eza porte Fungola oyo ekofungolaka nga  
Eza na maboko ma yo Kokweyisa yango te  
Mokolo okolinga, heure okopona Nakozala à ta disposition  
Nyonso okolinga butu to moyi Ekozala nango un temps  
Mbala moko, un temps kaka"
6|"La personne est entrain de mourir, l’amour tu refuse de venir pour quoi ? 
Le non assistance en personne en danger ma sœur  
Est punissable par l’Etat ma sœur"|"Ima lettre ya mama lelisa eh mawa  
Moto azowa eh Bolingo obo koya, pourquoi  
Non assistance en personne en danger, nkana eh  
Eza punissable epayi ya mbula matari eh, nkana"
7|"Qui sème le vent, dans le monde on dit que 
Récolte la tempête, qu’est ce que j’ai semé  
Pour qu’aujourd’hui je récolte la malchance de la jeunesse"|"Qui seme le vent na mokili, balobaka eh  
Recolte la tempete Nini oyo nga nalonaki eh  
Po lelo naya ko recolter botutu ya bobwana boye"
8|"Maintenant je crois, ce que disent les anciens 
Le jour où tu mange un crapaud mon enfant  
Ce n’est pas ce jour que tu vas avoir, des boutons, fais attention mon enfant"|"Lelo na ndimi bakulaka ndenge balobaka eh  
Mwana mokolo oyo okoliya ligorodo eh  
Eza te mokolo oyo okobima ah makwanza eh, keba mwana"
9|"Cet amour qui rend heureux 
C’est ce même amour qui va rendre la personne malheureuse 
Le sol qui donne les légumes, et les arachides 
C’est ce même sol, qui vient engloutir le corps humain, pour quoi  
La main qui caresse avec tendresse  
C’est cette même main qui vient griffer la personne   
L’amour qui donne le plaisir  
Comment ce même amour engendre la tristesse, je me demande"|"Kaka bolingo oyo epesaka esengo ngo 
 Kaka yango eyaka kokomisa moto malheureux  
Kaka mabele oyo epesaka ndunda na nguba ngo  
Kaka yango eyaka koliya nzoto ya moto pourquoi aaaaahhhhh  
Kaka loboko oyo e caressaka na tendresse eh  
Kaka yango eyaka lisusu kotiya moto linzaka eh yo didi stone  
Kaka bolingo oyo epsesaka elengi ngo  
Kaka yango eyaka lisusu kobota mawa comment , na mituni eee"
10|"Parler : 
Les sœurs, vous sortez dans le ventre des mamans avec la couleur du jus d’orange  
Pour nous on souffre, jusqu’en l’an 2000 cela sera toujours ainsi ? Vraiment hein ?"|"Parler : 
Ba sœurs, yango bo bimaka na libumu ya mama na couleur ya jus d’orange  
Po bosi to niokomaka , ti na l’an 2000 eko zala kaka boyé ? vraiment hein ?   "
