|french|lingala
0|"Omba, j’ai fais tout ce que un vrais Homme fait lorsqu’il aime, ou qu’il soit devenu dingue d’amour  
Mais tes parents refuse que nous nous marions  
Parce que je suis d’une autre région  
J’ai fais des carêmes dans les groupes de prières  
Je suis devenu frère en Christ à cause de toi Omba  
Mais il me manque la patience 
Car j’ai été attiré par le profit  
Comme ceci dure  
Omba je deviens home à problème"|"Omba nasali nyonso,oyo mobali ya solo asalaka soki alingi to akomi zoba na bolingo oh o 
Kasi baboti no ba boyi yanga nayo to kwelana  
Pona zali moto ya région mosusu eh 
Na sali ba carêmes na groupe de prière 
Na komi frère en Christ po na yo Omba  
Kasi patience ezangi ngaï 
Pona landaki se profit 
Lokola eh wumeli 
Omba nakomi luka mambu eh"
1|"Je regarde a gauche, a droite, en haut et en bas, je ne vois personne qui pourra me rattraper 
La responsabilité, puis la profondeur de l’amour que je porte  
Le caché c’est mal  
Omba je deviens dingue"|"Na tali gauche, droite likolo pe na se, na moni nani te oyo ako yambela ngaï 
Mokumba pe mozindo ya bolingo na memi 
Ko bomba eza mabé 
Omba na komi zoba zoba"
2|"Omba, j’ai fais tout ce que un vrais Homme fait lorsqu’il aime, ou qu’il soit devenu dingue d’amour  
Mais tes parents refuse que nous nous marions  
Parce que je suis d’une autre région  
J’ai fais des carêmes dans les groupes de prières  
Je suis devenu frère en Christ à cause de toi Omba  
Mais il me manque la patience 
Car j’ai été attiré par la beauté  
Comme ceci dure  
Omba je deviens home à problème"|"Omba nasali nyonso, oyo mobali ya solo asalaka soki alingi to akomi zoba na bolingo oh o 
Kasi baboti no baboyi ya nga nayo to kwelana 
 Pona zali moto ya région mosusu eh 
Na sali ba carêmes na groupe de prière 
Na komi frère en Christ po na yo Omba  
Kasi patience ezangi ngai 
Pona landaki se beauté 
Lokola eh wumeli 
Omba nakomi luka mambu eh"
3|"Je regarde a gauche, a droite, en haut et en bas, je ne vois personne qui pourra me rattraper 
La responsabilité, puis la profondeur de l’amour que je porte  
Le caché c’est mal  
Omba je deviens dingue"|"Na tali gauche, droite likolo pe na se,na moni nani te oyo ako yambela ngaï 
Mokumba pe mozindo ya bolingo na memi 
Kobomba eza mabé 
Yango na komi zoba zoba hum"
4|"Omba si toi et moi, ce ne sont que des paroles  
Je te demande de laissé la porte de ton cœur ouverte  
Le jour en question que je vienne comme un voleur  
Que j’aille dormir dans ton cœur  
Que j’ai sommeil, et que je mets même à ronfler  
Jusqu’à ce que le propriétaire de la place me trouve 
Qu’il ait peur, qu’il s’enfuit, puis me laisse Omba"|"Omba soki ya nga na yo ezali se ya maloba 
Na sengi otika motema na yo polélé 
Jour ango naya na ngaï lokola moyibi eh 
Na ya kolala na kati ya motema na yo 
Na zwa pongi na banda kutu na ko ronfler 
kino kolo ebonga akoya akuta ngaï eh 
Ayoka somo akima atikela nga Omba ah, Omba ah"
5|"Omba si toi et moi, ce ne sont que des paroles  
Je te demande de laissé la porte de ton cœur ouverte  
Le jour en question que je vienne comme un fou  
Pour qu’en mange à la belle étoile  
Quand le propriétaire va venir nous trouver  
Qu’il ait peur, et te quitte pour infidélité  
Que j’en profite pour t’oblige à te marier avec moi, Omba la jumelle de Sharon"|"Omba soki ya nga na yo ezali se ya maloba 
Na sengi otika porte ya motema  polélé 
Jour ango naya na ngaï lokola kilawu eh  
Bongo to lya lipati ya bengengi na sanza  
Tango Kolo ebonga akoya akuta biso 
 Ayoka somo atika yo po na infidélité 
Na profité ba balisa nga yo na makasi Omba, lipasa ya Sharon"
6|"Essai de demander a ton papa ou ta maman  
Comment ils ont fait pour être unis  
Ils te diront surement que c’est la patience  
C’est la clé d’or de toute réussite  
Beaucoup on été malmené, certains même ce sont fait tabasser 
Beaucoup se sont fait insulté, d’autres on été malmené  
Pour quoi ne veux-tu pas, que nous fassions pareil chérie"|"Meka ko tuna na papa to na mama 
Ndégé nini bango basala po ba zala unis 
Ba ko yebisa yo surement kaka patience 
Yango ezali la clef d'or de toute  réussite 
Mingi ba nyokwama basusu ba betama 
Mingi ba fingama basusu pe ba nyokwama 
Pour quoi yo olingi tosala  nga na yo bongo te  chérie, Omba ah"
7|"Simone de BEAUVOIR avait écrit dans son livre  
Quand la pauvreté entre par la porte Omba  
L’amour s’enfuit par la fenêtre, je l’admets"|"Simone de Beauvoir alobaki na livre na yé  
Quand la pauvreté entre par la porte Omba  
L'amour s'enfuit par la fenêtre na ndimi yango"
8|"Si j’étais comme Adam BOMBOLE  
Si j’étais comme André KIMBUTA  
Si j’étais comme le président Patchéli  
Je t’aurais construit un château dans la ville de MONACO  
Je mettrai des gardes de cops, qu’on ouvrira qu’à la main  
Pas d’entrée ni de sortie, rien que moi  
Je remplirai cette maison de provision  
Pas d’entrée ni de sortie  
Comme cela j’aurais l’assurance  
Que tu es à moi"|"Soki na zalaki lokola Adam BOMBOLE 
Soki na zalaki lokola  André KIMBUTA 
Soki na zalaki lokola Président Patchéli 
Mbe na tongela yo chateau na ville ya MONACO 
Na tia ba gardes du corps ko fongola kaka na maboko 
Ko kota té ko bima té kaka nga moko 
Na tondisa provision na kati ya ndako yango 
ko kota té ko bima té 
wana na kozala n‘assurance  
Yo zali wa nga"
9|"Omba si cet amour, est un plat cuisiné pour jouer avec  
Je l’accepte, mais que ce soit pour être mangé avec la bouche  
Pas par le menton si non, cela ne nous donnera pas envie  
Jadis les jeunes filles faisaient ainsi  
Si elle s’est attachée à une personne  
Et que les parents le lui interdise, elle va s’énerver 
Elle va menacer de prendre du poison  
Jusqu’à ce qu’on lui laisse faire son choix tranquillement"|"Omba soki bolingo ango eza ya liyoto eh 
Na ndimi kasi ezala ya kolya na monoko 
Ya banga té, si non et ko pesa biso mposa té  
Kala kala ba jeunes filles bazalaki kosala  
Soki asi atingami na moto na yé eh  
Et que ba parents ba pekisi yé a ko silika  
A ko menacé komela kutu na poison eh 
Kino ba tika yé asala choix na yé na malembé, 
Omba ah, Omba ah Omba ah,Omba ah Omba eh     "
