|french|lingala
0|"Intro: 
Amour reviens, reviens  
Je suis ton ami  
Je suis entrain de souffrir isolé  
Je suis entrain de souffrir pour toi"|"Intro: 
Bolingo zonga zonga  
Ngaï wa yo moninga 
N’ayali komona m’pasi isolé  
N’ayali komona m’pasi po na yo eh"
1|"Tu accepte vraiment, tu me laisse vraiment être foutue  
Tu as fermé ton cœur, et tu as refusé de venir"|"Yo ndimi vraiment, otiki penza nga na béba  
Okangi motema, y’oboyi ata koya oh ima olé"
2|"Il n’a pas de papa, il n’a pas de maman, il n’a de famille, la personne qui aime 
Celle qui se donne"|"Azanga papa azanga mama, azanga ndéko,moto oyo oyoh a lingaka di eh  
Oyo a mipesa"
3|"Tu as remplis, tu as remplis mon cœur à bâbord 
 Même si on se donne, pour moi ca dépasse l’entendement"|"Yo tonda ngaï motema, otonda ngaï motema mekè 
Ata ko ba mi pesaka,  oyo ya nga eleki mbeka eh"
4|"Les jours passes, les mois passes, les années passes 
Mais moi, je ne t’oubli toujours pas"|"Mikolo eleka eh, ba sanza eleka eh, ba mbula eko leka  
Kasi nga na bosanaka na nga kaka yo té"
5|La lettre postale, ta lettre je l’attends comme les chrétiens attendent la vie au paradis |Mokanda ya poste, mokanda na yo eh na koma ko zela ndengé ba christo ba zelaka la vie ya paradiso
6|"Mon amie, je ne te demande pas beaucoup  
Donne moi ne serai-ce que une petite place d’ami  
Dans un coin du cœur, pour moi ca sera suffisant"|"Amie nga na sengi na nga yo ebelé tè 
Pesa nga ata esika mokè y’ami oh  
Na swengè ya motema, pona ekoki se bongo"
7|" Tu accepte vraiment, tu me laisse vraiment être foutue  
Tu as fermé ton cœur, et tu as refusé de venir"|"Yo ndimi vraiment, otiki penza nga na béba  
Okangi motema, y’oboyi ata koya oh ima olé"
8|"Il n’a pas de papa, il n’a pas de maman, il n’a de famille, la personne qui aime 
Celle qui se donne"|"Azanga papa azanga mama, azanga ndéko,moto oyo oyoh a lingaka di eh  
Oyo a mipesa"
9|"Tu as remplis, tu as remplis mon cœur à bâbord 
Même si on se donne, pour moi ca dépasse l’entendement"|"Yo tonda ngaï motema, otonda ngaï motema tsoubou 
Ata ko ba mi pesaka,  oyo ya nga eleki mbeka eh"
10|"Les jours passes, les mois passes, les années passes 
Mais moi, je ne t’oubli toujours pas"|"Mikolo eleka eh, ba sanza eleka eh, ba mbula eko leka  
Kasi nga na bosanaka na nga kaka yo té"
11|La lettre postale, une simple lettre, je l’attends comme les chrétiens attendent la vie éternelle|Mokanda ya poste, mokanda ya pamba na koma ko zela ndengé ba christo ba zelaka la vie éternelle
12|"Mon amie, je ne te demande pas grand chose  
Donne moi ne serai-ce que une petite place d’ami  
Dans un coin du cœur, pour moi ca sera suffisant"|"Amie nga na sengi na nga yo ebelé tè 
Pesa nga se esika mokè y’amie oh  
Na swengè ya motema, pona ekoki se bongo"
13|Ton amour m’a changé, je ne suis plus tel que ma maman m’avait mise au monde|Bolingo nayo eh changea ngaï eh, ndegé mama abotaki nga ah naza lisusu bongo tè
14|"Tu me rends triste, moi l’enfant d’Amy  
Tu me rends comme un solda au défilé, toute la fierté dans l’eau  
La place dont Dieu a choisi pour moi dans ce monde, se trouve au près de toi  
Depuis que t’es parti, chérie ma maison s’est transformé en orphelinat, la joie n’y entre  plus  
Je suis a toi mon amie, regarde moi la personne avec qui tu as partagé les joies et les souffrances 
Reviens moi, reviens moi pour que je survive, je risque de mourir"|"Y’okomisa ngaï mawa mawa, nga mwana Amy ngo, nga ngo mwana Amy yeeh eh  
Y’okomisa ngaï lekola soda ya lipili eh lolendo nioso na mawi eh  
Esika oyo Nzambé a ponela nga na mokili ezali pené na yo eh 
Ndâko na nga wuta okenda chérie ekoma orphelinat éséngo ekota té eh    
Nga wa yo moto o moninga, tala nga awa yo moto to kabola bisengo na ba m’pasi   
Zongela ngaï zongela ngaï m’po na bika, nako ya ko wa eh"
15|"Amour reviens, reviens  
Je suis ton ami  
Je suis entrain de souffrir isolé  
Je suis entrain de souffrir pour toi"|"Bolingo zonga zonga  
Ngaï wa yo moninga 
N’ayali komona m’pasi isolé  
N’ayali komona m’pasi po na yo eh"
16|"Tu me rends comme un solda au défilé, toute la fierté dans l’eau  
La place dont Dieu a choisi pour moi dans ce monde, se trouve au près de toi  
Depuis que t’es parti, chérie ma maison s’est transformé en orphelinat, la joie n’y entre  plus  
Tu me rends triste, moi l’enfant d’Amy"|"Y’okomisa ngaï lekola soda ya lipili eh lolendo nioso na mawi eh  
Esika oyo Nzambé a ponela nga na mokili ezali pené na yo eh 
Ndâko na nga wuta okenda chérie ekoma orphelinat éséngo ekota té eh    
Y’okomisa ngaï mawa mawa, nga mwana Amy ngo, nga ngo mwana Amy yeeh eh"
17|"Amour reviens, reviens  
Je suis ton ami  
Je suis entrain de souffrir isolé  
Je suis entrain de souffrir pour toi"|"Bolingo zonga zonga  
Ngaï wa yo moninga 
N’ayali komona m’pasi isolé  
N’ayali komona m’pasi po na yo eh   "
