|french|lingala
0|"Cet enfant 
Cet enfant triste  
Il adore la chanson  
Comme un Ange  
Vous l’avez trop insulté, et trop jaser sur lui  
Il faut le bénir 
Aucune personne que Dieu à créer 
N’est parfaite   
Entre les mains du Dieu le père  
Papa bonheur s'y trouve"|"Mwana ango ooh  
Ya mawa aah  
Alanga ndzémbo  
Lokola Angelu  
Bofingi, botongi yé mingi  
Bo benisa yé  
Moto moko té oyo Nzambé akela ah  
Aza parfait  
Na maboko ya Dieu le père  
Papa bonheur azali hii oyah"
1|"Allo, allo, allo papa bonheur au téléphone  
Les mamans bonjour  
Les papas, respect  
Tout le monde Tchatcho  
Il n’y a pas de problème"|"Allo, allo, allo papa bonheur au téléphone  
Ba mama m’boté  
Ba papa respect  
Tout le monde Tchatcho  
Problème eza té eh"
2|"Allo, allo, allo papa bonheur au téléphone  
Les divas bisous  
Les enfants de Paris, Bruxelles 
Tout le monde Tchatcho  
Il n’y a pas de problème"|"Allo, allo, allo papa bonheur au téléphone  
Ba divas bisous  
Bana Paris, Bruxelles  
Tout le monde Tchatcho  
Problème eza té eh"
3|"Quand je suis arrivée à Düsseldorf dans Bundesliga  
Quand je suis arrivée Djoniva, en Switzerland 
Quand je suis arrivée à Paris en France"|"Tango na komi Düsseldorf na kati ya Bundesliga 
Tango na komi Djoniva na kati ya Switzerland  
Tango na komi na Paris eh na kati ya mboka Francia"
4|"J’ai appris la nouvelle  
Que à Kinshasa c’est n’importe quoi 
Au sujet de ma personne  
C’est faux, c’est faux"|"Nga na yoki se sango  
Que Kinshasa n’importe quoi 
Na kombo na ngaï eh  
Eza faux eza faux"
5|"Allo, allo, allo papa bonheur au téléphone  
Les changeurs bonjour  
Les mamans du marché  
Tout le monde Tchatcho 
Il n’y a pas de problème"|"Allo, allo, allo papa bonheur au téléphone 
Ba changeur m’boté eh  
Ba mama ya zando  
Tout le monde Tchatcho  
Problème eza té eh"
6|"Trop parlé c’est mauvais  
Les médisances c’est mauvais  
Les insultes c’est une lâcheté 
Le copain (la copine) que tu appel mon ami(e) 
Quand il te tourne le dos  
Tu commence à l’insulté  
Lui faire des messes basses  
Elle devient une mauvaise personne  
Tu lui surnomme mauviette"|"Ko loba loba ezali mabé eh  
Ko tonga tonga ezali kolo oh  
Ko finga finga ezali lâcheté 
Moninga obenga ami  
Soki a pesi yo mokongo  
O komi ko finga yé  
Ko lya yé na sésé eh  
A komi moto mabé  
O pesi yé kombo Yuma"
7|"Allo, allo, allo papa bonheur au téléphone  
Les étudiants de l’Europe  
Les soldats hourra 
Tout le monde Tchatcho 
Il n’y a pas de problème"|"Allo, allo, allo papa bonheur au téléphone 
B’étudiants ya m’putu  
Ba soda oyé  
Tout le monde Tchatcho  
Problème eza té eh"
8|"Aimons-nous  
Soyons tous unis  
… [Dédicaces]"|"Hum to lingana mama  
To sangana biso tout, Christiane AKOUASSA, mère Akou eh   
Na lela mère Evé eh … [Dédicaces]"
9|"Allo, allo, allo papa bonheur au téléphone  
Les vendeurs a la sauvette, les chauffeurs riches  
Tout le monde Tchatcho  
Il n’y a pas de problème"|" Allo, allo, allo papa bonheur au téléphone 
Ba romains, ba kadhafi, ba mopila ya mbongo  
Tout le monde Tchatcho  
Problème eza té eh"
10|"Aimons-nous les amis  
Gouteur papa Rengosse, Bouboule le papa de Deborah, Bob mass ou est Grace … [Dédicaces]"|"Hum, hum to lingana b’amis 
Gouteur papa Rengosse, Bouboule papa na Deborah, Bob mass wapi Grace … [Dédicaces]"
11|"Allo, allo, allo papa bonheur au téléphone 
CONGO, ABIDJAN, BENIN  
BURUNDJI, TOGO, GABON  
Tout le monde Tchatcho  
Il n’y a pas de problème"|"Allo, allo, allo papa bonheur au téléphone 
CONGO, ABIDJAN, BENIN  
BURUNDJI, TOGO, GABON  
Tout le monde Tchatcho  
Problème eza té eh"
12|Dieu aussi existe|Nzambé m’pé azali hein  
