|french|lingala
0|"La mouche, même si elle vole  
Elle n’est pas un oiseau"|"Nzinzi at’ako m’pumbwa likolo 
Ayali ndéké te"
1|C’est moi (4x)|Se nga (4x)
2|"Je suis une personne quelconque  
Moi j’en ai vue des problèmes, moi l’enfant de Dieu  
On raconte des choses sur moi, puis on m’insulte  
Mon nom perd de sa valeur, dans la bouche des gens"|"Ah ngaï moto pamba eh ah nga moto pamba  
Ah ngaï moni mambu eh ah nga mwana Nzambé  
Nga ba tonga tonga, m’pe ba finga ka nga  
Kombo na ngaï esambwa na minoko ya bato"
3|"Tous les péchés d’Israël [C’est moi] 
Tous les péchés de Maï Ndombé [C’est moi] 
Les péchés d’Adam et Eve [C’est moi] 
Vous insultez, jasez, parlez trop sur le nom de l’enfant d’autrui  
Vous insultez, jasez, parlez trop sur le nom de l’enfant d’autrui  
Arrêté, c’est faux, c’est mauvais arrêter"|"Masumu nioso ya Israel [Se nga] 
Masumu nioso ya Maï Ndombé [Se nga] 
Masumu ya Adamu na Eva  [Se nga] 
Bo fingi, tongi, lobi mingi na kombo ya mwana ya ngana  
Bo fingi, tongi, lobi mingi na kombo ya mwana ya ngana eeh  
Bo tika, eza faux, eza kolo oh botika ah"
4|"Je suis une personne quelconque  
Moi j’en ai vue des problèmes, je suis un débrouillard  
On raconte des choses sur moi, puis on m’insulte  
Mon nom perd de sa valeur, dans la bouche des gens"|"Ah ngaï moto pamba eh ah nga moto pamba  
Ah ngaï moni mambu eh, ah nga débrouillard  
Nga ba tonga tonga, m’pe ba finga ka nga  
Kombo na ngaï esambwa na minoko ya bato"
5|"La personne qui a inventé les maladies [C’est moi] 
La personne qui a crée les cimetières [C’est moi] 
Que quelqu’un ait un problème avec moi [C’est moi] 
Vous insultez, jasez, parlez trop sur le nom de l’enfant d’autrui  
Tous les noms sans valeur, vous me les avez déjà donnés  
Vous jasez sur moi, vous m’insultés, que voulez-vous de plus ?"|"Moto oyo a kela ba maladie [Se nga] 
Moto oyo a kela cimetière [Se nga] 
Moto azwa problème pené na nga [Se nga] 
Bo fingi, tongi, lobi mingi na kombo ya mwana ya moto 
Ba kombo nioso ezanga lokumu bo si bo pésa nga ah  
Nga bo tongoko nga, bo fingaka nga, bo lingi lisusu nini ih ?"
6|"Je suis une personne quelconque  
Moi j’en ai vue des problèmes, je suis un simple sans abri  
On raconte des choses sur moi, puis on m’insulte  
Mon nom perd de sa valeur, dans la bouche des gens"|"Ah ngaï moto pamba eh ah nga moto pamba 
Ah ngaï moni mambu eh, ah nga simple phaseur 
Nga ba tonga tonga, m’pe ba finga ka nga 
Kombo na ngaï esambwa na minoko ya bato"
7|"Certains sont dans lajoie, d’autres c’est la souffrance [C’est moi] 
Tout le monde peut réussir sauf [C’est moi] 
Donc tout le monde peut bouger, sauf [C’est moi] 
Vous insultez, jasez, parlez trop sur le nom de l’enfant d’autrui  
Arrêter, c’est faux, le papa de Rocky n’a rien fait"|"Esengo, basusu hum pasi [Se nga] 
Moto nioso akoki kozwa sauf [Se nga] 
Donc moto tout akoki ko gningana nayé sauf kaka [Se nga] 
Bo fingi, tongi, lobi mingi na kombo ya mwana ya ngana eeh  
Bo tika eza faux, papa na Rocky asali rien"
8|"Je suis une personne quelconque  
Moi j’en ai vue des problèmes, je suis un enfant de la rue  
On raconte des choses sur moi, puis on m’insulte  
Mon nom perd de sa valeur, dans la bouche des gens"|"Ah ngaï moto pamba eh ah nga moto pamba  
Ah ngaï moni mambu eh, ah nga mwana imbwa  
Nga ba tonga tonga, m’pe ba finga ka nga  
Kombo na ngaï esambwa na minoko ya bato"
9|"Ils sont bien, le mal c’est toujours [C’est moi] 
Ils ont raison, le tord c’est toujours [C’est moi] 
Ils ont la joie, nous c’est toujours la souffrance [C’est moi] 
Vous insultez, jasez, parlez trop sur le nom de Tchatcho MBALA  
Il a insultez, jasez, trop parlez sur le nom de leur oncle paternel  
Arrêter, c’est faux, le papa de Minou est innocent"|"Bango bien, mabé toujours kaka [Se nga] 
Hum bango raison tord toujours kaka [Se nga] 
Hum bango esengo biso toujours pasi [Se nga] 
Bo fingi, tongi, lobi mingi na kombo ya Tchatcho oh MBALA  
Ah fingi, tongi, lobi mingi na kombo ya papa kulutu na bango  
Botika eza faux, papa na Minou azali innocent  "
