|french|lingala
0|"ROGA-ROGA 
Amour éternel de t’attendre je désespère  
Mais jamais je n’avouerai tu es le mal car personne ne peut se passer de toi"|"ROGA-ROGA
Amour éternel de t’attendre je désespère 
Mais jamais je n’avouerai tu es le mal car personne ne peut se passer de toi"
1|"OXYGENE  
L’esclavage d'amour est une souffrance dans le monde  
L'esclave de l'amour est une souffrance ici-bas"|"OXYGENE  
Esclavage d’amour pasi na mokili
Esclave ya bolingo mognololo awa o nsé ye nga he nga"
2|"PAPY BASTING 		
Si tu aimes trop la femme, tu deviendras un mouton dans le royaume des animaux  
La finalité est que soit bête ici-bas"|"PAPY BASTING
Soki olingi mwasi mingi oko koma taba na royaume ya ba niama 
Suka se okoma zoba na nsé ya mokili yeh"
3|"SOLO 
Moi qui n'avais  jamais souhaité être comme cela, je n'avais pas souhaité être isolé  
Tout ça à cause de toi l’amour"|"SOLO
NgaÏ moto na kanaki te vraiment na ko koma boyé, na kanaki te vraiment na kokoma isolé 
Tout ça à cause de toi l’amour"
4|"ROGA-ROGA 
L'amour, tu as mal agi"|"ROGA-ROGA
Amour y’ossali mabé eh"
5|"CHORALE 
Tu as mis l'esprit de l'enfant d’autrui dans la monotonie  
Il ne pense et ne rêve que de ta silhouette 
Est-ce qu'on agit ainsi dans la vie de quelqu'un, si non tout le monde serait esprit"|"CHORALE
Yo tie esprit ya mwana moto nakati ya monotonie 
A komi okanisa ko loto elili na yo 
Est ce que ba salaka boyé vraiment na vie ya moto be tout le monde est esprit"
6|"SOLO 
Mais l'amour t'es lourd"|"SOLO
Mais amour y'ozali kolo"
7|"CHORALE  
Tu n'as pas eu pitié de la personne, tu as changé de destination 
Les conseils des parents, de la famille sont tous devenus mauvai 
L'histoire que tu as choisie pour moi est plus que celle de Lucifer, CUPIDON au secours 
Ça sera un vrai constat  si tu te penches sur mon sort  
Je ne te demande pas beaucoup, fais moi la promesse de ROMEO  
Parce que son amour avec JULIETTE est très romantique … L'amour"|"CHORALE
Y’oyoki moto mawa te o changer destination 
Conseil ya ba parents,  ba ndeko ekoma nioso ya mabé
L’histoire oponeli nga eleki ya Lucifer , CUPIDON au secours
Eko zala vrai constat tala sort na ngaï 
Na sengi na nga yo mingi té pesa  nga promesse  ya ROMEO  
Po l’amour na ye na JULIETTE très  romantique l’amour"
8|"SOLO 
L'amour t'es vraiment jaloux"|"SOLO
Yeh l’amour vraiment yo zali jaloux"
9|"CHORALE 
Je refuse que tu me places dans le même rang que les rameaux  
Pendant les fêtes et les veillées ils sont présents  
Mais après les avoir utilisés on les jettes à la poubelle 
Mon désistement serait si tu choisissais   
De faire de moi un portable NOKIA ou ERICSON  
Un temps tu appuies sur YES un autre sur NO  
Pour quoi l’amour est si injuste dans ce monde très merveilleux …l’amour  
Hé amour"|"CHORALE
Na boyi yo tia nga na molongo ya mandalala 
Oyo na  fêti to na matanga na zali present 
Après avoir utilisé ba bouaki yango na fulou eh yeh 
Désistassions na ngaÏ eza soki oponeli ngaï 
Okomisa nga portable NOKIA to ERICSON 
Tango moko ofigni YES tango moko NO 
Pour  quoi l’amour est si injuste dans ce monde très merveilleux …l’amour 
He amour hey"
10|"SOLO 
L'amour je pleures"|"SOLO
Le le le l’amour  hey eh na lela"
11|"CHOEUR 
Hé amour"|"CHOEUR
He amour hey"
12|"SOLO 
L'amour donne aux gens de mauvaises idées  
Il commence à me pousser à aller en AFGHANISTAN trouver BEN LADEN  
Qu'il envoie tous ses copains du réseau Al-Qaïda  
Qu'ils ramènent des MIGS, des AVIONS des BOMBADIERS  
Et que leur ultimatum soit que tu acceptes mon amour"|"SOLO 
Amour etindaka bato ba idées ya mabé 
Ekomi etinda nga na kende AFGHANISTAN na mona BEN LADEN  
Atinda ba masta nayé nioso ya réseau Al-Qaïda 
Bayaka na ba MIGS, ba AVIONS, ba BAMBARDOS 
Ultimatum na bango ezala que y’ondzima bolingo na nga ah"
13|"CHOEUR 
Hé amour"|"CHOEUR
He amour hey"
14|"PAPY BASTING 
Les yeux, les yeux, cette chose l'amour n’a pas de docteur  
La maladie d'amour n'a pas de remède 
Mais on dit toujours aux gens qu'on les aime 
Toi qui es habitué de dire à la femme que tu l'adores  
PAPY BASTING est saoul mais il n'a pas bu"|"PAPY BASTING 
Miso, miso, eloko bolingo ezanga na ngo dokotolo 
Maladie ya bolingo ezanga na ngo kutu kisi 
Kasi to lobaka kaka na bato je t’aime 
Yo moto pusa ko loba na mwasi je t’adore 
PAPY BASTING alangoué kassi a meli te he he he he NIARA yarga"
15|"CHOEUR 
Hé amour"|"CHOEUR 
He amour hey"
16|"DOUDOU COPA 
L'amour n'a pas eu pitié de moi 
Et pourtant je suis ton représentant sur la terre  
La boussole de mon cœur s'est déréglée  
Voila pourquoi elle m'a conduit à ITATOLO (Les cimetières) 
L'amour pourquoi m'as-tu abandonné ainsi  
LILIE LOUMANDE moi ici je suis mortifié"|"DOUDOU COPA
He amour eyokeli ngai mawa té 
Et pourtant na représentant na yo sur la terre 
Boussole ya motema ekoma na ngo na sens inverse 
Ya ngo ekoumbi nga COPA na nzela ITATOLO 
Amour tina osundoli nga kaka boyé 
LILIE LOUMANDE ngaÏ awa na wie"
17|"CHOEUR 
Hé amour"|"CHOEUR
He amour hey"
18|"SOLO 
L'amour tu es mauvais, pourquoi m'as-tu poignardé au dos aïe 
Tu es lourd l'amour  
Je refuse de mourir jeune, c'est vrai que l'amour et l'argent coopèrent avec la mort"|"SOLO
L’amour he yo mabé pour quoi otié nga mbeli na mokongo aï 
Y’ oza kolo l’amour missile he 
Na boyi na koufa liwa oyo ya bolengué solo bolingo na mbongo ekoperaka na liwa he"
19|"CHOEUR 
Hé amour"|"CHOEUR
He amour hey"
20|"SOLO 
Tu t’es fait passer pour une brebis, tu m'as sorti la BIBLE 
Alors que tu étais une panthère  
Maintenant tu me refuses de l'amour"|"SOLO
Yo lata poso ya meme yo bimeseli nga BIBLE
Nzoka ozalaki nayo nkoyi 
Lelo opimela nga bolingo"
21|"CHOEUR 
Hé amour"|"CHOEUR
He amour hey"
22|"SOLO 
La nuit me paraît comme le jour  
Je commence à manquer de l'affection  
Je deviens comme un chien"|"SOLO
Butu ekomi ko kotela ngaÏ neti mowi 
Na komi ozanga affection
Na komi vraiment neti kikimbwa eh"
23|"CHOEUR 
Hé amour"|"CHOEUR
He amour hey"
24|"HERMAN 
Quel péché ai-je commis, c'est vrai que je porte un fardeau  
Tu aimerais que je paie une dette que je n'ai pas contractée  
Qu'on ne te ment pas, l'amour n'est pas synonyme de veillée"|"HERMAN 
Hum lisumu nini nasala solo na mema nde ngambo 
Y'olingi na futa niongo nga nadefa te 
Bakosa yo te bolingo eza ndeko te ya matanga"
25|"CHOEUR 
Hé amour"|"CHOEUR
He amour hey"
26|"OXYGENE  
Tu ne veux pas de moi, tu me chasses, ou irais-je ? 
J'accepte d'être esclave de ta famille 
Aime cinq cent femmes si tu veux mais ne me quitte pas"|"OXYGENE 
Y'oko boya ngaÏ, y'oko bengana ngaÏ nako kenda wapi eh 
Nga nanzimi eh nakota bowumbu eh na libota nayo 
Linga basi kama koboya ngaÏ te oh"
27|"CHOEUR 
Hé amour 
Hé amour"|"CHOEUR
He amour hey
He amour hey"
