|french|lingala
0|"Ecoutez ma voix crier 
                                                                                              La mélodie de maman que j’envoie en offrande  
                                                                                              Reçois de moi ces petites paroles"|"Boyoka yoka yoka mongongo na nga ekobelela 
                                 Melodie ya mama natindi libonza ah  
                                 Oyamba ya ngo oya gai maloba moke wana"
1|"Maman la nuit j’ai fais un rêves bizarre  
                                                                                              Que je suis devenu vieux  
                                                                                              Ceux a qui j’ai apporté de l’aide ont commencé à ce moqué de moi  
                                                                                              Les femmes que j’avais ont commencés à me repousser  
                                                                                              Ce métier si dur et sans reconnaissance  
                                                                                              Ecoute ce problème qui na pas de solution"|"Mama naloti na butu na ndoto oh bizarre 
                                 Ti ngai nakomi mobange eh  
                                 Baye nasalisaka bakomi koseka nga  
                                 Basi na zuaka bakomi kozomela nga 
                                 Mosala oyo pasi ezangi nde melesi ih  
                                 Yoka nde likambo ezangi eyano"
2|"Ai ai ih oh oh maintenant je sais  
                                                                                              Les jours de ma mort mes détracteurs vont faire la fête  
                                                                                              Mes parents vont pleurs, mes enfants vont pleurer leur papa  
                                                                                              Mes ainés vont pleurer notre petit frère est parti  
                                                                                              Cette journée la serat mouvementées 
                                                                                              Maman ne pleur, moi je suis né poussière"|"Ai ai ih oh oh lelo nayebi eh  
                                 Mokolo ya kufa na nga banguna bakosala nde feti 
                                 Baboti ba nga bakolela bana bakolela papa 
                                 Ba yaya bakolela leki na biso akeyi  
                                 Mokolo yango ekozala makambo ma 
                                 Mama kolela te ngai na botama mabele"
3|Dieu, Allah soient loué|Yawe Allah kumbama
4|"Prenons soin du temps Luccelle  
                                                                                              Jeannot Kano sache qu’il n ya qu’un seul monde  
                                                                                              On ne vie qu’une seule fois, il faut en profiter  
                                                                                              L’intelligence de la jeunesse 
                                                                                              Ce n’est pas dans la vieillesse qu’on fera ces carrières 
                                                                                              Alors profitons"|"Tika tolengela mua tango Luccelle  
                                 Jeannot Kano yeba te mokili oyo eza se moko 
                                 On ne vie qu’une seule fois, il faut en profiter  
                                 Mayele ya bo mwana ah  
                                 Na ki mobange te  tokosala ba carriere yango  
                                 Tika to profiter"
5|"Cette journée la serat mouvementées 
                                                                                              Maman ne pleure pas, mon temps est arrivé"|"Mokolo yango ekozala makambo ma 
                                 Mama kolela te ya ngai ngonga ekoki"
6|Dieu, Allah soient loué|Yawe Allah kumbama
7|"Laisse-moi prendre soin du temps Maso 
                                                                                              Il faut qu’on s’apprête les gens du monde Bob Masua  
                                                                                              Il faudra qu’on change de comportement pour le paradis  
                                                                                              Toi l’homme du peuple, quand tu gagne un peu, épargne un peu  
                                                                                              La carrière d’une personne finie par s’arrêter sache le  
                                                                                              Le mandat de l’état aussi peut s’arrêter"|"Tika na milengela maso  tango oyo  
                                 Tika to mibongisa bato ya mokoli ih Bob Masua 
                                 Esengeli tomilengele na bizaleli po na lola 
                                 Yo moto ya mokili ozui moke bomba moke  
                                 Carriere ya moto pe esilaka ah ah yeba 
                                 Mandat ya l’état pe esilaka ah ah"
8|"Apres ma mort je refuse que mes enfants souffrent  
                                                                                              Qu’ils aient honte des choses que leur papa a faites, ma souffrance est grande"|"Sima ya liwa na nga na boyi bana banga basambwa  
                                 bayoka soni eh na likambo papa asalaka ye ye ye mawa na nga eleki"
9|Le jour où je suis devenu vieux|oh Mokolo ngai nakomi mobange
10|"Le jour ou je suis devenu vieux les larmes aux yeux  
                                                                                              Je pleur seulement l’époque ou j’étais jeune  
                                                                                              Aujourd’hui je suis entrain de devenir vieux, s’ensuivra la mort"|"Mokolo ngai nakomi mobange mayi na miso  
                                 Na kolela kaka tango nazala na bolenge  
                                 Ngai yoyo lelo na komi kokoma mpaka sima liwa eh eh eh"
11|Sache que le temps passe|Oyebaka tango ezali koleka
12|"Quand le temps, il ne revient pas en arrière 
                                                                                              Essai d’attraper le temps quand le temps se présente, ne le laisse pas mon ami"|"Soki tango ekei ezongaka te lisusu  
                                 Meka okanga ya yo tango, tango esi eh se prensenter kotika yango te moninga"
13|Sache que   Bowa Vida|Oyebaka bowa vida
14|"Le temps passe et ne fais que passer 
                                                                                              Attrape ton temps quand le temps passe, il ne reviendra pas en arrière"|"Tango ezali kokende se kokende oh ma  
                                 Kanga ya yo tango tango ekoleka muana ekozonga simate"
