|french|lingala
0|"WERASON :
A l'heure des adieux 
On partant loin de toi 
Mes yeux ce sont vidé tout d'un coup de lumière et je suis resté en jungle a force de pleurer"|"WERASON :
A l'heure des adieux 
On partant loin de toi 
Mes yeux ce sont vidé tout d'un coup de lumière et je suis resté en jungle a force de pleurer"
1|"Je suis passé te voir jeudi soir 
J'ai trouver le portail fermé 
J'ai sonné, j'ai frappé a la porte 
T'as refuser de m'ouvrir"|"Nayaki ko tala yo jeudi na pokwa oh 
Nakuti lopango bakangi 
Na beti sonnette, na frapper na porte
Oboyaki nayo kondima"
2|"Tu étais dans la chambre 
Tu étais entrain de lire un roman photo avec mon rival 
Tu avais laissé comme consigne au gardien, de me dire que tu n'étais pas là
Pour quoi me fais-tu souffrir ?
Tu me dévalorise 
Si je trouve une autre femme, tu sera la première à me traité de salop"|"Nzok'ozalaki nakati ya chambre 
Ozalaki kotanga photo roman na mbanda 
Otikaki consigne na sentinel, soki amoni ngaï a loba ozali té
Oko niokolo nga pourquoi tina 
Oko sambwisa ngaï nzoto ah mama ah 
Soki na zui mosusu, yo moto ya liboso y'oko benga nga ndoumba"
3|"REFRAIN : 
MILENE, si tu ne veux plus de moi 
Dis le moi, pour que je le sache 
Vient arrêter mon cœur 
J'en peut plus,  GUY GUY et JOSÉ  KONGOLO
MILENE, si tu ne veux plus de moi 
Dis la à JACKIE WATUNDA et à bébé DEDASSE
Vient arrêter mon cœur 
J'en peut plus, MARIN MANDIBULE"|"REFRAIN : 
Soki MILENE oboyi nga 
Lobela nga na yeba mama aah 
Yak'okangela nga motema 
Nako koka  te GUY GUY na JOSÉ  KONGOLO 
Soki MILENE oboyi nga 
Lobela JACKIE WATUNDA bébé DEDASSE
Yak'okangela nga motema 
Nako koka  te MARIN MANDIBULE"
4|"WERASON :
Malheur ou bonheur 
Les gens de ce monde, choisissez pour moi 
Parce que ma souffrance, excède celles infligé par le flammes du volcan 
Celles que même les pompiers n'ont jamais pu éteindre"|"WERASON :
Malheur ou bonheur 
Bato ya mokili bo ponela nga
Mpo pasi nazali ko yoka eleki oyo ya moto ya volcan 
Oyo ba pompiers bakoka nanu ko boma te eh eeh hein"
5|"REFRAIN :
MILENE, si tu ne veux plus de moi 
Dis la à JACKIE WATUNDA et à bébé DEDASSE
Vient arrêter mon cœur 
J'en peut plus, MARIN MANDIBULE"|"REFRAIN : 
Soki MILENE oboyi nga 
Lobela JACKIE WATUNDA bébé DEDASSE
Yak'okangela nga motema
Nako koka  te MARIN MANDIBULE"
6|"WERASON :
De mes yeux, j'ai vue de ces choses 
Je préfère, écouter des histoires venant d'autrui 
Or mes yeux en sont le témoin, je pensais que ce n'était qu'une illusion, or c'était la réalité 
La souffrance dont je suis entrain de vivre, ressemble a celle de JESUS sur la croix 
Le chemin de la croix 
L'amour n'a pas de juge 
L'amour n'est non plus punissable par l'état 
Où est ce que je pourrai l'assigné en justice"|"WERASON :
Miso na nga emona nde makambo 
Ebongaka ko yoka lisolo epayi ya moto
Oyo ya nga miso nde témoin, na banzaki illusion nzoka nde réalité 
Pasi oyo nazali komona, photocopie ya souffrance ya YESUS na kurusé 
Chemin de la croix 
Bolingo ezanga juge
Ezanga n'ango pe punissable epayi ya mbulamatari yeh 
Nako funda ya ngo wapi"
7|"REFRAIN :
MILENE, si tu ne veux plus de moi 
Dis le moi, pour que je le sache 
Vient arrêter mon cœur 
J'en peut plus,  GUY GUY et JOSÉ  KONGOLO
MILENE, si tu ne veux plus de moi 
Dis la à JACKIE WATUNDA et à bébé DEDASSE
Vient arrêter mon cœur 
J'en peut plus, MARIN MANDIBULE"|"REFRAIN : 
Soki MILENE oboyi nga 
Lobela nga na yeba mama aah 
Yak'okangela nga motema 
Nako koka  te GUY GUY na JOSÉ  KONGOLO 
Soki MILENE oboyi nga 
Lobela JACKIE WATUNDA bébé DEDASSE
Yak'okangela nga motema 
Nako koka  te MARIN MANDIBULE"
8|"WERASON :
J'ai mandaté LUVELELA HUGUES
J'ai demandé à  PATCHO PUANDA de te supplier 
J'ai demander à  MOVADI FREDY de te supplier 
Tu m'as fermer ton cœur, et refuser d'y répondre, pour quoi ?"|"WERASON :
Natindi LUVELELA HUGUES na nga ah 
Nasengi PATCHO PUANDA a bondela ah 
Natindi MOVADI FREDY a bondela eh 
Okangi motema oboyi ko futa eh pona nini"
9|"SOLO :
Loin des yeux, près du cœur CLAUDE PEMBA
Eric OKANGÉ, tu me rend folle par ton amour 
Tu m'avais promis, que tu partais a LONDRES et que tu allais revenir 
D'être fort DOMINIENGI va rentrer 
… Dédicaces"|"SOLO :
Loin des yeux, près du cœur CLAUDE PEMBA mah  
Eric OKANGÉ okomisi nga kilawu lawu na bolingo nayo eh
Y'olobaki na ngaï yo keyi LONDRE y'oko zonga ah 
Na kanga se motema DOMINIENGI ako yah 
… Dédicaces"
10|"BABY  NDOMBÉ :
MRIE, celle qui ma mise au monde et souffert pour moi, est comme toi
WERASON te respecte SIDEZI MAPATA 
WERASON pour qu'il survive, doit s'exiler au cimetière 
HAMED MBALA, ELYSÉE BIJOU MBUMA ont te pleur, moi BABY"|"BABY  NDOMBÉ :
Marie oy'abota nga amonela nga pasi aza lekola yoh 
Le vieux nkoyi a respectaka yo SIDEZI MAPATA 
Y'a WERASON po abika se avanda na lilita 
HAMED MBALA, ELYSÉ BIJOU MBUMA bako lela yoh nga BABY eh"
11|"WERASON :
L'amour n'est pas un couteau pour que tu blesse l'autre avec 
Ce n'est non plus un piège dans lequel je suis tombé 
Je cherche a faire attention, mais mon corps tremble"|"WERASON :
Bolingo ezali mbeli té po y'ozokisa moninga 
Ezali pe boloko té oyo nga na kangami 
Nako luka na mi kebisa kasi nzoto mokomi kolenga"
12|"FERRE :
MILENE, la façon dont je t'adorais, aujourd'hui où me places-tu ?
T'as oublié tout ce que j'ai fais pour toi, parce que j'ai plus d'argent 
Sache, que si je me suicide, tu sera la responsable de ma mort MILENE"|"FERRE :
MILENE ko kumisa oyo na kumisaka yo o ti nga wapi ? Yeah yeah yeah 
Obosani oyo nioso nasala pona yo, po lelo nakoma mpiaka Yeah yeah yeah 
Yeba awa na mibomi ozali responsable ya kufa na nga MILENE Yeah yeah yeah"
13|"MULOPWE :
La chose qui me fait le plus mal, est que j'ai perdue mon temps, et j'ai pas été récompensé 
Je pleur 
… MAMIE BAKIMBE m'a quitté"|"MULOPWE : 
Likambo eko sala ngaï pasi CHARLES NKONDÉ na lekisa tango na zueli yango lifuta te oh, weah 
Nga na lelaka 
… MAMIE BAKIMBE a boyi nga hum"
