|french|lingala
0|"Parler :
                                                                                                      Viens
                                                                                                      N’hésite pas viens 
                                                                                                      Te regarder sans te toucher c’est ca mon problème"|"Parler :
                                         Viens
                                         N’hésite pas viens 
                                         Te regarde sans te toucher c’est ca mon problème"
1|"Je suis à toi pour toute ma vie 
                                                                                                      Je t’ai donné mon cœur tout entier 
                                                                                                      Mon annulaire de la main gauche porte une couronne pour l’éternité 
                                                                                                      Un bijou en or, je suis occupé 
                                                                                                      Je suis mariée à Alain BARRACUDA"|"Je suis à toi pour toute ma vie 
                                         Je t’ai donné cœur tout entier 
                                         Annulaire na nga ya loboko ya mouassi elati couronne pour l’éternité 
                                         Palata ya wolo je suis occupé, je suis marié Alain BARRACUDA"
2|"Te regarder sans te toucher c’est ca mon problème 
                                                                                                      Te regarder sans te sentir c’est ca mon souci Alain BARRACUDA"|"Te regarde sans te toucher c’est ca mon problème 
                                         Te regarder sans te sentir c’est ca mon souci Alain BARRACUDA"
3|"Mes oreilles chou réclament ta voix
                                                                                                      Un bon matin, mes oreilles ce sont bouchées
                                                                                                      Je suis allé prier, le pasteur m’a dit que je n’étendrai  plus chéri 
                                                                                                      Tant que tu ne reviendras pas me faire le rituel traditionnel et me dire ce qui suit :"|"Mes oreilles chou réclament ta voix
                                         Un bon matin, ma toyi ma nga bouché 
                                         Na key na prière pasteur a lobi que na ko yoka lisusu te Chéri
                                         Tant que yo oko zonga te ossala rituel traditionnel o loba na nga ce qui suit"
4|"Ton sourire est une lumière, le soleil de mon cœur 
                                                                                                      T’es un saphir sur le cou de la mère Reine  Alain BARRACUDA"|"Sourire  na yo eza lumière soleil de mon cœur 
                                         Ozali saphir na kingo ya keen mother Alain BARRACUDA "
5|"Mon nez souffre de la sinusite
                                                                                                      Dans mon frigo, les médicaments et les provisions  
                                                                                                      Commencent a se quereller parce que les médicaments sont plus nombreux que les provisions
                                                                                                      Ils se sont confiner et commence a se disputer une place 
                                                                                                      Les ordonnances on dirait le bureau d’Adam BOMBOLE"|"Zolo na nga ebeli sinusite dans mon frigo ba kissi ba provision
                                         Ekomi ko se quereller pamba te 
                                         Kissi kutu eleki provision na quantité
                                         Bakomi ko se confiné ba weli essika 
                                         Ba ordonnance on dirait bureau ya Adam BOMBOLE "
6|"Le médecin ma prescrit un seule médicament 
                                                                                                      Le  parfum de ton corps matin, midi, soir Alain BARRACUDA"|"Médecin a komeli nga kissi se moko (2x)
                                         Parfum ya nzoto nayo matin midi soir Alain BARAKUDA"
7|Dédicace …|Dédicaces …
8|Tu préfère que je souffre, pour que tu reviennes afin que je sois guéri|Tu préfères na souffrir bongo ozanga na bika
9|Le corbillard commence à sillonner dans mes pensées|Corbillard ekomi ko silloner na ba pensées na nga
10|"Reviens à moi Alain BARRACUDA 
                                                                                                      Reviens à moi chéri, je serai perdu
                                                                                                      Si tu me laisse toute seule isolé"|"Zongela Alain BARAKUDA 
                                         Reviens à moi chéri na ko wanzéee 
                                         Otika nga ngamoko isolé"
11|"Tes permissions de service
                                                                                                      Un certain con et les rivales vont en profiter 
                                                                                                      Laissez-moi mon bébé s’il vous plait"|"Ba permission na yo eh de service 
                                         Un certain con na ba banda bako profiteeee yeh yeh
                                         Bo tikela nga bébé na nga s’il vous plait"
12|"Si avant que tu sois revenu le destin décide que je meurs chéri
                                                                                                      Je te laisserai sur le lit, mon alliance a titre posthume"|"Soki avant yo ozonga destin e décidé 
                                         Na kufa na nga cherie 
                                         Na kotikela yo sur le lit alliance na nga a titre posthume"
13|Dédicace …|Dédicaces ...
14|"Mon lit est inondé de larmes 
                                                                                                      Ma chambre a lueur sans saveur 
                                                                                                      Mon cœur commence à marcher avec des béquilles, que c’est triste"|"Mbeto na nga inondé de larmes 
                                         Chambre na nga lueur sans saveur 
                                         Motema na nga ekomi ko tambola na ba béquillée maya ah"
15|"Comme un ange malade, j’ai plus de moyen de m’envoler pour te suivre BARRACUDA 
                                                                                                      Tous les envie de mon corps ont pris un coup de pluie, que c’est triste"|"Comme un ange malade moyen we na pibwa pour te suivre BARRACUDA 
                                         Ba posa na nga nioso ya nzoto enokoli mboula maya ah"
16|Refrain|Refrain
17|"Te regarde sans te toucher c’est ca mon problème (8x)
                                                                                                      Te regarder sans te sentir c’est ca mon souci Alain BARRACUDA 
                                                                                                      Dédicace …"|"Te regarde sans te toucher c’est ca mon problème (8x)
                                         Te regarder sans te sentir c’est ca mon souci Alain BARRACUDA 
                                         Dédicaces  …"
