|french|lingala
0|"Ah Stef
Je suis la, prend tout ce que tu veux pour toi 
Je suis la, prend tout"|"Ah Stef
Nga yoyo zua nioso tout pour toi 
Nga yoyo zua ah"
1|"2X
STEPHANIE, STEPHANIE, STEPHANIE, STEPHANIE"|"2X
STEPHANIE, STEPHANIE, STEPHANIE, STEPHANIE"
2|"Mes sentiments sont entrain de parler tout seul 
Mon amour parle, toutes les langues 
Dans mon cœur, t’as occupé une place, que personne n’a jamais occupée auparavant 
STEPHANIE, STEPHANIE"|"Bolingo na nga ezo loba yango moko eh
Bolingo na nga ezo loba minoko nioso eh 
Na motema na nga ozua esika oyo, nanu moto azua té
STEPHANIE, STEPHANIE"
3|"2X
STEPHANIE, STEPHANIE, STEPHANIE, STEPHANIE"|"2X
STEPHANIE, STEPHANIE, STEPHANIE, STEPHANIE"
4|"Mes sentiments sont entrain de parler en SWAHILI et MUNUKUTUBA
Mes sentiments sont entrain de parler tout seul 
Dans mon cœur, t’as occupé une place, que personne n’a jamais occupée auparavant 
STEPHANIE, STEPHANIE"|"Bolingo na nga ezo loba SWAHILI pe MUNUKUTUBA
Bolingo na nga ezo loba yango mosi eh 
Na motema na nga ozua esika oyo, nanu moto azua té
STEPHANIE, STEPHANIE"
5|Dans mon cœur|Na motema na nga
6|"Chœur :
Tu es"|"Chœur:
Oza"
7|Nuit et jour|Moyi mpe butu
8|"Chœur :
C’est toi"|"Chœur :
Se yo"
9|Prend moi, doucement|Zua ngaï doucement
10|"Chœur :
C’est bon"|"Chœur :
C’est bon"
11|Qu’ils insultent ou disent de médisances|Bafinga ba tongo
12|"Chœur :
C’est rien"|"Chœur :
Pamba"
13|Notre amour|Oyo ya nga na yo
14|"Chœur :
C’est bon"|"Chœur :
C’est bon"
15|"Notre amour c’est pour l’éternité
STEF, je t’attendrais jusqu’après l’heur où toute les horloges du monde, sonnèrent 
Je t’attendrais pour mourir 
Moi, je n’ai pas d’argent "|Oyo nga na yo seko eh
16|"Chœur :
Pas, pas, pas"|"STEF, je t’attendrais jusqu’après l’heur où toute les horloges du monde, sonnèrent 
Je t’attendrais pour mourir"
17|Moi, je n’ai pas de diamant|Munu ke munu na bongo ve
18|"Chœur :
Pas, pas, pas"|"Choeur:
Ve, ve, ve"
19|"Moi, je n’ai pas d’argent 
Moi, je n’ai pas d’argent"|Munu ke munu na diamant ve
20|"Chœur :
Pas d’argent"|"Choeur:
Ve, ve, ve"
21|Juste un peu de chance|"Munu ke munu na bongo te
Nga naza na bongo te"
22|"Chœur :
Peu de chance"|"Choeur:
Mbongo te eh"
23|Les plantations de sentiments|Kaka mwa ndambo ya nguéngué
24|"Chœur :
Sentiment"|"Choeur:
Mwa nguéngué"
25|Poussent, même quand il ne pleut pas|Na bilanga ya sentiment
26|Dans mon cœur|"Choeur:
Sentiment"
27|"Chœur :
Tu es"|Ekolaka ata mbula ebeti te
28|Nuit et jour|Na motema na nga
29|"Chœur :
C’est toi"|"Chœur:
Oza"
30|Prend moi, doucement|Moyi mpe butu
31|"Chœur :
C’est bon"|"Chœur :
Se yo"
32|Qu’ils insultent ou disent de médisances|Zua ngaï malembe
33|"Chœur :
C’est rien "|"Chœur :
C’est bon"
34|Notre amour|Bafinga ba tongo
35|"Chœur :
C’est bon "|"Chœur :
Pamba"
36|Ma STEPHANIE, toi-même tu sais|Oyo ya nga na yo
37|Moi, je n’ai pas d’argent|"Chœur :
C’est bon"
38|"Chœur :
Pas, pas, pas"|STEPHANIE na nga yomoko eyebi eh
39|"Moi, je n’ai pas de diamant 
Moi, je n’ai pas de jet privé (BOEING)"|Munu ke munu na bongo ve
40|"Chœur :
Pas de jet privé"|"Choeur:
Ve, ve, ve "
41|"Moi, je n’ai pas d’argent 
Moi, je n’ai pas d’argent"|"Munu ke munu na diamant te 
Munu ke munu na BOEING te"
42|"Chœur :
Pas d’argent"|"Chœur :
BOEING te eh"
43|Juste un peu de chance|"Munu ke munu na bongo te 
Nga naza na bongo te"
44|"Chœur :
Peu de chance"|"Chœur :
Bongo te eh"
45|Les plantations de sentiments|Kaka mwa ndambo ya nguéngué
46|"Chœur :
Sentiment"|"Choeur:
Mwa nguéngué"
47|Poussent, même quand il ne pleut pas|Na bilnga ya sentiment
48|Mes pensées, sont pour toi|"Choeur:
Sentiment"
49|Dans mon cœur|"Ekolaka ata mbula ebeti te 
Oyo ya nga mabanzo eza yo"
50|"Chœur :
Tu es"|Na motema na nga
51|Nuit et jour|"Choeur:
Oza "
52|"Chœur :
C’est toi"|Moyi pe butu
53|Prend moi, doucement|"Chœur :
Se yo"
54|"Chœur :
C’est bon"|Zua nga malembement
55|Qu’ils insultent ou disent de médisances|"Chœur :
C’est bon"
56|"Chœur :
C’est rien"|Bafinga, batongo
57|Notre amour|"Chœur :
Pamba"
58|"Chœur :
C’est bon"|Oyo ya nga na yo eh
59|"STEF, toi-même tu sais, façonne moi 
Ne me libère pas, si non BONGANYA viendra encore dire que 
Toi-même tu sais
Ces nuits, sont aussi devenues courtes 
MESLIAN, je ne veux pas de problème, je ne veux pas de problème"|"Chœur :
C’est bon"
