|french|lingala
0|"Il n'existe pas de petit mariage
Reste apaisé, mon CONSTANT à moi
Cette chose que l' appelle l'amour
Il faut avoir de la patience pour en manger le fruit
Le mauvais vent est passé par là
Et a déraciné mes espoirs
Tous les rendez-vous manqués
LOMATA, je commence à avoir peur"|"Libala ya moké ezalaka te oh 
Kitisa motema CONSTANT à moi eeh  
Eloko oyo kombo bolingo oh  
Zala na patience bongo olya mbuma  
Mopépé mabé eleki eh  
Epikoli espoir na nga eeh  
Ba rendez-vous manqués  
LOMATA nakomi kobanga eeh"
1|La faute à la distance|Faute ya distance
2|Elle me pousse à avoir des doutes|Eko tinda nga masenginia eh
3|La faute à la distance|Faute ya distance
4|"Ma vie d'amour s’arrête avec toi
Viens me chercher"|"Vie d'amour na nga esuki epayi na yo  
yaka k'ozua n'o nga"
5|"Tu es mon excès qui ne  nuit pas
Tu as remplis mon cœur à en déborder
L'amour c'est une histoire de sentiment
Ne cherche pas à ce que le tien devienne synonyme de mort
L'aiguille de mon cœur commence à tourner
En sens inverse
A deux mètres de moi, c'est les cimetières
LOMATA, j'ai peur"|"Y'oza mon excès qui ne nuis pas 
Y'otonda nga motema meke eeh  
Love eza eloko ya sentiment  
Kolinga te ya yo ekoma synonyme ya mort  
Ainguille ya motema ekomi kozonga  
Na ah sens inverse aah eeh  
A deux mètres na nga cimetière  
LOMATA nakomi kobanga ooh"
6|De mourir jeune|Na kufa bolengé
7|Est-ce que je finirais même par avoir le repos éternel|Est-ce que na kozu'ata mpe kimia ya seko
8|De mourir jeune|Na kufa na bomouana
9|Ma vie d'amour s’arrête avec toi|Vie d'amour na nga esuki epayi na yo ooh
10|"Maman aah leh maman le le le le  leh
Maman aah leh maman le le le le  leh"|"Mama aah leh mama le le le le  leh 
Mama aah leh mama le le le le  leh"
11|Notre amour était sans tâche|Bolingo ezalaki ya propre
12|"Rien n'est aussi beau que le vrai
Dorloter l'autre quand il était fâché
On se partageait les fautes
Tu étais quelqu'un de bien
Ouh ouh ouh ouh ouh   
Ouh ouh ouh ouh ouh"|"Rien n'est beau que le vrai  
Ko bondela moninga soki asiliki  
To se partagea ki ba fautes  
Ozalaki mouana malamu ooh ouh  
Ouh ouh ouh ouh ouh    
Ouh ouh ouh ouh ouh"
13|"CONSTANT ne me tourne pas le dos
Accueille moi, les bras ouverts"|"CONSTANT kopesa nga mokongo te eh  
Yamba ngaï bras ouverts"
14|"Je t'aimais, je t'aime, et je t'aimerais toujours
RACHEL MATEUS le sourire à DODO
Ne nous faisons pas du mal
Eeh eeh eeh
Eeh eeh eeh"|"Na langa yo, na lingi yo, na kolinga yo kaka  
RACHEL MATEUS sourire ya DODO  
To salanaka mabé te eeh  
Eeh eeh eeh  
Eeh eeh eeh"
15|"Notre maison est un nid d'amour
Qui commence à suinter le jour d'anniversaire"|"Ndako na biso nid d'amour   
Ekoma kotanga jour d'anniversaire"
16|Ramène la casserole dans laquelle ta maman stérilisait tes biberons|Omema nzungu oyo mama abandaki kotokisa biberon na yo ya bomouana
17|Mettons-le en dessous des suintements|To tia nasé ya matanga aah
18|Afin de préserver notre amour|To preserver eeh amour na biso ooh
19|RERAIN|Yebo yebo ooh MBUTA DI MBUTA HENRI papa
20|La chair de ma chair je t'aime|RERAIN
21|Même si tu me rejettes, je te suivrais toujours CONSTANT LOMATA|Chair de ma chair na lela yo eeh
22|La chair de ma chair je t'aime|Ata y'oko boya na ko landa yo kaka yo CONSTANT  LOMATA eh
23|Qu'ils en parlent, qu'ils insultent, qu'ils disent des médisances, c'est rien, nous deux c'est jusqu'à la mort|Chair de ma chair na lova yo eeh
24|La chair de ma chair je t'aime|Baloba, bafinga, batonga pamba, nga na yo se liwa oh
25|Dédicace  …|Chair de ma chair na lela yo eeh
26|La chair de ma chair je t'aime|Dédicace …
27|"
Est que le taux de leur amour soit de 100 %"|Chair de ma chair na lela yo eeh
28|La chair de ma chair je t'aime|"Souhait na bango 
Taux ya bolingo ezala 100 %"
