|french|lingala
0|"Intro :
Pffff cava, il me saoule ce mec il me saoule
Pffff franchement, oh la la"|"Intro :
Pffff cava, il me saoule ce mec il me saoule
Pffff franchement, oh la la"
1|"Fally :
Pourquoi cela n’arrive qu’à moi
Le malheur n’arrive qu’à moi
Elle a transféré mes appels vers un numéro que je ne connais pas, quand j’appelle je tombe sur un chinois
Quand je dis allô bonjour, il me répond allô hi hon 
Qu’est-ce qu’on va se dire, cela me fait mal au cœur 
La personne dont hier tu appelais papa, aujourd’hui c’est : regarde ce monsieur
La personne dont hier tu appelais maman, aujourd’hui c’est : regarde cette femme"|"Fally :
Pona nini kaka ngayo ngayo ngayo ngayo
Malheur kaka ngayo ngayo ngayo ngayo
A transféra b’appels na nga na numéro moko nayebi te soki na bengi nazuaka chinois moko
Soki nalobi allô bonjour, a zongilesaka allô Hi hon 
Mot’oko solola nani motema pasi eh 
Mot’ozalaki obenga papa, lelo papa abongwani akomi tala tonton oyo 
Mot’ozalaki obenga mama, lelo mama abongwani akomi vraiment tala petite oyo, mawa mama ah"
2|"Refrain :
Être sorcière n’est pas synonyme d’avoir des cornes sur la tête 
Car dans la forêt les animaux aussi ont des cornes 
Mais c’est d’être synonyme celui qui cherche à causer la mort de l’autre
La sorcière de ma vie c’est toi chérie"|"Refrain :
Ndoki eza kaka synonyme ya maseke na moto te oh 
Po na zamba baniama pe b’aza nango na moto 
Kasi ezali synonyme ya oyo azo lukela moninga liwa 
Ndoki ya vie nanga eza yo chérie eh"
3|"Fally :
La sorcière de ma vie c’est toi chérie"|"Fally :
Ndoki ya vie nanga eza yo chérie eh"
4|"Chœur : 
La sorcière de ma vie c’est toi chérie"|"Chœur :
Ndoki ya vie nanga eza yo chérie eh"
5|"Fally :
Mon cœur clignote en direction de  ma tombe, car toi la conductrice de ma vie tu m’as abandonné 
Les soucis ont pris le contrôle de mon corps
Ils ont vendu les parties de mon corps par ci, par là 
Là où tu m’avais laissé au bord de la route
Que des personnes qui ont de la compassion me trouvent
Peut être qu’ils vont réviser ce cœur 
Ce cœur que t’as brisé, et qui s’est mis à fumer
A cause des chocs causés par toi chérie"|"Fally :
Motema ekomi clignoté direction ya lilita, po yo conducteur ya vie nanga olembi nga 
Soucis mokonzi, arbitre ya nzoto ya moto 
A teki nga partie, par ci, par là 
Na place otika nga ata na nzela eh 
Bato ya mawa bayiba ata ko yiba ah
Peut-être bako reviser motema oyo 
Osalela mabé yango ekoma ko fumé yeyeh 
Pona ba choc ya genre nayo chérie"
6|"Chœur :
La sorcière de ma vie c’est toi chérie"|"Chœur :
Ndoki ya vie nanga eza yo chérie eh
Fally :
Botika ngayi na lela nangayi eh 
Peut-être ye ako yoka mawa ako zonga 
Po place naza pongi ebo kokoma
Nazui sort VERMOX esalaka b’ASCARIS pe b’AMIBES
Amour no ekati nga mike mike 
Osambwisi nga lekola makila n’etumba ya ba SAMOURAIS ya b’épée 
Ndenge TETRA ekanga libumu, nde ndenge y’okoki ko kanga ba larmes na nga 
Mais otiki nga ba pleurs ba larmes bébé eh
Chœur :
Ndoki ya vie nanga eza yo chérie eh
Fally :
Mawa ah yoyo yo 
Mawa yo pesi nga ezo envier, mawa ya moto akufeli papa lundi, mercredi soir akufeli mama ko kamwa eh
Santé na nga ya mile giga ya soucis ngo, ekomisi yango treize mega ya souffrance eh
Refrain :
Ndoki eza kaka synonyme ya maseke na moto te oh 
Po na zamba baniama pe b’aza nango na moto 
Kasi ezali synonyme ya oyo azo lukela moninga liwa 
Ndoki ya vie nanga eza yo chérie eh
Fally :
Reviens yo yo yo sort na nga eh
Chœur :
Ndoki ya vie nanga eza yo chérie eh
Fally :
Docteur tik’okosa mama ke nakobika eh, oyebi bien naza mourant d’ici là 
Ordonnance ozo komela ye, soki azongi akuti nakufi eh 
Pharmacien oko zongisa mbongo te
Mbongo ekoki kosunga bango ata na sukali
Choeur:
Ya matanga nanga au lieu ba cotisé
Fally :
Lokumu ya famille na nga ah, mawa eh
Pasteur tik’okosa FALLY que nakobika eh, oyebi esprit de mort naza nayango
Ewuti naba démon te yangani, mais ewuti na absence ya chérie po atiki ngayi
Il suffit bo benga NANA ay’awa eh, une minute ezali ebele nako bika eh 
Nako bina pour vous prouver que eza ye eh 
Botika ko accuser ba démons yangani eh
Refrain :
Ndoki eza kaka synonyme ya maseke na moto te oh 
Po na zamba baniama pe b’aza nango na moto 
Kasi ezali synonyme ya oyo azo lukela moninga liwa 
Ndoki ya vie nanga eza yo chérie eh
Fally :
Ndoki ya vie nanga eza yo chérie eh
Choeur :
Ndoki ya vie nanga eza yo chérie eh
Fally :
Metema nanga zwa chérie eh
Choeur :
Ndoki ya vie nanga eza yo chérie eh
Fally :
Ndoki ya vie nanga eza yo chérie eh
Choeur 3x :
Ndoki ya vie nanga eza yo chérie eh
Refrain :
Ndoki eza kaka synonyme ya maseke na moto te oh
Po na zamba baniama pe b’aza nango na moto
Kasi ezali synonyme ya oyo azo lukela moninga liwa
Ndoki ya vie nanga eza yo chérie eh
Fally :
Ndoki ya vie nanga eza yo mama eh
Refrain :
Ndoki eza kaka synonyme ya maseke na moto te oh 
Po na zamba baniama pe b’aza nango na moto 
Kasi ezali synonyme ya oyo azo lukela moninga liwa 
Ndoki ya vie nanga eza yo chérie eh
Fally :
Ndoki ya vie nanga eza yo chérie eh
"
7|"Fally :
Laissez-moi pleurer
Peut être qu’elle aura pitié et qu’elle reviendra 
Car là ou j’en suis, je ne dors plus 
J’ai subi le sort que cause le VERMOX aux ASCARIS et aux AMIBES
Ton amour m’a coupé en lambeaux
Tu m’as saigné comme dans les combats des SAMOURAIS avec leurs épées
De la façon dont le TETRA arrête les maux de ventre, de la même façon tu peux sécher mes larmes    
Mais tu as préféré me laisser en pleurs, en larmes bébé"|"Fally :
Botika ngayi na lela nangayi eh 
Peut-être ye ako yoka mawa ako zonga 
Po place naza pongi ebo kokoma
Nazui sort VERMOX esalaka b’ASCARIS pe b’AMIBES
Amour no ekati nga mike mike 
Osambwisi nga lekola makila n’etumba ya ba SAMOURAIS ya b’épée 
Ndenge TETRA ekanga libumu, nde ndenge y’okoki ko kanga ba larmes na nga 
Mais otiki nga ba pleurs ba larmes bébé eh"
8|"Chœur :
La sorcière de ma vie c’est toi chérie"|"Chœur :
Ndoki ya vie nanga eza yo chérie eh"
9|"Fally :
Ma tristesse
La  tristesse que tu m’as causé, est la même que celle d’une personne qui aurait perdu son papa lundi, et qui mercredi soir apprend la mort de sa maman
Ma santé de mille gigas de soucis, tu l’as transformé en treize mégas de souffrance"|"Fally :
Mawa ah yoyo yo 
Mawa yo pesi nga ezo envier, mawa ya moto akufeli papa lundi, mercredi soir akufeli mama ko kamwa eh
Santé na nga ya mile giga ya soucis ngo, ekomisi yango treize mega ya souffrance eh"
