|french|lingala
0|"Tu dors ?
Ne pas dors pas 
Mais tu disais 
Nous y sommes"|"O lali ?
Ko lala te ko 
Kasi olobaki ti … hein ?
Makambo yango ya ngoyo te"
1|"Prend ne serait-ce les nouvelles de l’autre
Viens aux nouvelles du bien aimé 
Celui que nous appelions bébé 
Tu lui avais donné l'ordre de se livrer à toi 
Tu lui avais promis le ciel 
Tu lui avais promis la lune 
Il ne survivrait pas 
Si tu refuses de lui pardonner
Il ira nul part FLORA BELLA
C'est toi qui a colonisé son cœur 
Que ferait-il "|"Tunak'ata tsango moninga eh 
Tunak'ata sango ya bien aimé 
Oyo t'ozalaki obenga bébé eh 
Yomoko olobaki na yé a mi pesa no 
Yomoko prometaki ye le ciel 
Yomoko o lakaki ye la lune 
Ako bika te oh oh 
Soki obo ko pardonner ye
Ako suka wapi eh FLORA BELLA
Yo moto o coloniza motema na yé 
Ako sala nini eh eh "
2|"REFRAIN
L'amour tue 
Les loves tuent 
L'amour tue 
L'amour se transforme quelques fois en assassin
Et laisse des séquelles éternelles"|"REFRAIN
Amour ebomaka 
Love ebomaka
Amour ebomaka
Love ebongwanaka quelques fois assassin 
Etikaka ba séquelles éternelles"
3|"Humm huuuu huuuu 
Entends les pleurs de l’autre 
Entends le SOS de ton chéri
Réfléchi un tout petit peu BELLA  
Regarde au rétroviseur
La graine d'amour qui tu avais semé
Dans mon cœur a déjà poussé 
Ne cherche pas à ce que la semence de ton amour 
Ne se transforme en acide 
Que ferait-il 
Si tu refuses de lui pardonner
Mon appel de détresse
FLORA si tu fais la sourde d'oreille 
Tu aurais gâché ma vie pour toujours BELLA "|"Humm huuuu huuuu 
Yoka elelo ya moninga eh 
Yoka SOS ya chéri 
Bendaka pe moké film BELLA 
Talaka pe ata rétroviseur
Mbuma ya bolingo oyo olonaki 
Na motema ya mwana ya moninga eboti 
Kolinga te semence y'amour na yo
Eya kobongwana acide 
Ako suka wapi oh ooh oh
Soki obo ko pardonner ye eh 
Appel na ngaї ya au secours 
FLORA soki obo no koyoka eh 
Yo bebisi vie nga libela BELLA "
4|"REFRAIN
L'amour tue 
Les loves tuent 
L'amour tue 
L'amour se transforme quelques fois en assassin"|"REFRAIN
Amour ebomaka 
Love ebomaka
Amour ebomaka
Love ebongwanaka quelques fois assassin "
5|"EKATSHAKA
Ma mémoire fonctionne toujours"|"EKATSHAKA hein 
Nga mémoire ezo sala kaka hein "
6|"Toi seule avait commencé 
Puis toi seule as pu vaincre 
Les sentiments enfouis en moi 
C'est rien, c'est rien ce n'est rien
Santa LEA, FLORA BELA "|"Yomoko moto bandaki 
Pe yomoko moto oyé kosukisa nga 
Lipate elali epayi na nga 
Eza rien, c'est rien ce n'est rien
Santa LEA, FLORA BELA "
7|"L'amour tu étais venu vers moi avec des yeux larmoyants
L'amour tu étais venu vers moi timidement
Maintenant que tu m'as tué, tu emportes mes ailes 
Tu as oublié les joies et les souffrances qu'on a vécu
Tu as gardé mes défauts dans ton cœur 
Mes qualités tu les a enlevés de ton cœur 
Même une heure avant ma mort tu t'en souviendras
De mon nom RAMBO 
Le papa de ROCKY, le papa de MINOU miss univers "|"Bolingo oyaki epayi na nga miso mayi mayi eh 
Amour oyaki epayi na nga miso soni soni eh 
Awa ko osi obomi nga  okeyi na mapapu  eh 
Y'obosani bisengo na ba mpasi tomona 
Mabe na nga okoni na motema na yo eh 
Bolamu na nga opikoli na kati ya motema a 
Ata une heure avant liwa na nga oko se souvenir 
Na kombo na nga RAMBO 
Papa na ROCKY, papa na MINOU miss univers "
8|"On ne mélange pas le jus de de la canne à sucre avec le thé 
Le sucre c'est le sucre 
C'est un match à trois points "|"Ba sangisaka mayi ya coco na tea te 
Sucre eza kaka sucre 
Match eza ya trois point "
9|"Je suis entrain de pleurer, pleurer, l'amour s'en est allé où ?
Je pleurs, je pleurs, l'amour s'en est allé où ?"|"Naza  kolela kolela kolela bolingo eke wapi ?
Nakomi kolela kolela kolela bolingo eke wapi eh ?"
10|La réalité ce n'est pas de la fiction |Réalité eza trucage te 
11|"Toi seule avais commencé 
Puis toi seule as pu vaincre 
Les sentiments enfouis en moi 
C'est rien, c'est rien ce n'est rien
Santa LEA, FLORA BELA "|"Yomoko moto bandaki 
Pe yomoko moto oyé kosukisa nga 
Lipate elali epayi na nga 
Eza rien, c'est rien ce n'est rien
Santa LEA, FLORA BELA "
12|"L'amour tu étais venue vers moi timidement
L'amour tu étais venue vers moi avec des yeux larmoyants
Maintenant que tu m'as tué, tu emportes mes ailes 
Tu as oublié les joies et les souffrances qu'on a vécu
Tu as gardé mes défauts dans ton cœur 
Mes qualités tu les a enlevés de ton cœur 
Même une heure avant ma mort tu t'en souviendras
De mon nom RAMBO 
Le papa de ROCKY, le papa de MINOU miss univers 
MINOU, ELVIS, ROCKY 
DJOLA [Tu dors ?] DJOLA [Ne dors pas déjà ]"|"Bolingo oyaki epayi na nga miso soni soni eh 
Amour oyaki epayi na nga miso mayi mayi eh 
Awa ko osi obomi nga  okeyi na mapapu  eh 
Y'obosani bisengo na ba mpasi tomona 
Mabe na nga okoni na motema na yo eh 
Bolamu na nga opikoli na kati ya motema a 
Ata une heure avant liwa na nga oko se souvenir 
Na kombo na nga RAMBO 
Papa na ROCKY, papa na MINOU miss univers 
MINOU, ELVIS, ROCKY oooh
DJOLA [Olali ?] DJOLA [Ko lala te ko ]"
13|"Je suis entrain de pleurer, pleurer, l'amour s'en est allé où ?
Je pleurs, je pleurs, l'amour s'en est allé où ?"|"Naza  kolela kolela kolela bolingo eke wapi 
Nakomi kolela kolela kolela amour eke wapi eh "
