|french|lingala
0|"
																								 Voici ma chanson 
                                                                                                 Une chanson triste  
																								 Que je te chante pour que tu sache combien je suis blaisé Emilie"|"Oyo ya nga nzemboo 
                                                    Nzemboo ya mawaa 
													na yembeli yo o yeba e ndegué ne zoki Emilie eh"
1|"Le cœur d’une personne Emilie 
                                                                                                 Le témoin de sa souffrance  
                                                                                                 Le miens aujourd’hui porte la tristesse a cause de toi"|" Ah motema ya moto Emilie hey  
                                                    Témoin ya pasi na yé 
                                                    Oyo nga lelo mo lati mawa pona yo"
2|"Demande ne serai-ce les nouvelles de ma santé  
                                                                                                 On te dira comment j’ai maigri Emilie"|"Tuna ata nsangoo oh ya santé na nga  
                                                    Ba yebisa yo motsindo na nkodi Emilie hey"
3|"Voici ma chanson 
                                                                                                 Une chanson triste  
																								 que je te chante pour que tu sache combien je suis blaisé Emilie"|"Oyo ya nga nzemboo  
                                                    Nzemboo ya mawaa 
													na yembeli yo o yeba e ndegué ne zoki Emilie eh"
4|"Le cœur d’une personne Emilie 
                                                                                                 Le témoin de sa souffrance  
                                                                                                 Le miens aujourd’hui porte la tristesse a cause de toi"|"Motema ya moto  
                                                    Temoin ya passi na yé 
                                                    Oyo ya nga lelo mo lati mawa pona yoo o"
5|"Demande ne serai-ce les nouvelles de ma santé  
                                                                                                 On te dira comment j’ai maigri Emilie"|"Tuna ata nsangoo oh ya santé na nga  
                                                    Ba yebisa yo motsindo na nkodi emilie hey"
6|"Ton amour est plus fort que moi Emilie 
                                                                                                 Même la tempête ou que les vagues ne pourront jamais  
                                                                                                 L’arracher de mon cœur Emilie"|"Bolingo na yo est plus fort que moi Emilie  
                                                    Ata tempête to mbogué e ko longa té  
                                                    Ko pikola ya ngo na motema na nga Emilie heee"
7|"J’ai soldé mon cœur que pour toi  
                                                                                                 Je t’aime comme un enfant aime sa maman  
                                                                                                 Fais un signe pour que je voie le paradis Emilie"|"Na soldé motema na ngai se po na yo  
                                                    Na lingui yo lokola mwana a lingaka mama na yé 
                                                    Sala mwa signe na mona paradis Emilie he"
8|"T’as conquise tout mon cœur  
                                                                                                 Ne pas t’avoir est vraiment une punition"|"O longa motema na ngai nioso tout  
                                                    Ko zanga yooo oh e zali punition vraiment"
9|"Viens me voir ne serai-ce qu’une fois par mois 
                                                                                                 Pour que j’ai l’espoir dans la vie"|"Yaka ko tala nga ata mbala moko na sanza mokoo  
                                                    na zala na espoir na vie "
10|"Demande ne serai-ce les nouvelles de ma santé  
                                                                                                 On te dira comment j’ai maigri Emilie"|"Tuna ata nsangoo oh ya santé na nga  
                                                    Ba yebisa yo motsindo na nkodi Emilie hey"
11|"Mon cœur est mouillé de larmes 
                                                                                                 Mais personne ne vois ces larmes Emilie 
                                                                                                 La souffrance du cœur l’œil ne le voit jamais"|"Motema mwa nga ekomi mouillé na larmes  
                                                    Kasi moto té a ko mona pinzoli ya ngo emilie  
                                                    Pasi ya motema miso e ko mona téeh heyyy"
12|"Je commence à manquer de maitrise a cause de toi  
                                                                                                 Tu as dérégler ma façon de pensée ô ma chère  
                                                                                                 Ma survie est entre tes mains"|"Na komi ko sila maitrise se pona yo  
                                                    O dereglé façon na nga ya ko kanisa o ma chère 
                                                    Lobiko na nga eza na maboko ma yo"
13|Milie Emilie 4x|Milie emilie 4x   
