|french|lingala
0|" Chœur :
Toc, toc, toc"|"Chœur :  
Ko ko ko o koko koko o o o o o"
1|"KOFFI :
Le QUARTIER LATIN
C’est une histoire de Dieu avec ses enfants 
MOPAO lettre A 
FALLY IPUPA DI CAPRIO LA MERVEILLE"|"KOFFI :  
E EH QUARTIER LATIN 
E ZA BONGO MAKAMBO YA NZAMBE NA BANA NA YE E E  
MOPAO LETTRE  A  
FALLY IPUPA DI CAPRIO LA MERVEILLE"
2|"FALLY: 
Toc, toc, toc ouvre moi la maison, pour que je m’abrite 
Toc, toc, toc ouvre moi la maison, pour que je m’abrite 
Dehors, les éléphants, les panthères se battent 
De l’autres coté, ils sont nombreux, les métisses, puis les noirs
Et pas n’importe quels noirs, il s’agit des vrais noirs 
Moi la créature de Dieu, sur laquelle il a vraiment passé du temps 
Qui pourra me récupérer, pour me donner le dernier sacrement 
Qui pourra me récupérer, même pour moins cher 
Le seul JAMES que j’ai, les autres me le convoitent 
Oh mon Dieu, l’amour commence à ouvrir les veines de mon cœur et de ma jeunesse"|"FALLY:  
Ko ko ko ko ko ko o o fungola a ndako nga na batama   
Ko ko ko ko ko ko ko fungola ndako po nga na  batama  
Awa libanda  ba nzoko ba n'koyi  bazo  mekana  
Bipay'oyo kuna  ba tondi meke ya ba mitiola pe bayindo   
Moyindo m'pe ya m'pamba pamba te obe muindo oyo ya ngolo   
ngayi  ekelamo ya Nzambe oyo alekela vraiment tango   
Nani alokota nga  yoyoyo  y' apesa ng'ata lipati ya suka  
Nani alokota nga  yoyoyo ata  na moins cher  
Obe moko oy'a nga JAMES baninga ba tieli nga ye miso  
Ho Nzambe na nga  bolingo ekomi okata mosisa oyo ya motema na ngayi eh 
oyo ya bomuana boye eh"
3|"Chœur : 
Toc, toc, toc"|"Chœur:   
Ko ko ko o koko koko o o o o o"
4|"FALLY:
La déception d’amour, commence à me poussé à faire n’importe quoi 
Je préfère encore aller, loué une place au cimetière"|"FALLY:  
Deception ya bolingo ekomi ko tinda nga na ba n'importe quoi  
Na preferer na a kende ko koma na nga mofuteli ata na lilita"
5|"Chœur :
Tout ca, pour fuir cet amour intermittent"|"Chœur:   
Nioso  po na kima ata l'amour ya ekukuma boye eh ngayi eh zero zero sept e e e"
6|"FALLY :
Pour quoi l’amour me traite, comme on traite l’eau qui nettoie les vêtements 
Même si je le rends éclatant, on fini toujours par se débarrasser de moi
Même si je fais le têtu, et que je m’accroche au vêtement jusque sur le sèche-linge 
Ils font appelle au soleil, tout ca pour  m’évaporer 
Même si je fais le gros dos, et je vais jusque dans la maison 
Ils font appelle au fer à repasser, PITCHOU KANI BLAISE KANI m’avaient pourtant prévenu"|"FALLY:  
Ponini bolingo ekomisi Di Caprio lokola mayi oyo esukolaka elamba  
Ata na telisi ye  kombo na nga se ko buakama o 
Atako na tie moto makasi na landa elamba ti na singa  
Ba sengeli nga moyi  nioso wana poba kawusa ngaï yeh  
Atako na tié gros dos na kota na ye ti na  ndako  
Ba defeli nga felo PITCHOU KANI BLAISE KANI mawa olobaka na nga ah"
7|"Soit forte la maman de DIDI STONE 
Arrête la jalousie, tu es la seule dans le cœur de MOPAO le roi 
[Chœur :
Toc, toc, toc]
JAMES, tu m’amené dans le pays de sentiments, et pourtant tu me forme encore la porte"|"Kanga motema eh hoo mama DIDI STONE  
Tika ba zuwa mama eh  y'ozali se  yo  moko  na motema MOPAO Mokonzi
[Chœur : Ko ko ko o koko koko o o o o o ] 

JAMES okomisi nga na  mboka ya sentiment okomi okangela nga lisusu porte he"
8|"KOFFI :
L’amour veut que les sentiments soient vrais 
Le mal que tu m’as fait même SATAN n’est pas content 
Je pensais que tu étais un adolescent pour que je te montre le chemin alors que tu étais expérimenté 
Je t’ai proposé la viande, tu as préféré les os"|"KOFFI :  
Bolingo ebongaka to lingana  na bolingo  ya solo   
Mabe oy’osali nga ah ata SATAN azo  sepela te  
Na banzaki ozali muana moke na lakisa yo nzela nzoka okuba ah  
Na pesa yo mosuni olingi mokuwa"
9|"Chœur: 
Toc, toc, toc"|"Chœur :   
Ko ko ko o koko koko o o o o o"
