|french|lingala
0|"Un jour peut être je penserais à toi  
                                                                                                    Un jour peut être la colère passera 
                                                                                                     Et je reviendrais pour discuter, mais pas aujourd'hui"|"Mokolo mosusu nga nakokanisa yo 
                                      Mokolo mosusu kanda ekosila  
                                      Mbeh nakozonga tosamba, kasi lelo te eh eh ein..."
1|"Un jour je penserai à toi 
                                                                                                     Un jour la colère passera 
                                                                                                     Et je reviendrais pour en discuter, mais pas aujourd'hui"|"Mokolo mosusu nga nakokanisa yo  
                                      Mokolo mosusu kanda ekosila  
                                      Mbeh nakozonga tosamba, kasi lelo te eh eh ein..."
2|"Tu me disais que c’était mon beau frère 
                                                                                                     Tu me l’avais présenté, il s’appelait Kajare 
                                                                                                     J'accueillais un serpent dans ma maison avec affection 
                                                                                                     Je lui achetai même la boisson, pour boire  
                                                                                                     Je lui payais même les taxis afin qu’il rentre 
                                                                                                     C’était sans savoir que je donnai mon argent à mon rival  
                                                                                                     C’était sans savoir que je me couvrais de merde  
                                                                                                      Je suis fini de chez fini le rival à jouer avec mon esprit"|"Olobaka na ngai wana semeki na nga 
                                      O présentaki ye kombo na ye kajare oh  
                                      Na yambaka ngouma na ndako na ngai na boboto  
                                      Nasombelaka ye kutu masanga amela  
                                      Nafutelaka ye pe ba taxis akende  
                                      Nakoyeba te eh nakokabela mbanda mbongo  
                                      Ngai nakoyeba te eh nakomipakola botutu  
                                      Nasambwe kokosambwa, mbanda asakani na molimo na ngai yo yo oh oh"
3|"Moi et toi avec mon rival entrain de manger a table  
                                                                                                     Moi et toi avec mon rival chez le grand frère  Kabalo à Lemba 
                                                                                                     Moi et toi avec mon rival au concert de  Méli-mélo 
                                                                                                     Moi et toi avec mon rival dans tous les endroits de distraction 
                                                                                                     Mon amie tu es vraiment une sorcière"|"Ngai na yo na mbanda na mesa tokoliya  
                                      Ngai na yo na mbanda epayi ya ""Ya' Kabalo"" na Lemba  
                                      Ngai na yo na mbanda na concert ya ""Meli-Melo""  
                                      Ngai na yo na mbanda bisika nionso ya lisano  
                                      Amie na ngai, y'ozali solo ndoki ye ye eh"
4|"Un jour je penserai à toi 
                                                                                                     Un jour la colère passera 
                                                                                                     Et je reviendrais pour  discuter, mais pas aujourd'hui"|"Mokolo mosusu nga nakokanisa yo  
                                      Mokolo mosusu kanda ekosila  
                                      Mbeh nakozonga tosamba, kasi lelo te eh eh ein..."
5|"Tu me disais que c’était mon beau frère 
                                                                                                     Tu me l’avais présenté, il s’appelait Kajare 
                                                                                                     J'accueillais un serpent dans ma maison avec affection 
                                                                                                     Je lui achetai même la boisson, pour boire  
                                                                                                     Je lui payais même les taxis afin qu’il rentre 
                                                                                                     C’était sans savoir que je donnai mon argent à mon rival  
                                                                                                     C’était sans savoir que je me couvrais de merde  
                                                                                                      Je suis fini de chez fini le rival à jouer avec mon esprit"|"Olobaka na ngai wana semeki na nga 
                                      O présentaki ye kombo na ye kajare oh  
                                      Na yambaka ngouma na ndako na ngai na boboto  
                                      Nasombelaka ye kutu masanga amela  
                                      Nafutelaka ye pe ba taxis akende  
                                      Nakoyeba te eh nakokabela mbanda mbongo  
                                      Ngai nakoyeba te eh nakomipakola botutu  
                                      Nasambwe kokosambwa, mbanda asakani na molimo na ngai yo yo oh oh"
6|"Moi et toi avec mon rival entrain de manger a table  
                                                                                                     Moi et toi  avec mon rival chez le grand frère  Kabalo à Lemba 
                                                                                                     Moi et toi avec mon rival au concert de  Méli-mélo 
                                                                                                     Moi et toi avec mon rival dans tous les endroits de distraction 
                                                                                                     Mon amie  tu es vraiment une sorcière"|"Ngai na yo na mbanda na mesa tokoliya  
                                      Ngai na yo na mbanda epayi ya Ya' Kabalo na Lemba  
                                      Ngai na yo na mbanda na concert ya Meli-Melo  
                                      Ngai na yo na mbanda bisika nionso ya lisano  
                                      Amie na ngai, y'ozali solo ndoki ye ye eh"
7|"Aujourd'hui dans ton sac à main j'ai retrouvé  
                                                                                                     Ça c'est grave 
                                                                                                     La photo que vous aviez pris, ou il ta portai sur une chaise 
                                                                                                     La lettre qu'il ta écris commence par  Ida mon amour 
                                                                                                     Moi qui pensai être le seul à t’appeler par mon amour 
                                                                                                     Hors nous étions deux 
                                                                                                     Cela veut dire quoi petite ? 
                                                                                                     Cela veut dire quoi cher enfant"|"Lelo na sac à main na yo nakei kokuta  
                                      Oyo somo eh  
                                      Photo bokangisaki amemi yo na kiti  
                                      Mokanda akomeli yo ebandi na Ida mon amour  
                                      Nwana oyo nakanisaki ngai moko nabengaka yo mon amour 
                                      Nzoka toza' babale  
                                      Elakisi nini petite  
                                      Elakisi nini muan'oyo oh"
8|"Les mariages de Kinshasa, les mariages d’associés 
                                                                                                     Les nourritures que tu manges à la maison certaine proviennent de ton rival 
                                                                                                     Les enfants pour lesquels tu te préoccupe certains ne sont pas de toi 
                                                                                                     La belle famille que tu entretien, hors ce sont des complices 
                                                                                                     Moi je refuse un tel mariage 
                                                                                                     Laisse-moi mon aller"|"Oh mabala ya Kini mabala ya ba associés  
                                      Biloko o' kolia na ndako mosusu ewuti epayi ya mbanda  
                                      Bana y'okonyokwamela basusu ya yote  
                                      Ba semeki y'okolengela nzoka ba complices  
                                      Ngai naboyi libala' boye oh oh  
                                      Tika ngai nakende eh eh eh"
9|"Ne me supplie pas, je ne te pardonnerai pas, sèches tes larmes, les larmes de crocodile 
                                                                                                     Cela ne sert a rien de pleurer, car c’est de la comédie, quand t’as aimé Kajare, tu savais que tu en avais assez de moi"|"Kobondela ngai te, nakolimbisa yo te, longola mayi na miso, ba larmes de crocodile  
                                      Kolela na yo te, ezali nde comédie, tang'olingaki  Kajare, oyebaki que olembi ngai"
10|"Arrête de mentir 
                                                                                                     Arrête de mentir Tshibamba 
                                                                                                     Arrête de mentir Marie Kibonge 
                                                                                                     Arrête de mentir Mon kinshasa 
                                                                                                     Arrête de mentir Kazadi Wako 
                                                                                                     Arrête de mentir Bobo Bobosha 
                                                                                                     Arrête de mentir Simase Papa 
                                                                                                     Arrête de mentir Eric Tshela l'enfant de Paris 
                                                                                                     Arrête de mentir Alube Maloba 
                                                                                                     Arrête de mentir José Mataba 
                                                                                                     Arrête de mentir Jonico wa Tshomba 
                                                                                                     Arrête de mentir Les enfants de Lucerne 
                                                                                                     Arrête de mentir Wasitu a Dallas 
                                                                                                     Arrête de mentir Robert Kanza l'enfant de Paris 
                                                                                                     Arrête de mentir Kini Manieka"|"Tika kokosa, eh eh  
                                      Tika kokosa, Tshibamba eh  
                                      Tika kokosa, Marie Kibonge  
                                      Tika kokosa, Kini na ngai  
                                      Tika kokosa, Kazadi Wako eh  
                                      Tika kokosa, Bobo Bobosha  
                                      Tika kokosa, Simase Papa  
                                      Tika kokosa, Eric Tshela muana Paris  
                                      Tika kokosa Alube Maloba eh  
                                      Tika kokosa José Matata  
                                      Tika kokosa, Jonico wa Tshomba  
                                      Tika Kokosa , bana Lucerne oh  
                                      Tika kokosa , Wasitu na Dallas oh  
                                      Tika kokosa , Robert Kanza muana Paris  
                                      Tika kokosa, Kini Manieka ehhh  "
