|french|lingala
0|"Chœurs :
AYOLE, AYOLELI OH, AYOLE, AYOLE OH, AYOLELE"|"Chœurs :
AYOLE, AYOLELI OH, AYOLE, AYOLE OH, AYOLELE"
1|"Intro :
Nous sommes comme en enfer
C'est-à-dire dans un brasier mais on ne brûle pas 
Wake up, même le fer est léger"|"Intro :
Koffi :
Toza na système ya lifelo
Veux dire moto eko pela mais toza kodika te 
Wake up, ebende kutu eza pete"
2|"Koffi :
Si cela est vrai que tu as choisi de t’en aller sans me faire de promesses
Sache que BETTY, tu auras signé mon arrêt de mort
Je suis en ce moment déjà mort"|"Koffi :
Soki solo y’oponi okende, y’otika ngayi ata promesse te 
Yebaka BETTY obomi nga ee 
Naz’awa na si na we na ngayi déjà"
3|"On dorlote l’autre, s’il est couvert par les soucis et la tristesse 
Comment ça se fait que tu passes sans jeter un œil là ou je suis entrain de mourir tout seul"|"Ba kombodelaka moninga ee soki azingami souci na mawa 
Boni okomi oleka sans qu’obuaka ata liso epayi nga nazo wa ee tout seul"
4|"Pas par un couteau, ni par une arme à feu, je suis mort sans effusion de sang
Pas par une flèche, juste par amour
L’indifférence après l’amour tue"|"Na mbeli te na lisasi te, na we sans effusion de sang 
Likula te se bolingo 
L’indifférence après l’amour ebomaka"
5|"Le premier chapitre de cet amour 
Que des fleurs, que des serments d’amour 
Comment as-tu fais pour déjà arriver 
A la dernière page de ton histoire d’amour"|"Chapitre un ya bolingo yango 
Ba fololo ba serments d’amour
Osali ndege nini po déjà okoma
Na page ya suka ya histoire no d’amour"
6|"Pardon, la PANTHERE noire pardonne 
Ce n’est pas le moment pour me sacrifier 
Je ne sais pas que faire du mal 
Si tu me reviens, ça sera mieux demain"|"Pardon PANTHERE noire a pardonné 
Tango ekoki te o sacrafier ngayi 
Nayebi osala se mabe te
Soki ozongi ekozala bien ee demain"
7|"Ce n’est pas comme ça, ce n’est pas comme ça BETTY
Je refuse que tu agisses ainsi 
Sache que tu m’as tant promis 
Ne me laisse pas qu’avec des mauvais souvenirs 
Ne reprends pas l’amour que tu m’as donné 
Ne reprends pas l’esprit que Dieu a créé lui-même"|"C’est pas comme ça, c’est pas comme ça BETTY
Noboyi ondima osala boye 
Yeba y’olakaki ngayi ebele
Kotika nga te se na bilembo ya mabe oya mabe ee 
Kobotola te elok’oyo opesaki 
Kobotola te molim’oyo Nzabe akela a aye mei"
8|"Chœurs :
AYOLE, AYOLELI OH, AYOLE, AYOLE OH, AYOLELE"|"Chœurs :
AYOLE, AYOLELI OH, AYOLE, AYOLE OH, AYOLELE"
9|"Wemba :
Les morts, s’en vont et laissent des problèmes 
Il n’existe pas d’école où l’on apprend à aimer, à souffrir, à pardonner
Même quand l’autre te fait du mal
Repentir"|"Wemba :
Ba nka bokende botika ngambo
L’école eza te oyo ya koyekola ko aimer ko souffrir ko limbisa 
Mabe ya moninga ata Sali oyo ya ye 
Tubela"
10|"Koffi :
Pourquoi l’oiseau ne laisse t-il pas de traces dans le ciel 
Pourquoi le bateau ne laisse t-il non plus de traces dans l’eau 
BETTY PANTHERE noire pourquoi comment 
As-tu laissé une vilaine trace dans mon cœur"|"Koffi :
Ndeke pourquoi atikaka te elembo na likolo 
Masua pourquoi etikaka pe te elembo na kati y’ebale
BETTY PANTHERE noire pourquoi comment 
Y’otiki elembo na motema na nga ya mabe"
11|"Wemba :
Ton parfum, habille mon corps 
C’est devenu ma deuxième peau
Même si l’on me renversait un océan, ton parfum ne quitterait pas mon corps"|"Wemba :
Na nzoto malasi no likambo
Ekomi oyo nga mposo ya mibale 
Ata basopeli nga b’oceans mpimbo no eko tika te nzoto"
12|"Koffi :
BETTY KAMAKANDA tu es une ivresse éternelle
Dans mon cœur, la fleur d’amour 
Ses racines ont atteint l’esprit 
Loin des yeux 
Près du  cœur"|"Koffi :
BETTY KAMAKANDA y’oza kuiti ya libela 
Na motema fololo ya bolingo 
Misisa nango e touché esprit 
Eloko miso ezangi komona 
Nakati ye motema pamba pamba cinéma"
13|"Wemba :
Dieu pourquoi nous a-t-il crée ainsi 
Moi je t’aime, toi tu me repousses
Le fleuve n’a pas d’ossature, moi si je te perds je vais détester ma vie"|"Wemba :
Nzambe pourquoi asala nga na yo boye 
Nga nalingaka yo oboya 
Ebale ezanga mokuwa ngayi nazangi yo nayini vie na nga"
14|"Chœurs :
AYOLE, AYOLELI OH, AYOLE, AYOLE OH, AYOLELE"|"Chœurs :
AYOLE, AYOLELI OH, AYOLE, AYOLE OH, AYOLELE"
15|"Wemba :
Les morts, s’en vont et laissent des problèmes 
Il n’existe pas d’école où l’on apprend à aimer, à souffrir, à pardonner 
Même quand l’autre te fait du mal
Repentir"|"Wemba :
Ba nka bokende botika ngambo
L’école eza te oyo ya koyekola ko aimer ko souffrir ko limbisa 
Mabe ya moninga ata Sali oyo ya ye 
Repentir"
16|"Koffi :
Je dis non, je dis non BETTY
Tue moi si tu veux, mais ne me quitte pas 
L’amour que tu m’avais promis pour toujours
Ne me laisse pas perplexe éternellement
C’est mal, c’est mal 
Ne reprends pas l’amour que tu as donné 
Ne reprends pas l’amour que Dieu a créé lui-même"|"Koffi :
Nabo nanga nabo nanga BETTY
Boma nga kasi koboya nga te 
Amour olakaki nga pour toujours 
Koya kotika nga te kwiti eternel
Ya mabe oya mabe 
Kobotola elok’oyo pesaki 
Kobotola te bolingo Nzambe akela ye mei"
17|"Chœurs :
OYE
GRAND CHE"|"Chœurs :
OYE
GRAND CHE"
18|"Koffi :
Every body wake up
Dedicaces …"|"Koffi :
Every body wake up
Dedicaces …"
19|"Wemba :
Wake up jour et nuit 
Kinshasa wake up"|"Wemba :
Weke up tongo nsa 
Kinshasa wake up"
20|"Koffi :
Wake up, pour s’aimer vraiment 
Wake up, pour que l’amour s’envole, s’envole, parts 
Every body wake up
Let’s go dancing wake up
L’amour part en avant 
L’amour entre partout 
Let’s go dancing wake up"|"Koffi :
Wake up po to lingana vraiment
Wake up po bolingo emata emata ekende 
Every body wake up
Let’s go dancing wake up
Amour ekende avant 
Amour ekota partout 
Let’s go dancing weke up"
