|french|lingala
0|"REDDY
Je suis triste maman 
Je suis triste YVES MAKAMU 
Je pars maintenant, parce qu’ici il y a trop de souffrance
Qui pourra m’héberger
Je me suis habituée à la médisance 
Je pars à cause de la souffrance causée par la mort de cet amour"|"REDDY
Ngaï yo ngaï yo mawa mama ah ah 
Ngaï yo ngaï yo mawa YVES MAKAMU 
Tika lelo oyo na kenda mpo mpassi eleki awa 
Nani ako yambela nga 
Ngaï mot’oyo na mesani na matongi 
Nakeyi mpo mpassi bwalé bolingo esuki boyé"
1|"DINDO 
Non, non, non,
Je t’interdis de m’envoyer des paroles d’amour 
Je refuse, je refuse, je dis non 
Je t’avais donné mon cœur 
Tu m’as prise pour une soumise 
Aujourd’hui je retourne ma veste, MAKAMU tu te mets à pleurer 
YVES je men vais"|"DINDO 
Naboyi naboyi naboyi ih 
Naboyi otindelaka nga maloba ya bolingo oh 
Naboyi naboyi naboyi na nga 
Napesaki yo motema na ngaï nionso 
Yo monaki ngaï lekola Yuma na yo 
Lelo na baloli kazaka MAKAMU otikali kolela se kolela 
YVES na key mikeno na mikeno ooh"
2|"REDDY
Je suis triste maman 
Je suis triste YVES MAKAMU 
Je pars maintenant, parce qu’ici il y’a trop de souffrance
Nous sommes là tu m’as envahi 
Je me suis habituée à la médisance 
Je pars, à cause de la souffrance causée par la mort de cet amour"|"REDDY
Ngaï yo ngaï yo mawa mama ah ah 
Ngaï yo ngaï yo mawa YVES MAKAMU 
Tika lelo oyo na kenda mpo mpassi eleki awa 
Toye y’okotela nga 
Ngaï mot’oyo na mesani na matongi 
Nakeyi mpo mpassi bwalé bolingo esuki boyé"
3|"DINDO 
Sache YVES, que je dis non 
Je refuse que tu m’envoie des fausses nouvelles par les gens, qu’après mon départ, tu pense à moi 
Je t’avais donné mon cœur 
Tu m’as prise pour une soumise 
Tu sortais pour ne rentrer que le lendemain, vêtus d’autres vêtements, trouvés là où tu as passé la nuit, je commence à regretter cet amour de jeunesse"|"DINDO 
O yebaka YVES naboyi ih 
Naboyi otindelaka nga basango ya lokuta epayi ya bato  sima nga te y’oko banzaka nga 
Napesaka yo motema na ngaï nionso 
Yo monaki ngaï lekola Yuma na yo 
Obima kozonga se lobi na bilamba mosusu à change epayi ye awuti na bandi  kolela bolingo ya bomwana KITENGUE eh"
4|"REDDY
Je t’avais donné mon cœur MAKAMU
Tu m’as prise pour une femme incapable de séduire un autre homme que toi
Maintenant que j’ai retourné ma veste, je suis partie
Tu m’envoies des lettres de doléances tout le temps"|"REDDY
Napesaka yo motema MAKAMU mobimba ah 
Omonaki nga lekola etula ah 
Lel’oyo na baloli kazaka nakeyi na nga 
Otondisi mikanda ya mawa tongo nionso"
5|"REFRAIN
Maman écoute mon problème 
Je pense que je dois arrêter, avant que cela ne cause ma mort 
Que je lui donne sa liberté, pour qu’il joue jusqu’à qu’il grandisse et comprenne l’amour 
Aujourd’hui je vois la réalité de ma vie"|"REFRAIN 
Yoka eh , yoka mama likambo na nga ah 
Namoni kaka natika noki ekoma pasi ya liwa 
Natikela ye, liberté mpo asakana, kino akokola mpo ayeba bolingo oh 
Natali réalité ya la vie na nga lelo"
6|"DINDO 
Chéri MAKAMU, sache que je t’ai aimé plus que tout 
A partir de maintenant, oublie que tu es dans mon cœur"|"DINDO 
Chéri MAKAMU yebaka que na lingaka yo koluta oh 
Wuta mokolo ya lelo bosana ozali wanga wa motema"
7|"REFRAIN
Maman écoute mon problème 
Je pense que je dois arrêter, avant que cela ne cause ma mort
Que je lui donne sa liberté, pour qu’il joue jusqu’à qu’il grandisse et comprenne l’amour 
Aujourd’hui je vois la réalité de ma vie"|"REFRAIN 
Yoka eh , yoka mama likambo na nga ah 
Namoni kaka natika noki ekoma pasi ya liwa 
Natikela ye, liberté mpo asakana, kino akokola mpo ayeba bolingo oh 
Natali réalité ya la vie na nga lelo"
8|"REDDY
Je l’ai raconté au monde entier, ils m’ont donné raison, MAKAMU je te laisse ta liberté"|"REDDY
Natamboli, Natamboli, Natamboli, Natamboli, nayebisi mokili mobimba, ba pesi ngaï raison MAKAMU natikeli yo liberté eh"
9|"REFRAIN
Maman écoute mon problème 
Je pense que je dois arrêter, avant que cela ne cause ma mort
Que je lui donne sa liberté, pour qu’il joue jusqu’à qu’il grandisse et comprenne l’amour 
Aujourd’hui je vois la réalité de ma vie 
C’est quoi ?, c’est quoi ?"|"REFRAIN 
Yoka eh , yoka mama likambo na nga ah 
Namoni kaka natika noki ekoma pasi ya liwa 
Natikela ye, liberté mpo asakana, kino akokola mpo ayeba bolingo oh 
Natali réalité ya la vie na nga lelo 
Nini yango eh , nini yango eh ah"
