french|lingala
Comme le soleil, tu m’as séduit                                                                                                    T’as brillé comme le reflet du miroir                                                                                                    Comme le soleil, qui se lève à l’est                                                                                                     Pour aller se coucher loin, a l’ouest                                                                                                     De la même façon mon cœur a quitté mon corps                                                                                                     Pour aller habiter chez toi                                                                                                      Le soleil sèche le vêtement                                                                                                    Chérie t’as séché mes larmes|Lekola moyi yo seduire nga haa                                    O nguegui lekola reflet ya miroir                                     Lekola moyi ebimi na est                                     Ekeyi kolala mosika na ouest                                    Ndengue motema etiki nzoto na nga aah                                     Ekeyi kovanda epayi na yo oooh                                     Moyi moko kawusaka elamba                                     Cherie yo kawusi mawi ya miso na nga
Je viens te faire voir mon cœur frappé par le coup foudre, je suis saoul d’amour                                                                                                     Je suis entrain de me demander ce qui m’arrive, ma vie à changer|Nayé ko talisa yo motema ezui coup de foudre na langwé l’amour                                     Nazili ko mituna eloko nini ekomeli nga ma vie a changé
L’amour ma pénétré dans les os, et m’oblige à te dire                                                                                                     Je ne te demande que ton cœur, je t’aime, et je crois en toi                                                                                                     Je suis devenu comme la personne qui découvre un trésor caché|Bolingo ekoteli nga aah na mikuwa ekotinda na yebisa yo                                     Na sengi yo se motema aah na lingi yo, nako likia epayi na yo                                     Na komi seko lekola aah moto oyo, akundoli trésor caché
Comme le soleil fait mal aux yeux, tu me donne la fièvre, je suis saoul d’amour                                                                                                     Toute la faute a mon corps, qui avait refusé de m’écouter                                                                                                    Il à cherché à savoir, à comprendre tout le mystère de ta beauté|Lekola moyi esuaka na miso yo pesa nga fievre na langwé l’amour                                     Faute nioso oyo ya motema, eboyaki kutu koyokela nga ah                                    Elukaki eyeba et comprendre mystere nioso ya kitoko na yo
Comme le soleil la source du feu                                                                                                     Tu as allumé un feu en moi|Lekola moyi source ya moto                                     Yo pelisi moto nakati na nga
Je viens te faire voir mon cœur frappé par le coup foudre, je suis saoul d’amour                                                                                                     Je suis entrain de me demander ce qui m’arrive, ma vie à changer|Nayé ko talisa yo motema ezui coup de foudre na langwé l’amour                                     Nazili ko mituna eloko nini ekomeli nga ma vie a changé
L’amour ma pénétré dans les os, et m’oblige à te dire                                                                                                     Je ne te demande que ton cœur, je t’aime, et je crois en toi                                                                                                     Je suis devenu comme la personne qui découvre un trésor caché|Bolingo ekoteli nga aah na mikuwa ekotinda na yebisa yo                                     Na sengi yo se motema aah na lingi yo, nako likia epayi na yo                                     Na komi seko lekola aah moto oyo, akundoli trésor caché
Comme le soleil, fini toujours par vaincre la durée puis la noirceur de la nuit                                                                                                     De la même façon nous allons vaincre, les médisances des gens                                                                                                     Le soleil indique l’heure, a toute personne qui n’a pas de montre                                                                                                     Nous aussi soyons une référence, soyons la référence des amoureux|Lekola moyi suka se elonga molayi pe molili oya butu                                     Ndengue biso pe toko longa masenginia nioso oyo ya ba nguna                                     Moyi moko lakisaka tango na moto oyo nioso azangi montre                                     Biso pe to zala reference, to zala reference ya b’amoureux
2x|2x
Je viens te faire voir mon cœur frappé par le coup foudre, je suis saoul d’amour                                                                                                     Je suis entrain de me demander ce qui m’arrive, ma vie à changer|Nayé ko talisa yo motema ezui coup de foudre na langwé l’amour                                     Nazili ko mituna eloko nini ekomeli nga ma vie a changé
L’amour ma pénétré dans les os, et m’oblige à te dire                                                                                                     Je ne te demande que ton coeur, je t’aime, et je crois en toi                                                                                                     Je suis devenu comme la personne qui découvre un trésor caché|Bolingo ekoteli nga aah na mikuwa ekotinda na yebisa yo                                     Na sengi yo se motema aah na lingi yo, nako likia epayi na yo                                     Na komi seko lekola aah moto oyo, akundoli trésor caché
N’oubliez point, qu’aimer, c’est trouver la richesse hors de soi|N’oubliez point, qu’aimer, c’est trouver la richesse hors de soi
Si je t’ai aimé, ce n’était pas pour ta beauté Si je t’ai choisi, ce n’était pas pour ta beauté Ce n’était que, parce que mon cœur l’a aimé|Soki na lingaki yo, heein oh ezalaki pona kitoko nayo té Soki na ponaki yo, hein oh ezalaki pona beauté nayo té  Oh ezalaki se po motema elingika ye
Je te demande, de nous aimé, comme les jumeaux  Je te demande, de nous aimé, comme ROMEO et JULIETTE s’étaient aimé  C’est ca ce qu’on appel l’amour|Oh na sengi na yo, to lingana lokala bana ya mapasa eeh  Oh na sengi na yo, to lingana lokala ROMEO na JULIETTE oh balinganaka  C’est ca ce qu’on appel l’amour
L’amour, fait parfois souffrir  L’amour, fait parfois maigrir, mon DIEU  L’amour, fait parfois souffrir  L’amour, fait parfois maigrir, mon DIEU, j’en pleur|Bolingo tango mosusu emonisaka bato mpasi eeh  Bolingo tango mosusu etungisaka NZAMBE eh  Bolingo tango mosusu emonisaka bato mpasi eeh  Bolingo tango mosusu etungisaka NZAMBE eh na leli
Je resterai planté sous les arbres  Pour écouter le chant d’oiseaux  Le vent qui souffle, tout cela, je le fais à cause de toi  Ma très chère bien aimée, i love you Yes i do|Je resterai planté sous les arbres  Pour écouter le chant des oiseaux  Le vent qui souffle, tout cela, je le fais à cause de toi  Ma très chère bien aimée, i love you Yes i do
Ne m’abandonne pas, comme DIEU avait abandonné CAÏN  Ne me laisse pas, comme un orphelin cherchant la personne que pourrai lui venir en aide|Kotika ngaï te, lekola NZAMBE atikaka CAÏNA Kotika ngaï te, lekola mwana etike ako luka moto a ko salisa ye
Je te demande, de nous aimé, comme EDGARE et MICHELLE s’étaient aimé  Je te demande, de nous aimé, comme JEAN-JACQUES et NADINE s’étaient aimé  Je te demande, de nous aimé, comme IBAMBI LUCIEN et GEORGINE s’étaient aimé  Je te demande, de nous aimé, comme GUYVANO et MARYAME DIOP s’étaient aimé Je te demande, de nous aimé, comme les membres d’EXTRA-MUSICA s’étaient aimé entre eux|Oh na sengi na yo, to lingana lokala EDGARE na MICHELLE oh  balingani ih Oh na sengi na yo, to lingana lokala JEAN-JACQUES na NADINE oh balingana ah Oh na sengi na yo, to lingana lokala IBAMBI LUCIEN na GEORGINE oh balingani ih  Oh na sengi na yo, to lingana lokala GUYVANO na MARYAME DIOP oh balingani ih  Oh na sengi na yo, to lingana lokala bana ya EXTRA-MUSICA oh balingani okati na bango oh
Cette chanson, je la dédie à tous ceux qui sont blessés par les problèmes d’amour  Qu’ils écoutent le mien|Nzémbo oyo na yembi yango pona bato oyo  baza blaissé na ba problemes d’amour Boyoka oyo ya ngaï
DEDICACES|DEDICACES
Viens m’enlacé QUENTIN MOYASK Viens m’enlacé GUYGUY FALL l’ambassadeur Viens m’enlacé REGIS et OXYGENE  Viens m’enlacé ESPE et DUREL Viens m’enlacé|Yaka koyamba nga ah QUENTIN MOYASK Yaka koyamba nga ah GUYGUY FALL l’ambassadeur Yaka koyamba nga ah REGIS na OXYGENE  Yaka koyamba nga ah ESPE na DUREL  Yaka koyamba nga ah
Intro (KOFFI): Ameeen  Notre père qui est aux cieux Toi-même tu vois  Les bénédictions, qu’on réussit|Intro (KOFFI): Ameeen  Notre père qui est aux cieux Yomoko ozo mona  Mapamboli to zua
Ameeen|Ameen
Quartier latin Anti dopage  [Dedicaces…] Mon Dieu, tu nous observes  Que Chokoro Babia Ndonga ait les tes bénédictions|Quartier latin Anti dopage  [Dedicaces…] Nzambé ozo mona  Le Chokoro Babia Ndonga azua mapamboli
BABIA : Mon papa est dans la souffrance et la maman qui ma mise au monde est pauvre Mon cœur est rempli d’envie de partager  Mais si tu n’as rien, qu’est ce que tu peux partager  Mon Dieu je ne te demande que la richesse, le respect et l’intelligence|BABIA: Papa na nga moto ya pasi, mama aboti nga nde mobola  Motema etonda posa ya ko kabela Mais ozangi oko kaba nini yé  Nzambé na sengi se na yo, bomengo bouania mayelé [Oh bouania aah ]
KOFFI : Moi, mon papa est dans la souffrance et la maman qui ma mise au monde est pauvre Mon cœur est rempli d’envie de partager  Mais si tu n’as rien, qu’est ce que tu peux partager  Mon Dieu je ne te demande que la richesse, le respect et l’intelligence|KOFFI : Ngaï papa na nga moto ya pasi, mama aboti nga nde mobola  Motema etonda posa ya ko kabela Mais  ozangi oko kaba nini yé  Nzambé na sengi se na yo, bomengo bouania mayelé eh [bouania aah ]
2X La richesse pourquoi Je cri à Dieu, Eli, Eli lama sabachthani (Mon Dieu, Mon Dieu pourquoi m’as-tu abandonné)  Comme Jésus sur le mont Golgotha Mon Dieu pourquoi m’as-tu abandonné|2X Bomengo po nini eh  Na lelaka na Nzambé, eli eli lama sabachthani Lekola Yezu na ngomba ya Golgotha eh  Nzembé po nini etika nga ah
2X La richesse pourquoi Je demande à maman  Est-ce que je suis née pour souffrir  J’en ai marre de la pauvreté|2X Bomengo po nini eh  Na tunaka na mama Est-ce que ba bota nga po na nyokomaka Ah nga na lembi bo pauvreté
2X La richesse pourquoi Tu commence à m’éviter Qu’est ce que je t’ai fais  Alors que je sais que même la pauvre arrive a gagné sa vie  Pourquoi pas moi|2X Bomengo po nini eh  Okoma koleka nga na mosika  Nasala yo nini eh  Nzoka nayebi  que mobola pe azuaka  Pona nini ngaï te hein
KOFFI : Ah la richesse, qu’est ce je dois faire  Je te cherché par les boulots  Par le commerce, puis par la prière  Sache qu’on ne m’a pas coupé les bras  La voix (le chant) aussi est de Dieu|KOFFI : Ah bomengo na sala nini nga  Na luka yo na ba boulot  Na mobongo pe na losambo Yeba bakati nga maboko te eh  Mongongo pe ezali ya Nzambé eh
Chœur : La richesse si tu étais Beija  Je t’aurai chanté dans une chanson  De la même façon que Wendo avait chanté Marie Louisa  Ou Kiambukuta avait chanté Baby  Mbambula de Koffi Akrame|Chœur : Bomengo ozala ata Beija  Na yemba yo na loyembo  Lekola Wendo a yemba Marie Louisa To Kiambukuta a yembaka Baby  Mbambula ya koffi Akrame
La richesse si tu étais Beija  Je t’aurai chanté dans une chanson  De la même façon que Wendo avait chanté Marie Louisa  Ou Kiambukuta avait chanté Baby  Mbambula de Koffi papa top|Bomengo ozala ata Beija  Na yemba yo na loyembo  Lekola Wendo a yemba Marie Louisa To Kiambukuta a yembaka Baby  Mbambula ya koffi papa top
BABIA : Parler :  Le grand libanais  Vit à Macompagne Lui et moi ensemble au State|BABIA: Parler: Le grand libanais  Azalaka na Macompagne  Nga na yé elongo nakati ya State
Les nouvelles de Babia sont propagées dans le monde entier  Dieu entend les pleurs de tes enfants  Ne laisse pas souffrir Alisi Baba  C’est toi qui nous as créés, Dieu ne nous abandonne pas Ne laisse pas souffrir le vieux Mazekwa  Dieu écoute les pleurs de François Baniota  Dieu écoute les pleurs de Lebou Kabouya  Mes nouvelles sont propagées dans le monde entier|Oh sango ya Babia bako belela na monde entier [yamba nga ah] Nzambé yoka kolela oyo ya bana na yo eh [ah mama ah ] Kotika te Alisi Baba a mona se pasi [ah mama ah ] Yo moto osala biso Nzambé yaka ko tala biso [ah mama ah ]  Kotika te le vieux Mazekwa a mona ba pasi [ah mama ah ] Eh Nzambé yoka kolela ya Francois Baniota [ah mama ah ] Nzambé yoka kolela oyo ya Lebou Kabouya [ah mama ah ] Oh sango na nga  bako belela na monde entier [ah mama ah ]
2X La richesse quoi qu’il arrive|2X Bomenngo atandelé ah mama ah
Les nouvelles d’Auguste Otingui sont propagées dans le monde entier  Toutou Roba l’enfant de London le papa d’Annicte  Ne laisse pas souffrir Ize Bola  C’est toi qui nous as créés, Dieu ne nous abandonne pas Ne laisse pas le Quartier latin sans ta grâce Dieu entend les pleurs de papa de Rocky  Dieu écoute les pleurs des enfants pauvres  Mes nouvelles, je les propage dans le monde entier  La richesse quoi qu’il arrive  La richesse quoi qu’il arrive|Sango ya Auguste Otingui bako balela na monde entier  Toutou Roba mwana ya London papa na Annicte Oh kotika te Ize Bola amona se m’pasi  Yo moto osala biso Nzambé yaka ko tala biso [ah mama ah ] Kotika te Quartier latin bazanga grace na yo  Yeh Nzambé yoka kolela ya papa na Rocky  Nzambé yoka kolela oyo ya bana babola yeh  Oh sango na nga  nako belela na monde entier [ah mama ah ], Chéri Aguépa ah  Bomenngo atandelé yamba nga  Bomengo atandelé ah mama
Il y a dans mon cœur un trou, qui s’appelle l’amour                                                                                                  Mon cœur je le plains, il a prit un train de retard                                                                                                   Tchatcho|Il y a dans mon cœur un trou, qui s’appelle l’amour                                   Mon cœur je le plains, il a prit un train de retard
Ce dilemme qu’on appelle l’amour…maman                                                                                                 Fait maigrir que tu sois enfant ou vieux                                                                                                 Ce dilemme qu’on appelle l’amour…maman                                                                                                 Fait maigrir que tu sois riche ou pauvre|Dilemne oyo nkombo bolingo mama                                    Etungisaka ozala muana to mobangé                                     Dilemme oyo kombo bolingo mama                                    Etungisaka ozala mvuama to malolé eee
Ca me pique comme le piment                                                                                                  Mon cœur bat très vite                                                                                                  L’hôpital ou les cimetières dit le moi|Ekosua ngaï lokola pili-pili                                    Motéma mokobéta mbangu                                    Lopitalo nsoki mpé lilita olobéla ngaï 
Maman non, non, non, non,non,non,non (x2)                                                                                                 Les querelles ne tuent pas l’amour maman                                                                                                 La dispute est un piment, le sel du mariage maman                                                                                                  Coucou a yee|Mama no, no, no, no (x2)                                     Bitumba ébomaka libala té mama                                    Kosuana ézali pili-pili, mungwa ya libala mama                                    Coucou a yee
 Mais pourquoi                                                                                                 Aujourd’hui c’est devenu la raison de notre divorce                                                                                                 On discute, on trouve des compromis si ya des problèmes                                                                                                 Sache que coucou ta présence est thérapeutique                                                                                                 Aime-moi                                                                                                 En plus t’es l’homonyme de maman|Kasi mpo nini ooo                                    Lélo ékoma raison ya kopanza libala ya ngaï na yo                                    Basambisaka, bayokanaka soki likambo ézali
Coucou pense encore à ce que l'on s’était dit avec toi                                                                                                 L’enfant qu’on allait mettre au monde devrait te ressembler                                                                                                 Le monde dans lequel on vivra n’aura que des oiseaux bleus…maman yoo|Coucou oyébi présence na yo ézali thérapeutique mobimba                                    Linga ngaï wa yo                                    Yo ozali lisusu ndoyi ya mama
La nouvelle que j’ai entendue dans la rue m’a brisé les os…maman                                                                                                 Comment marcherai-je, commencerai-je par le pied droit ou le pied gauche                                                                                                 J’ai demandé conseil au cœur, le cerveau a refuse de me donner une réponse                                                                                                 Que ferai-je ? Maman yo yo                                                                                                 Je chaume maman yo yo                                                                                                 Quelle malchance, nous somme entrain de pratiquer la sorcellerie|Coucou kanisa lisusu makambo tolobanaki ngaï na yo                                    Muana tokobota azwa mobimba na yo                                    Esanga tokokima ee ézala na ba ndèké sé ya bleus, mama yoo
Parlé :                                                                                                 Vous qui n’avez aucun problème, écouté le mien                                                                                                  Coucou ne pense pas à moi en regardant les photos                                                                                                 Car j’ai changé                                                                                                  J’ai maintenant le corps de maman yemo, le corps de sana                                                                                                 Je n'attends desormais que ma mort pour retourner sous la terre                                                                                                  Je n'attends desormais que ma mort pour retourner à la poussière                                                                                                 Le cerveau de CNPP                                                                                                 L’esprit d’un fou                                                                                                  Coucou ne pense pas à moi en regardant les photos                                                                                                 Car j’ai changé                                                                                                  J’ai le corps d’Arménie, le corps d’Ethiopie                                                                                                 Je n'attends desormais que ma mort pour retourner sous la terre                                                                                                  Je n'attends desormais que ma mort pour retourner à la poussière                                                                                                 Le cerveau de CNPP                                                                                                 L’esprit d’un fou|Sango nayoki na kati ya bala bala ébuki ngaï mikwa mama                                    Na tambola ndéngé nini nabanda na gauche té lokolo ya mobali                                    Na tuni conseil na motéma, cerveau éboyi kopésa réponse                                    Ngaï nasala nini ? mama yo yo                                    Natuli eee mama yoyo                                    Libabé é, to koloko mama
Coucou tu m’as laissé à distance                                                                                                  Tu m’as laissé perplexe…maman                                                                                                 Ma maison est devenue un ghetto                                                                                                 Je ne trouve plus le sommeil, viens me consoler                                                                                                  Je finirais par avoir un accident, tu en seras la responsable                                                                                                 On m’enterrera vivant auprès des morts, comme cela tu va me pleurer                                                                                                 Tu vas me pleurer                                                                                                 Tu vas penser à moi                                                                                                 Tu vas me pleurer|Parlé:                                    Bino bato bozanga na bino problème, boyoka oyo ya ngaï                                     Coucou ko mbanza ngaï na photo té                                    Po’ na si na changea                                    Na koma na nzoto ya Mama Yémo, nzoto ya Sana                                    Na koma sé kozéla liwa na ngaï nazonga mabélé                                    Na koma sé kozéla liwa na ngaï nazonga putulu                                    bongo ya CNPP                                    Molimo na nzakomba 
KOFFI : Il pleut sur la ville, comme elle fleurit dans mon cœur|KOFFI : Il pleut sur la ville, comme elle fleurit dans mon cœur
Chœur : EKATSHAKA|Chœur : EKATSHAKA eh
KOFFI : EKATSHAKA hein Une chose énorme, m'est arrivé aujourd'hui Une chose hors de prix, m'est arrivé  Une chose énorme, m'est arrivé aujourd'hui Une chose hors de prix, m'est arrivé, moi !, EKATSHAKA ma vraiment aimé  Allez FALLY, allons-y|KOFFI : EKATSHAKA hein Ya monene ekweli nga lelo  Oyo eluti nga motuya ekweli ngaé  Ya monene ekweli nga lelo  Oyo eluti nga motuya ekweli nga, ngayo EKATSHAKA vraiment alingi nga ngayo oh  Allez FALLY tokey
FALLY : Une chose énorme, m'est arrivé aujourd'hui Une chose énorme, m'est arrivé aujourd'hui Une chose énorme, m'est arrivé aujourd'hui EKATSHAKA ma vraiment aimé, moi !, moi ! Moi !|FALLY : Ya monene ekweli nga lelo  Ya monene ekweli nga lelo  Oyo ya kafumba lelo ekweli nga ah  EKATSAKA lelo alingi nga, nga, nga
